QUEST_LV_0200_20150317_000001	Philip's Soldiers
QUEST_LV_0200_20150406_006426	Periksa suspicious area
QUEST_LV_0200_20150406_006427	Objek yang mirip dengan bagian Sculpture terkubur setengah kedalam. Pergi kesana dan gali.
QUEST_LV_0200_20150406_006428	Gali bagian kepala dari sculpture
QUEST_LV_0200_20150406_006429	Sungguh aneh bahwa ada kepala patung di tempat seperti ini. Ayo gali.
QUEST_LV_0200_20150406_006430	Periksa Old Box
QUEST_LV_0200_20150406_006431	Kamu bisa melihat old box. Dekati dan buka.
QUEST_LV_0200_20150406_006432	Hancurkan peti
QUEST_LV_0200_20150406_006433	Saat kamu mencoba membuka peti, para monster muncul dan mencoba mengganggu. Hindari serangan para monster dan hancurkan peti untuk membukanya dengan jangka waktu.
QUEST_LV_0200_20150406_006434	Periksa wooden alcohol container
QUEST_LV_0200_20150406_006435	Ini aneh melihat wooden alcohol container ditempat seperti ini dimana tidak ada begitu banyak orang disekitar sini. Dekati dan lihat dengan jelas.
QUEST_LV_0200_20150406_006436	Buat wooden hammer dan buka alcohol container.
QUEST_LV_0200_20150406_006437	Jika kamu membukanya dengan tidak hati hati, barang yang ada didalam mungkin akan rusak jadi hati hati. Cari beberapa material yang bisa digunakan menjadi wooden hammer dan buka Container.
QUEST_LV_0200_20150406_006438	Ada patung yang nyangkut ditanah yang terlihat seperti sayap. Dekati dan lihat baik baik.
QUEST_LV_0200_20150406_006439	Yoana mengingat sesuati tentang Fragment. Bicara kepada Yoana tentang Sculpture
QUEST_LV_0200_20150406_006440	Temukan beberapa sticky fluid
QUEST_LV_0200_20150406_006441	Yoana ingin menempelkan semua sculpture. Cari stick liquid dari monster disekitar.
QUEST_LV_0200_20150406_006442	Berikan kepada Yoana
QUEST_LV_0200_20150406_006443	Kamu menemukan sticky fluid dari monster. Berikan kepada Yoana.
QUEST_LV_0200_20150406_006444	Kumpulkan %s dari para monster
QUEST_LV_0200_20150406_006445	Obtain sticky fluid dari  the monsters
QUEST_LV_0200_20150406_006446	Kelihatannya Yoana masih mempunyai sesuatu. Bicara kepada Yoana.
QUEST_LV_0200_20150406_006447	Yoana ingin tahu perilaku strange energy yang ada didekat Ramus intersections. Kurangi HP monsters setengah dan bawa mereka ke lower side of the magic fields dimana strange energy berada.
QUEST_LV_0200_20150406_006448	Energi mungkin tidak begitu buruk semenjak para monster telah menghilang. Laporkan kepada Yoana.
QUEST_LV_0200_20150406_006449	Bicara kepada Baras
QUEST_LV_0200_20150406_006450	Kelihatannya baras membutuhkan pertolonganmu. Bicara kepada Baras
QUEST_LV_0200_20150406_006451	Hancurkan magic field
QUEST_LV_0200_20150406_006452	Tumpukkan logs di magic field dan bakar magic field. Kamu bisa meningkatkan nyala api dengan mendpatkan kindlings dari para monster.
QUEST_LV_0200_20150406_006453	Laporkan kepada Baras
QUEST_LV_0200_20150406_006454	Kamu Berhasil membakar magic field. Kembali kepada Baras dan laporkan.
QUEST_LV_0200_20150406_006455	Baras memberi tahu bahwa ada lebih banyak Magic Field. Bicara dengan Baras lagi.
QUEST_LV_0200_20150406_006456	Temukan statue of the Goddess dari Yoana
QUEST_LV_0200_20150406_006457	Baras mengatakan kamu bisa mengalahkan magic field dengan mudah menggunakan kekuatan dari para Goddess. Temukan Statue of the Goddess dari Yoana.
QUEST_LV_0200_20150406_006458	Letakkan Statue of the Goddess di Magic Field yang ada di Talia Trail.
QUEST_LV_0200_20150406_006459	Periksa Tanaman sekitar
QUEST_LV_0200_20150406_006460	Saat kamu meletakkan Statue of the Goddess di Magic Field, Magic Field menghilang dengan Statue of the Goddess. Periksa keadaan tanaman yang dikhawatirkan Baras.
QUEST_LV_0200_20150406_006461	Tanaman menjadi subur kembali. Dengan kekuatan Statue of the Goddess, magic fields telah menghilang dan tanaman  menjadi hidup kembali. Laporkan ini kepada Baras.
QUEST_LV_0200_20150406_006462	Bicara kepada Jugas
QUEST_LV_0200_20150406_006463	Ada seorang petani yang membutuhkan kamu. Bicara kepada Jugas.
QUEST_LV_0200_20150406_006464	Cari sacks of the grains
QUEST_LV_0200_20150406_006465	Jugas ingin kamu mengambil Sacks of the Grains dari para Monster. Cari sacks of the grains dari monster disekitar.
QUEST_LV_0200_20150406_006466	Berikan kepada Jugas
QUEST_LV_0200_20150406_006467	Kamu menemukan semua sacks of the grains. Berikan kepada Jugas.
QUEST_LV_0200_20150406_006468	Ambil sacks of the grains dari para monster
QUEST_LV_0200_20150406_006469	Kumpulkan wooden sticks
QUEST_LV_0200_20150406_006470	Horaceus berkata kepada kamu bahwa dia membutuhkan wooden stick yang banyak untuk membuat senjata. Cari stick dari dari pagar terdekat.
QUEST_LV_0200_20150406_006471	Kamu menemukan wooden sticks. Berikan kepada Horaceus.
QUEST_LV_0200_20150406_006472	Sepertinya Horaceus mempunyai banyak hal yang harus dilakukan. Bicara kepada Horaceus lagi
QUEST_LV_0200_20150406_006473	Kumpulkan leather dari monster disekitar
QUEST_LV_0200_20150406_006474	Mari kumpulkan leather untuk menolong pekerjaan Horaceus. Kamu bisa mendapatkannya dari monster disekitar.
QUEST_LV_0200_20150406_006475	Kamu menemukan Leather. Berikan kepada Horaceus.
QUEST_LV_0200_20150406_006476	Horaceus masih mempunyai banyak hal yang harus dilakukan. Bicara kepada Horaceus
QUEST_LV_0200_20150406_006477	Kumpulkan Racun yang berada di pot
QUEST_LV_0200_20150406_006478	Letakkan pot beracun yang Horaceus berikan kepada kamu di tanah. Pancing monster disekitar pot dan kalahkan mereka untuk mengumpulkan Poison.
QUEST_LV_0200_20150406_006479	Berikan Poison yang dikumpulkan
QUEST_LV_0200_20150406_006480	Kamu berhasil menemukan Poison. Berikan kepada Horaceus
QUEST_LV_0200_20150406_006481	Sepertinya Horaceus mempunya permintaan terakhir. Bicara kepada Horaceus lagi
QUEST_LV_0200_20150406_006482	Meminjam beberapa alat bertani dari para petani
QUEST_LV_0200_20150406_006483	Horaceus berkata kepada kamu bahwa dia membutuhkan banyak alat alat bertani yang akan digunakan sebagai senjata. Dia tidak bisa bergerak karena dia mengganti peralatan yang dia akumulasikan jadi tanyakan kepada para petani jika kamu bisa meminjam peralatan bertani.{nl}{nl}Horaceus berkata semejak kita tidak mempunyai cukup senjata, kita harus melawan meskipun menggunakan peralatan bertani. Tanya kepada para petani apakah kamu bisa meminjam peralatan bertani dari mereka.
QUEST_LV_0200_20150406_006484	Tauras membutuhkanmu. Bicara kepada Tauras
QUEST_LV_0200_20150406_006485	Kumpulkan Nioles dari Riaum mound
QUEST_LV_0200_20150406_006486	Tauras berkata untuk menarik keluar Nioles yang akan menggantikan makanan di Riaum Mound. Tetapi, Mereka berharga seperti makanan saat kamu mendapatkan akarnya jadi tolong berhati hati.
QUEST_LV_0200_20150406_006487	Berikan kepada Tauras
QUEST_LV_0200_20150406_006488	Kamu mendapatkan Nioles. Bawa ke Tauras.
QUEST_LV_0200_20150406_006489	Sepertinya Tauras membutuhkan pertolongan kamu. Bicara kepada Tauras.
QUEST_LV_0200_20150406_006490	Bunuh monster untuk mendapatkan daging. Letakkan di dryer untuk membuat beef jerkies.
QUEST_LV_0200_20150406_006491	Kumpulkan Daging
QUEST_LV_0200_20150406_006492	Sepertinya Tauras mempunyai permintaan terakhir kepada kamu. Dengarkan permintaan terakhirnya.
QUEST_LV_0200_20150406_006493	Lindungi penyimpanan makanan di Vinoga Brewery
QUEST_LV_0200_20150406_006494	Para monster mencoba mencuri makanan di penyimpanan. Lindungi Gudang Makanan di Vinoga brewery.
QUEST_LV_0200_20150406_006495	Kamu mampu melindungi Gudang sebelum diserang. Bilang Tauras Gudang sudah aman.
QUEST_LV_0200_20150406_006496	Kalahkan para monster yang mencoba menyerang Gudang Makanan
QUEST_LV_0200_20150406_006497	Albina membutuhkan pertolonganmu. Bicara kepada Albina.
QUEST_LV_0200_20150406_006498	Albina membutuhkan pertolonganmu untuk menyingkirkan magic field. Dengarkan untuk lebih detail dari Albina.
QUEST_LV_0200_20150406_006499	Albina ingin kamu menyingkirkin 3 Magic Field yang tersisa. Bilang kepada dia tentang magic field yang ada di Padeka Altar diantara mereka.
QUEST_LV_0200_20150406_006500	Protect Padeka altar
QUEST_LV_0200_20150406_006501	Kirumellichi yang terpancing magic field didekat Padeka Altar duduk tepat di altar. Kalahkan Kirumellichi dan hancurkan magic field didekat altar.
QUEST_LV_0200_20150406_006502	Kamu mengalahkan Kirumellichi dan magic field. Bilang kepada Albina kamu telah menerima Altar.
QUEST_LV_0200_20150406_006503	Albina ingin kamu menyingkirkan 3 Magic Field yang tersisa. Diantara mereka, bicara padanya tentang magic field di fallow ground.
QUEST_LV_0200_20150406_006504	Albina berkata magic field di fallow ground bisa di hancurkan dengan melempar magical stone of the blessing.
QUEST_LV_0200_20150406_006505	You've succesfully destroyed the magic field. Tell this to Albina.
QUEST_LV_0200_20150406_006506	Albina ingin kamu menyingkrikan tiga magic field yang tersisa. Diantara mereka, bicara padanya tentang magic field di Tarvas entrance.
QUEST_LV_0200_20150406_006507	Dia berkata magic field di Tarvas entrance sulit dihancurkan karena banyakanya monster disana. Kalahkan para monster yang menerobos masuk dan hancurkan magic field.
QUEST_LV_0200_20150406_006508	Kamu berhasil menghancurkan magic field di Tarvas entrance. Lapor ke Albina
QUEST_LV_0200_20150406_006509	Sepertinya Horaceus ingin mengatakan sesuatu. Bicara kepada Horaceus.
QUEST_LV_0200_20150406_006510	cari symbol of Hauberk
QUEST_LV_0200_20150406_006511	Diantara pengikut Nuaele, beberapa dari mereka dulunya anak buah Hauberk dan mereka pernah menerima simbol dengan kekuatan yang di berkati. Kalahkan pengikut Nuaele di 2nd isolated area dan temukan symbol of Hauberk.
QUEST_LV_0200_20150406_006512	Kamu menemukan semua Symbols of Hauberk. Berika ke Kupol Medeina.
QUEST_LV_0200_20150406_006513	Cari tahi rencana Nuaele dengan mengalahkan demon di 3rd isolated area menggunakan seal pieces of Hauberk.
QUEST_LV_0200_20150406_006514	Kalahkan ★ anak buah Nuaele
QUEST_LV_0200_20150406_006515	Kupol Medeina berkata kalahkan anak buah Nuaele yang paling kuat dahulu. Kalahkan ★ monster yang merupakan anak buah Nuaele di 4th isolated area.
QUEST_LV_0200_20150406_006516	Kamu berhasil mengalahkan ★ monster yang merupakan anak buah Nuaele. Bicara dengan Kupol Medeina.
QUEST_LV_0200_20150406_006517	Kalahkan ★ monsters
QUEST_LV_0200_20150406_006518	Temukan symbol of the seal
QUEST_LV_0200_20150406_006519	Goddess Vakarine meminta kamu untuk menggunakan rune of the night star untuk mengalahkan demons yang berkumpul di Atmesta isolated area dan bawakan symbol of the seal.
QUEST_LV_0200_20150406_006520	Kamu menemukan symbols of the seals. Berikan kepada Goddes, Vakarine.
QUEST_LV_0200_20150406_006521	Kumpulkan barang barang dari ingestigation team
QUEST_LV_0200_20150406_006522	Kupol Audra meminta untuk mengalahkan demon di Byeaulleo Hideout dan kumpulkan barang barang investigation team.
QUEST_LV_0200_20150406_006523	Temukan barang dari investigation team
QUEST_LV_0200_20150406_006524	Kumpulkan fragments of Nuaele
QUEST_LV_0200_20150406_006525	Kupol Medeina berkata kepadamu untuk mengalahkan demon yang masih menuruti perintah nuaele karena efek dari fragments di 4th isolated area dan ambil fragments of Nuaele.
QUEST_LV_0200_20150406_006526	Kamu menemukan semua fragments of Nuaele. Berikan kepada Kupol Medeina.
QUEST_LV_0200_20150406_006527	Dapatkan fragments of Nuaele
QUEST_LV_0200_20150406_006528	Perilaku remnants of Hauberk sangat aneh. Bicara dengan Kupol Daiva.
QUEST_LV_0200_20150406_006529	Kamu mengalahkan remnants of Hauberk di Ishidebi hideout. Bicara dengan Kupol Daiva.
QUEST_LV_0200_20150406_006530	Sepertinya Kupol Daiva membuat keputusan yang penting. Bicara pada Kupol Daiva.
QUEST_LV_0200_20150406_006531	Kupol Daiva berkata bahwa sekaranglah saatnya menunjukan kekuatan yang sebenarnya. Kalahkan demon yang bersembunyi di Huradeti Crossroad dan kumpulkan teeth of para demons  yang merupakan simbol mereka.
QUEST_LV_0200_20150406_006532	Kamu mengumpulkan teeth of para demons . Berikan kepada Kupol Daiva.
QUEST_LV_0200_20150406_006533	Kupol Sigita sepertinya mempunyai permintaan kepada kamu dia kelelahan setelah menggunakan kekuatannya untuk memblokir crossover space. Bicara kepada Kupol Sigita.
QUEST_LV_0200_20150406_006534	Kupol Sigita berkata seharusnya demon tidak berkumpul bersama sama demi masa depan. Kalahkan demon yang berkumpul di Banaga monitor district.
QUEST_LV_0200_20150406_006535	Kamu mengalahkan semua demon didekat Banaga Monitor District. Bicara dengan Kupol Sigita
QUEST_LV_0200_20150406_006536	Kupol Sigita khawatir dengan Dionys yang sedang menderita. Bicara dengan Kupol Sigita.
QUEST_LV_0200_20150406_006537	Untuk memulihkan Dionys, Kupol Sigita meminta kamu untuk mengumpulkan spirit dari para demon yang berkumpul di Pasaru isolated area.
QUEST_LV_0200_20150406_006538	Kamu mengumpulkan empty spirits. Berikan kepada Kupol Sigita.
QUEST_LV_0200_20150406_006539	Tampaknya ruang Crossover kecil terus membesar dari berbagai tempat. Bicara dengan Kupol Sigita lagi.
QUEST_LV_0200_20150406_006540	Kupol Sigita meminta kamu untuk mengalahkan semua small crossover spaces yang tersisa akibat bencana di Gabara isolated area.
QUEST_LV_0200_20150406_006541	Kamu telah membantai semua crossover spaces. Kembalilah kepada Kupol Sigita.
QUEST_LV_0200_20150406_006542	Kumpulkan toe nails of the orange lizard men
QUEST_LV_0200_20150406_006543	Druid Elley berkata wanita misterius meninggalkan pohon ini jadi dia ingin mengetahui identitas sebenarnya pohon ini. Pertama, temukan toe nails of Lizard Men dekat abandoned grape farm.
QUEST_LV_0200_20150406_006544	Berikan toe nails kepada Druid Elley
QUEST_LV_0200_20150406_006545	Kamu menemukan semua toe nails of Lizard men untuk mengetahui nature of the tree yang sebenarnya. Berikan kepada Druid Elley.
QUEST_LV_0200_20150406_006546	Kumpulkan %s dari orange Lizard Men
QUEST_LV_0200_20150406_006547	Druid Elley terkejut dengan hasil meletakkan kekuatan pohon di dalam molar. Bicara dengan Druid Elley lagi.
QUEST_LV_0200_20150406_006548	Kumpulkan fluids of orange Tamas
QUEST_LV_0200_20150406_006549	Druid Elley berkata dia membutuhkan badan fluids of Tamas untuk melakukan scale purification dalam skala besar. Tolong kumpulkan body fluids of Tamas dari Kvie Farm.
QUEST_LV_0200_20150406_006550	Kamu telah mengumpulkan fluids of Tamas. Berikan kepada Druid Elley.
QUEST_LV_0200_20150406_006551	Temukan %s dari Tamas
QUEST_LV_0200_20150406_006552	Kalahkan orange Lizard Men
QUEST_LV_0200_20150406_006553	Petani, Daasi Berkata dia tidak bisa panen karena Lizard Men. Tolong kurangi jumlah monster untuk petani, Daasi.
QUEST_LV_0200_20150406_006554	Kamu berhasil mengurangi jumlah Lizard Men. Bicara kepada petani, Daasi lagi.
QUEST_LV_0200_20150406_006555	petani, Miren mengeluh karena Druids hanya duduk dan melihat bahkan pada saat moment dimana banyak monster. Tolong kalahkan orange Lizard Men untuk petani, Miren.
QUEST_LV_0200_20150406_006556	Tama Leaf Kumpulkan ion
QUEST_LV_0200_20150406_006557	Penyidik Monahan dikirim oleh Klaipeda untuk menyelidiki kerusakan pertanian. pertama Katakan padanya tentang Tama Leaves.
QUEST_LV_0200_20150406_006558	Kamu telah mengumpulkan semua Tama Leaves. Tolong beritahu Investigator Monahan.
QUEST_LV_0200_20150406_006559	Investigator Monahan membutuhkan earth's aura. Kumpulkan beberapa grapevine roots dari Avarza Grape Farm.
QUEST_LV_0200_20150406_006560	Mengumpulkan grapevine roots. Kembali kepada Investigator Monahan.
QUEST_LV_0200_20150406_006561	Kumpulkan Orange Stumpy Tree Horn Fragment sebagai bukti.
QUEST_LV_0200_20150406_006562	Farm Supervisor Dorn berkata kamu bisa masuk ke farm dengan persyaratan melakukan beberapa pekerjaan. Pergi dan kalahkan Drakes dan kumpulkan Orange Stumpy Tree Horns sebagai bukti.
QUEST_LV_0200_20150406_006563	Mengumpulkan semua Stumpy Tree Horn Fragments. Katakan pada Farm Supervisor Dorn.
QUEST_LV_0200_20150406_006564	Kumpulkan %s dengan mengalahkan Orange Stumpy Trees
QUEST_LV_0200_20150406_006565	Farm Supervisor Dorn akan berkata kepada kamu lokasi druid jika kamu membawakan seed pouches soldiers. Cari old wooden chest.
QUEST_LV_0200_20150406_006566	Kalahkan Orange Stumpy Trees
QUEST_LV_0200_20150406_006567	Farm Soldier Gedson berharap mengalahkan Orange Stumpy Trees. Bersihkan farm of Orange Stumpy Trees.
QUEST_LV_0200_20150406_006568	Kamu telah mengalahkan semua Orange Stumpy Trees. Beritahu Farm Soldier Gedson.
QUEST_LV_0200_20150406_006569	Tenant Charlotte berkata banyak Chupacabras berkumpul karena bau dari grape seeds.Tolong habisi Chupacabras yang bermunculan dari semak-semak untuk menyelidikinya
QUEST_LV_0200_20150406_006570	Kalahkan Cysts didekat brewery
QUEST_LV_0200_20150406_006571	Tenant Lewis ingin bekerja dan menolong brewery, tetapi monster menghadang jalan. Tolong kalahkan Cysts didekat Brewery.
QUEST_LV_0200_20150406_006572	Beberapa Cysts telah dikalahkan. Kembali ke Tenant Lewis.
QUEST_LV_0200_20150406_006573	Kalahkan Pink Tree Root Moles
QUEST_LV_0200_20150406_006574	Valen khawatir soal kerusakan yang diperkebunan yang diakibatkan oleh Carcashus. Kurangi jumlah Carcashus di area.
QUEST_LV_0200_20150406_006575	Beberapa Carcashus telah dikalahkan. Kembali ke Valen.
QUEST_LV_0200_20150406_006576	Kalahkan Pink Tree Root Moles diluar terowongan
QUEST_LV_0200_20150406_006577	Kalahkan Glass Mole didekat Wind Vane Tower
QUEST_LV_0200_20150406_006578	General Buros berkata bahwa kamu terlalu gegabah dan Glass Mole telah muncul. Kalahkan Glass Mole di Wind Vane Tower
QUEST_LV_0200_20150406_006579	Glass Mole telah dikalahkan. Tolong laporkan kepada General Buros.
QUEST_LV_0200_20150406_006580	Kalahkan Glass Mole
QUEST_LV_0200_20150414_006581	Aku ingin menolong purify the Thorn Forest, tetapi aku kekurangan kekuatan.{nl}Bisakah kamu mengalahkan beberapa Tree Ghouls yang mengganggu para prajurit?
QUEST_LV_0200_20150414_006582	Tubuhku terus menerus menjadi berat... Akan lebih baik jika dia kemari untuk memurnikan pertanian baron.
QUEST_LV_0200_20150414_006583	Sir Baron berusaha yang terbaik untuk purify kebun ini. {nl}Para pekerja kadang berkata buruk soal dia tetapi abaikan saja.
QUEST_LV_0200_20150414_006584	Semua orang bekerja di kebun. Tidak ada pengecualian. {nl}Abaikan rumor yang tidak masuk akal. Apa yang orang idiot itu tahu. {nl}
QUEST_LV_0200_20150414_006585	baron sibuk mencoba menenangkan para pekerja. {nl}Mengapa mereka sangat ragu tentang sesuatu yang mereka bahkan tidak tahu.
QUEST_LV_0200_20150414_006586	Baron adalah orang yang sangat baik. {nl}Dia membuat sumber tenaga dengan sihir yang membersihkan kebun dia sendiri.
QUEST_LV_0200_20150414_006587	Hey. Apakah kamu melihat monster besar kabur ? {nl}Jika itu benar, ini adalah masalah besar.
QUEST_LV_0200_20150414_006588	Pergi kemana monster yang besar itu? {nl}Ini berbahaya...
QUEST_LV_0200_20150414_006589	Ah. Jangan khawatir, tidak apa apa. {nl}ngomong ngomong, jangan beritahu siapapun.
QUEST_LV_0200_20150414_006590	Seharusnya aku meninggalkannya sendiri... {nl} Ah, Aku berbicara dengan diriku sendiri jadi jangan khawatir.
QUEST_LV_0200_20150414_006591	Maksudku apa yang dilakukan Baron haruslah jelas, tetapi aku tidak yakin itu apa.
QUEST_LV_0200_20150414_006592	Satu satunya orang yang menghancurkan statue dengan sembarangan adalah Baron. Kecuali dia menerima perintah untuk menghancurkan statue.
QUEST_LV_0200_20150414_006593	Aku berpikir itu berasal dari sesuatu yang menghancurkan kebun, tidak?
QUEST_LV_0200_20150414_006594	Sepertinya Baron berbicara kepada Savior.{nl}Purify? Itu konyol.
QUEST_LV_0200_20150414_006595	Bisakah kamu menjaga rahasia ini dari yang lainnya?{nl} 'Karena jika hal ini sampai terdengar ke Baron, semua akan sia sia.
QUEST_LV_0200_20150414_006596	Jangan pernah mendengarkan apapun dari Baron.{nl} Dia hanya orang tua yang serakah.
QUEST_LV_0200_20150414_006597	Ayo... Ayolah! Berikan padaku!
QUEST_LV_0200_20150414_006598	Jangan repot repot meletakkan makanan ditempat.{nl} Mereka seharusnya sudah disini sekarang... Tetap waspada.
QUEST_LV_0200_20150414_006599	Anak ku mencuri dari makanan yang dicampur dengan Holy Water.{nl}Beberapa Waktu, semua energi jahat yang berada didalam dirinya seharusnya sudah hilang.
QUEST_LV_0200_20150414_006600	Anehnya, kita terus kekurangan bantuan. {nl}tentu saja, kemalasan para pekerja bertambah. {nl}
QUEST_LV_0200_20150414_006601	Tetapi jika crystal tidak muncul, berarti itu menjadi masalah. {nl}Kamu hanya perlu menggabungkan sihir monster didalam pot ini dan kubur di dekat spell circle.
QUEST_LV_0200_20150414_006602	Ini Baron Allerno's farm. {nl}Baron berusaha purify perkebunan jadi jangan diganggu.
QUEST_LV_0200_20150414_006603	Panen tahun ini banyak dan cuaca juga hangat.. {nl}Jika bukan untuk strange aura, lalu ini adalah perkebunan terbaik.
QUEST_LV_0200_20150414_006604	Apa? Kamu membunuhnya karena dia mencoba membunuh manusia? {nl}Ah.. jadi, tidak masalah. Aku sendiri yang akan melaporkannya kepada Baron.
QUEST_LV_0200_20150414_006605	Jika kamu menggunakan pot dari monster, racun akan dikumpulkan didalam pot. {nl}Berikan padaku jika semua racun telah dikumpulkan.
QUEST_LV_0200_20150414_006606	Baron Secretary Andol's Journal
QUEST_LV_0200_20150414_006607	Wizard yang mengaku datang dari Maze Tower mendapatkan bantuan dari baron. {nl}Tetapi aku yakin wizard merencanakan sesuatu yang aneh yang aku tidak tahu banyak. {nl}
QUEST_LV_0200_20150414_006608	apakah ada obat awet muda dan keabadian ?? {nl}bukankah itu adalah sesuatu yang hanya ada didaerah Goddess?. {nl}Apa yang Wizard coba lakukan dengan mengelabui Baron. {nl}
QUEST_LV_0200_20150414_006609	Dia mulai menekan divine aura menyebutnya aneh dan mulai menyebutnya lagi Aura yang jahat. {nl}Semuanya menuju ke dunia yang lain.. {nl}Semua experiment di kebun adalah, untuk mengkhianati para Goddess..{nl}
QUEST_LV_0200_20150414_006610	Tetapi Baron sudah dibutakan oleh hidup yang abadi dan mendorong banyak prajurit ke lubang itu.
QUEST_LV_0200_20150414_006611	Aku tidak tahu yang dikerjakan baron untuk siapa. {nl}Tetapi aku yakin satu hal, untuk mengacaukan kebun.
QUEST_LV_0200_20150414_006612	Aku menumpukkan kayu bakar didepan magic circle. {nl}Tetapi ada pelindung jadi jika kamu menyalakan api akan cepat mati. {nl}
QUEST_LV_0200_20150414_006613	Ini adalah masalah meskipun magic circle baik atau jahat. {nl}tetapi, ini lebih baik daripada memohon kepada Baron.
QUEST_LV_0200_20150414_006614	Untuk melakukan hal tersebut, kita harus mengumpulkan semua bukti. {nl}Lalu kita bisa membujuk penyewa kebun.
QUEST_LV_0200_20150414_006615	Bagaimana menurutmu? Maksudku semua magic circle. {nl}Apakah kamu pikir itu benar benar purify kebun kita ?
QUEST_LV_0200_20150414_006616	Apakah perkebunan ini terlihat damai bagi mu? {nl}Lalu kamu melihatnya dengan salah.
QUEST_LV_0200_20150414_006617	Kita bisa bersiap karena pertolonganmu. {nl}Terima kasih banyak.
QUEST_LV_0200_20150414_006618	Anehnya, Aku merasa lesu dan lemah.. {nl}Bagaimana denganmu? Apakah kamu baik baik saja?
QUEST_LV_0200_20150414_006619	Magic circle harus bertambah untuk spell power supaya power source bekerja dengan baik. {nl}Lalu portalnya.. Maksudku purify akan bekerja.
QUEST_LV_0200_20150414_006620	Oh ini.. Tunggu dulu.
QUEST_LV_0200_20150414_006621	Kita harus mengurusnya sebelum jatuh ketahan Naktis. {nl}Tolong rebut kembali holy relic of salvation dari para Demon.
QUEST_LV_0200_20150414_006622	Tetapi itu tidak mudah karena celah. {nl}Para Demon terus datang dari Celah tersebut.
QUEST_LV_0200_20150414_006623	Zydrone menyimpan Blut . {nl}Tetapi kita tidak tahu sampai kapan itu akan bertahan dengan kekuatan kita sendiri.
QUEST_LV_0200_20150414_006624	Kita harus melemahkan pengaruh Blut. {nl}tolong dapatkan Mark of Blut dari Blut di Viejauler basecamp.
QUEST_LV_0200_20150414_006625	Ngomong ngomong, Sepertinya Blut bangga dengan apa yang terjadi pada Houberg karena dia. {nl}Ada sebuah grup yang mengikuti kekuatan yang sangat besar dan Houberg dan Houberg berada di tengah tengah mereka. {nl}
QUEST_LV_0200_20150414_006626	Blut berpikir itu adalah sombong dan memberikannya kepada Giltine. {nl}itulah kenapa dirobek oleh Helgasercle.
QUEST_LV_0200_20150414_006627	Kamulah orangnya yang dibicarakan Goddess Vakarine. {nl}Kerja Bagus. Semuanya akan berjalan dengan apa yang direncanakan Goddess Vakarine.
QUEST_LV_0200_20150414_006628	Blut dikunci dibalik dinding ini. {nl}Sekarang, kita harus mengalahkan dia untuk selamanya. Apakah kamu siap?
QUEST_LV_0200_20150414_006629	Aku tidak membawa Blut kesini, Vakarine Akan jatoh dengan itu. {nl}Pergi ke Velnias Prison 2nd Area. Arune menunggu kamu.
QUEST_LV_0200_20150414_006630	Demon yang kehilangan Blut membuat kekacauan. {nl}Jika mereka menghancurkan pertahanan Goddes dan kabur ke dunia luar, maka itu akan menjadi masalah besar.
QUEST_LV_0200_20150414_006631	Kerja bagus. {nl}Itu melegakan para demon tidak memperhatikan pelindung yang melemah itu.
QUEST_LV_0200_20150414_006632	Human exploration team datang dari dunia lain di masa lalu. {nl}Sayangnya, mereka mati sebelum bisa melakukan apa apa. {nl}
QUEST_LV_0200_20150414_006633	Setidaknya aku ingin mencari kenang kenangan mereka untuk menghibur mereka. {nl}Tetapi itu tidak mudah karena para demon mengambilnya.
QUEST_LV_0200_20150414_006634	Kupole Arune
QUEST_LV_0200_20150414_006635	Kamu disini. Sangat menenangkan kamu tidak terlambat. {nl}Kekuatan Demon Monarch Nuaele akan menghancurkan pelindung Goddess. {nl}
QUEST_LV_0200_20150414_006636	Aldona pergi bertarung dengan Nuaele.
QUEST_LV_0200_20150414_006637	Para demon menyebrang melalui celah yang berada di 1st Isolation Area. {nl}Tutup sebelum Nuaele bergabung dengan mereka akan merupakan pertolongan yang besar bagi Aldona.
QUEST_LV_0200_20150414_006638	Kerja bagus. {nl}Dengan kekuatan dia yang sudah dipotong, semangat dia juga akan turun.
QUEST_LV_0200_20150414_006639	Nuaele menggunakan Houberg Piece of Seal untuk menarik pengikut dia untuk bergabung dengan dia. {nl}Kita bisa menggunakan itu untuk menguatkan kekuatan Houberg.
QUEST_LV_0200_20150414_006640	ini untuk menerima kembali Tanda yang Houberg berikan ke anak buahnya. {nl}Pergi ke 2nd Isolation Area. Mereka pasti berkumpul disana.
QUEST_LV_0200_20150414_006641	Sekarang Nuaele haris merasakannya sendiri. {nl}Dia tidak bisa kabur menggunakan kekuatan itu.
QUEST_LV_0200_20150414_006642	Houberg adalah demon seperti mereka jadi itu akan mudah membaca pikiran mereka. {nl}Bahkan akan lebih mudah.
QUEST_LV_0200_20150414_006643	Dia berencana untuk membuat penjara ini sebagai dunia dia dari awal. {nl}Jika rencana dia sukses, bahkan kekuatan Goddess Ausrine's tidak akan cukup.
QUEST_LV_0200_20150414_006644	Bagaimana dengan menyerang Harulaks di 4th Isolation Area dahulu ? {nl}Mengalahkan dia sama saja dengan mengalahkan senjata Nuaele yang paling kuat.
QUEST_LV_0200_20150414_006645	Harukal dulunya prajurit elit Houberg. {nl}Tetapi mereka juga yang berbalik menyerahkan Houberg piece of seal ke pada Nuaele.
