QUEST_LV_0400_20161005_000001	케도라 상단원 알타
QUEST_LV_0400_20161005_000583	그래도 명색이 영주님들이군.{nl}몬스터에게 한 번 혼나고 나니 정신들을 차리신 것 같아.
QUEST_LV_0400_20161005_000584	두 사람을 중재해준 게 결국 여행자님이 노력한 덕분이라며?{nl}어떻게 고마움을 전해야 될지 모르겠군.
QUEST_LV_0400_20161005_000585	여행자님은 잘 모르시겠지만, 하루에도 수십 번씩 몬스터들이 피난민들을 공격해 옵니다.{nl}주변에 병사들이 많으면 뭐합니까.{nl}자기 주인들 지키느라 바쁜데.
QUEST_LV_0400_20161005_000586	{nl}게다가 그 주인이란 사람들은 이 곳 피난민들이 죽든 말든 상관이 없어요.{nl}자기들끼리 땅 가지고 싸우느라 말이죠.
QUEST_LV_0400_20161005_000587	{nl}그러니 제 몸 하나는 스스로 지키려고 방법을 찾을 밖에요.{nl}미안하지만 주변의 나뭇가지들 중 튼튼한 것들을 좀 모아다 주시겠어요?
QUEST_LV_0400_20161005_000588	{nl}잘 다듬어서 무기로 가지고 있으려고요.{nl}전 여기서 제가 모은 나무들을 다듬어야 하거든요.
QUEST_LV_0400_20161005_000589	도와주신다니 정말 감사합니다.{nl}이 근처의 나뭇가지는 모을 만큼 모았으니 콜리지야 교차로 너머를 찾아봐 주세요.
QUEST_LV_0400_20161005_000590	{nl}나뭇가지들 주변엔 몬스터들이 항상 있으니 조심하시고요.
QUEST_LV_0400_20161005_000591	나뭇가지를 모을 때 주변의 몬스터들을 조심하세요.
QUEST_LV_0400_20161005_000592	고맙습니다. {nl}하나같이 단단해 보이는 녀석들이네요.
QUEST_LV_0400_20161005_000593	{nl}하지만 어차피 나무막대.. 이걸로는 오래 못 버틸 거예요.{nl}빨리 영주들 간에 다툼이 끝나야 할 텐데..
QUEST_LV_0400_20161005_000594	{nl}하긴, 끝난다 한 들 높으신 분들이 저희 같은 피난민을 돌볼 지 안 돌볼 지는 여신만이 아시겠죠.
QUEST_LV_0400_20161005_000595	그렉을 도와주시는 걸 봤어요.
QUEST_LV_0400_20161005_000596	{nl}이렇게 선뜻 저희를 도와주시고 몬스터들도 능숙하게 상대하시니..{nl}보통 분이 아니신 것 같네요.
QUEST_LV_0400_20161005_000597	{nl}저희는.. 두 영주가 다툼을 멈추지 않는다면 이 곳에서도 떠나야 돼요.{nl}하지만 에메트 숲은 들어오지 말라는 경고문에, 이상한 소문까지 있으니 무서워서 못 가요.
QUEST_LV_0400_20161005_000598	{nl}결국 갈 곳이 없어요.{nl}그래서 부탁 드리는데, 두 영주 사이를 중재해 주실 수 있을까요?
QUEST_LV_0400_20161005_000599	도와주시는 거죠?
QUEST_LV_0400_20161005_000600	{nl}아 정말 다행이다..
QUEST_LV_0400_20161005_000601	{nl}여행자님이라면 두 영주들을 어떻게든 설득하실 수 있을 거예요.
QUEST_LV_0400_20161005_000602	{nl}리우다스 영주는 병든 형 대신 영지를 다스리고 있어요.{nl}엄청 고집이 센 남자랍니다.{nl}두부스 공터에서 병사들을 이끌고 머물러 있죠.
QUEST_LV_0400_20161005_000603	{nl}요쿠바스 영주는 집안을 이어받은 지 얼마 안 되는 어린 도련님이에요.{nl}네브란디 갈림길에서 자신의 가정교사와 함께 있어요.
QUEST_LV_0400_20161005_000604	{nl}저희들이 가봤자 병사들에게 내쫓겨지기 일쑤였답니다.{nl}부디 여행자님이 그들과 이야기해 주세요.
QUEST_LV_0400_20161005_000605	리우다스 영주는 두부스 공터,{nl}요쿠바스 영주는 네브란디 갈림길에 각각 부하들과 머무르고 있답니다.{nl}부디 그들을 설득해 주세요.
QUEST_LV_0400_20161005_000606	정말 대단하세요!{nl}둘 모두를 설득하실 줄이야..
QUEST_LV_0400_20161005_000607	영주 리우다스
QUEST_LV_0400_20161005_000608	영주라는 신분은 아무나 함부로 말을 걸 수 있는 신분이 아니다.{nl}세상이 아무리 바뀌었어도 그 점은 잊지 말도록.
QUEST_LV_0400_20161005_000609	병석에 누워계신 형님을 대신해 내가 가문의 전권을 위임 받은 상태이다.{nl}가문의 영토를 위협하는 자는 누구든 용납하지 않겠다.
QUEST_LV_0400_20161005_000610	내가 시킨 일들을 성실히 이행했으니 가문의 이름을 걸고 나도 약속은 지키도록 하지.{nl}요쿠바스 애송이와 대화 해 보도록 하겠다.
QUEST_LV_0400_20161005_000611	어디까지나 대화만 할 뿐이다.{nl}이 곳이 우리 가문의 땅이라는 것은 흔들림 없는 진리니까 타협의 여지는 없다.
QUEST_LV_0400_20161005_000612	누군데 이렇게 불쑥 내 앞에 나타난 거지?
QUEST_LV_0400_20161005_000613	{nl}이 무능한 부하 놈들 같으니라고.{nl}함부로 외지인을 내 곁에 오게 하다니..
QUEST_LV_0400_20161005_000614	{nl}어쨌거나 여기까지 왔을 때는 내게 용무가 있는 거겠지?{nl}이 리우다스 영주대리님께 무슨 볼 일인가?
QUEST_LV_0400_20161005_000615	요쿠바스가의 애송이랑 싸우는 이유?
QUEST_LV_0400_20161005_000616	{nl}싸움이랄 것도 없지. {nl}나는 우리 가문의 권리를 정당하게 주장하고 있을 뿐이다.
QUEST_LV_0400_20161005_000617	{nl}내게는 왕실로부터 하사 받은 이 숲의 권리서가 있다.{nl}그걸 저 멍청한 애송이들이 억지를 쓰고 있을 뿐이지.
QUEST_LV_0400_20161005_000618	{nl}나는 형님처럼 호락호락하지 않아.{nl}이곳은 리우다스 가문의 정당한 영지다. {nl}절대 물러설 수 없다.
QUEST_LV_0400_20161005_000619	무슨 얘기를 하려는가 했더니 황당한 말을 하는군.{nl}내가 왜 우리 가문의 정당한 영지에 대해서 그 애송이와 말을 섞어야 하지?
QUEST_LV_0400_20161005_000620	{nl}피난민들의 부탁을 받았다고..?{nl}이 앞에 몇 모여있는 그 피난민들 말인가?
QUEST_LV_0400_20161005_000621	{nl}하긴, 영주된 입장에서 주민들의 부탁을 매정하게 뿌리칠 수도 없지.{nl}내가 시키는 일들 몇 가지를 그대가 처리한다면 얘기를 듣는 정도는 고려해 보겠다.
QUEST_LV_0400_20161005_000622	{nl}지금 병사 몇이 돌림병에 걸린 것 같다.{nl}전염되기 전에 치료를 해야 하니 우선 약재로 쓰이는 피스티스 풀의 뿌리를 캐 오도록.
QUEST_LV_0400_20161005_000623	이 근처에서 자라는 피스티스 풀의 뿌리를 캐 오도록 하라.
QUEST_LV_0400_20161005_000624	수고했군.{nl}하지만 약을 만들기 위해서는 재료가 더 필요하다.
QUEST_LV_0400_20161005_000625	리우다스의 호위병
QUEST_LV_0400_20161005_000626	영주님에게서 물러나라!
QUEST_LV_0400_20161005_000627	여기 계신 분이 이 땅을 다스리는 리우다스 영주님이시다.
QUEST_LV_0400_20161005_000628	약을 만들려면 또 다른 재료인 주황 그루머의 다리가 필요하다.{nl}물론 주황 그루머를 쓰러뜨려야 하니 벅찰 수도 있겠지만..
QUEST_LV_0400_20161005_000629	{nl}어차피 다른 부하를 시키면 되니 그만두고 싶다면 그만둬도 좋다.
QUEST_LV_0400_20161005_000630	흠.. 의외로군.{nl}그대가 누구인지는 모르겠지만 피난민의 부탁에 그토록 성실하게 임할 필요가 있는가?
QUEST_LV_0400_20161005_000631	{nl}뭐, 좋다.{nl}하기로 결정했으면 어서 주황 그루머의 다리를 모아오도록.
QUEST_LV_0400_20161005_000632	주황 그루머를 처치하고 그 다리를 모아오면 병든 내 병사들에게 줄 약을 만들 수 있다.
QUEST_LV_0400_20161005_000633	의외로 일 처리가 쓸만하군.{nl}그대라면 내 개인적인 부탁을 해도 좋겠어.
QUEST_LV_0400_20161005_000634	이 곳은 단순히 우리 가문의 영지일 뿐 아니라 내게는 어린 시절의 추억이 깃든 곳이지.
QUEST_LV_0400_20161005_000635	{nl}아트민티스 공터에는 나와 형님이 키를 재던 나무가 있다.{nl}그 밑에 숨겨놓은 장난감 상자를 되찾고 싶어.
QUEST_LV_0400_20161005_000636	{nl}하지만 요쿠바스 애송이가 자기 땅이라고 주장하는 곳에 있어서 내 병사들이 함부로 갈 수가 없어.
QUEST_LV_0400_20161005_000637	{nl}그대라면 그 애송이도 그렇게까지 경계하지 않겠지.{nl}내 대신 그 장난감 상자를 되찾아 줄 수 있겠는가?
QUEST_LV_0400_20161005_000638	{nl}병 중에 있는 내 형에게 가져다 주고 싶다.
QUEST_LV_0400_20161005_000639	좋아.{nl}상자만 되찾아 준다면 내 그 애송이와의 대화를 고려해 보지.
QUEST_LV_0400_20161005_000640	{nl}나무는 나와 형님이 키를 재던 상처가 아직 남아있으리라 생각되지만..{nl}다른 나무들 상태를 보면 그 나무도 단단한 이끼로 뒤덮여 있으리라 생각된다.
QUEST_LV_0400_20161005_000641	{nl}붉은 콜리멘의 체액은 강한 산성을 띄고 있으니 먼저 그 체액을 모으도록.{nl}그리고 내가 알려주는 나무의 이끼를 모두 녹이고 상처를 확인하라.
QUEST_LV_0400_20161005_000642	{nl}그 나무가 상처가 있는 나무가 맞다면 땅을 파 상자를 찾아보도록 하라.
QUEST_LV_0400_20161005_000643	아트민티스 공터로 가 나무의 이끼를 녹이고 상처 있는 나무인지 확인하도록.{nl}그리고 그 땅 밑에 묻힌 상자를 파내서 가져오도록 하라.
QUEST_LV_0400_20161005_000644	그립구나. {nl}색이 좀 바랬을지언정 어렸을 때 기억하던 그대로로군.{nl}그대가 내 부탁들을 모두 들어주었으니 나도 약속을 지켜야겠지.
QUEST_LV_0400_20161005_000645	{nl}요쿠바스 애송이쪽에 사람을 보내겠다.{nl}하지만 놈이 거절하면 나도 억지로 협상할 생각은 없으니 그리 알도록.
QUEST_LV_0400_20161005_000646	영주 요쿠바스
QUEST_LV_0400_20161005_000647	천한 것!{nl}함부로 말 걸지 마라!
QUEST_LV_0400_20161005_000648	내게 용건이 있다면 로베르타를 통해서 전달하도록 하라.
QUEST_LV_0400_20161005_000649	로베르타가 말하기를 결과가 정해져 있어도 일단 상대의 얘기 정도는 들어줘도 좋다는군.{nl}그래서 일단 뭐라고 떠드는지 들어보기로 했다.
QUEST_LV_0400_20161005_000650	피난민들이 정말 내 도움을 원한다면 먼저 내가 이곳의 주인임을 인정하는 것이 순서 아닌가?
QUEST_LV_0400_20161005_000651	요쿠바스님에게 드릴 말씀이 있다면 먼저 저를 거쳐야 합니다.
QUEST_LV_0400_20161005_000652	영주님이 어릴 적부터 교사로 많은 것을 가르쳐드린 몸입니다.
QUEST_LV_0400_20161005_000653	{nl}그런 만큼 영주님은 저를 신뢰하고 계시죠.{nl}영주님을 설득하시려면 먼저 저를 설득하셔야 될 겁니다.
QUEST_LV_0400_20161005_000654	약속은 지킵니다.{nl}영주님께서 저쪽과 대화하시도록 손 쓰겠습니다.
QUEST_LV_0400_20161005_000655	그런데 이해가 안 가는군요.{nl}어째서 단순한 여행자가 피난민들의 부탁에 이토록 열심히 나서는 거지요?
QUEST_LV_0400_20161005_000656	{nl}당신이 무슨 구원자도 아니지 않습니까?
QUEST_LV_0400_20161005_000657	원래대로라면 이곳은 요쿠바스 가문의 영지임이 틀림없겠습니다만..{nl}세상이 뒤바뀌었으니 그에 맞춰가는 것도 어쩔 수 없겠죠.
QUEST_LV_0400_20161005_000658	새로운 경계가 정해지면 이제 피난민들에게 좀 더 신경 쓰도록 영주님께 건의하겠습니다.
QUEST_LV_0400_20161005_000659	요쿠바스의 호위병
QUEST_LV_0400_20161005_000660	용무가 있다면 로베르타님에게 말씀 드리도록.
QUEST_LV_0400_20161005_000661	요쿠바스 영주님께 함부로 다가가지 마라!
QUEST_LV_0400_20161005_000662	뭐지, 이 천한 자는?{nl}썩 물러가지 못할까?
QUEST_LV_0400_20161005_000663	진정하세요, 영주님.{nl}거기 여행자님, 영주님께 말씀드릴 것이 있다면 먼저 저를 거쳐야 합니다.
QUEST_LV_0400_20161005_000664	저는 요쿠바스 영주님의 충직한 신하 로베르타라고 합니다.{nl}무슨 일이시죠?
QUEST_LV_0400_20161005_000665	감히 누구에게 말을 붙이는가?{nl}할 말이 있다면 로베르타를 통해서 하거라!
QUEST_LV_0400_20161005_000666	아무나 저희 영주님을 뵙진 못합니다.{nl}먼저 자격을 갖추시면 제가 용건을 전해드리도록 하죠.
QUEST_LV_0400_20161005_000667	{nl}크게 어려운 일은 아닙니다.{nl}붉은 콜리멘을 처치하고 오시면 제가 특별히 인정해 드리죠.
QUEST_LV_0400_20161005_000668	제가 부탁 드린 수만큼 붉은 콜리멘을 처치하고 오세요.{nl}용건은 그 다음에 듣도록 하죠.
QUEST_LV_0400_20161005_000669	수고하셨습니다.{nl}이제 어떤 일로 찾아오셨는지 들어볼까요?
QUEST_LV_0400_20161005_000670	리우다스 영주대리님과의 협상이라.. 곤란한 문제를 들고 오셨군요.{nl}저희 요쿠바스 영주님은 정식 영주도 아닌 분과 대립하는 것 자체를 수치스러워하고 계십니다.
QUEST_LV_0400_20161005_000671	{nl}하지만 마냥 무시할 수도 없겠네요.{nl}게다가 피난민들은 진짜 주인이 누군지도 깨닫지 못하는 것 같고..
QUEST_LV_0400_20161005_000672	{nl}아무래도 보다 명확한 증거를 보여줄 필요가 있겠어요.{nl}제가 말씀드릴 물건을 가져와 주신다면 대화만이라도 하실 수 있도록 제가 영주님을 설득해보죠.
QUEST_LV_0400_20161005_000673	아크메니스 호숫가 근처로 가시면 건물잔해들을 보실 수 있을 겁니다.{nl}과거 우리 영지의 관리인이 머물던 거처의 흔적이죠.
QUEST_LV_0400_20161005_000674	{nl}잔해를 찾아보면 요쿠바스 가문의 문장이 남아있는 물건이 있을 겁니다.{nl}우리 쪽 사람들은 리우다스 영주 쪽 사람들에 막혀서 갈 수 없으니 당신이 찾아주셔야겠어요.
QUEST_LV_0400_20161005_000675	아크메니스 호숫가 근처의 잔해에서 요쿠바스 가문의 물건을 찾아 보세요.
QUEST_LV_0400_20161005_000676	그것은.. 방패로군요.{nl}확실히 요쿠바스 가문의 문장이 그려져 있네요.
QUEST_LV_0400_20161005_000677	{nl}수고하셨습니다만 이 정도로 될까 싶기도 하군요.{nl}아무래도 한 가지 더 도와주셔야겠습니다.
QUEST_LV_0400_20161005_000678	요쿠바스 가문은 영지에 돌로 된 기념비를 항상 세웠습니다.{nl}기념비들을 찾을 수 있다면 피난민들을 납득시킬 증거가 될 겁니다.
QUEST_LV_0400_20161005_000679	{nl}있을 만한 위치는 확인했지만, 갈 수가 없었어요.{nl}영주님을 몬스터로부터 보호하기 위해 따로 병사를 뺄 수가 없었거든요.
QUEST_LV_0400_20161005_000680	{nl}게다가 리우다스 영주대리 쪽 병사들이 언제 나타날 지도 모르고..
QUEST_LV_0400_20161005_000681	{nl}보아하니 당신과 함께라면 제가 각 기념비를 조사하는 동안 보호를 받을 수 있을 것 같군요.{nl}저와 함께 기념비들을 찾아 주시겠어요?
QUEST_LV_0400_20161005_000682	좋습니다. 기념비는 각각 파키투시 오솔길, 스칼다 돌길, 라이프타이 절벽에 있을 겁니다.{nl}그럼 가보실까요?
QUEST_LV_0400_20161005_000683	고생 많으셨습니다.{nl}피난민들도 이제 우리 쪽이 진짜 이 땅의 주인임을 알게 되겠죠.
QUEST_LV_0400_20161005_000684	{nl}아.. 말씀하신 부분은 제가 영주님께 잘 말씀 드려보겠습니다.{nl}약속은 약속이니까요.
QUEST_LV_0400_20161005_000685	{nl}하지만 염두에 두실 것은 어디까지나 그저 대화만 나눈다는 겁니다.{nl}이곳이 요쿠바스 가문의 영지라는 것은 너무나 명백해 협상의 여지 따윈 없으니까요.
QUEST_LV_0400_20161005_000686	그런데 문제가 있어요.
QUEST_LV_0400_20161005_000687	{nl}여행자님이 돌아오기 전에, 두 영주 분이 이 옆 공터로 와서 협상을 시작했어요.{nl}하지만 아무래도 분위기가 좋지 않아요.
QUEST_LV_0400_20161005_000688	{nl}가 보시는 게 좋겠어요.
QUEST_LV_0400_20161005_000689	이 옆 공터에서 두 영주님들이 만나고 있더라고요.
QUEST_LV_0400_20161005_000690	영토싸움에 눈이 멀어 중요한 걸 잊고 있었던 것 같군..{nl}리우다스 가문에 걸고 이 곳의 피난민들을 적극 지원하겠다.
QUEST_LV_0400_20161005_000691	몬스터들이 이 정도로 막강했을 줄은 몰랐군.{nl}그 동안은 제대로 덤벼오지 않았었단 말인가..?
QUEST_LV_0400_20161005_000692	내키지는 않지만 경계를 새로 정한 이상 어쩔 수 없지.{nl}더 이상 리우다스 가와 싸우지 않겠다.
QUEST_LV_0400_20161005_000693	로베르타라면 피난민들을 잘 보살펴 줄 방법을 알고 있을 거야.{nl}나는 언제나처럼 로베르타의 조언대로 따를 뿐이다.
QUEST_LV_0400_20161005_000694	부하들이 모두 당할 줄이야..!{nl}그대 덕에 간신히 목숨을 건졌다.
QUEST_LV_0400_20161005_000695	{nl}감사할 따름이야.
QUEST_LV_0400_20161005_000696	몬스터들이 이 정도로 강했었단 말인가?{nl}로베르타를 데려오지 않아서 천만다행이었군.
QUEST_LV_0400_20161005_000697	그래.. 요즘 같은 시절에 우리끼리 영지 다툼을 할 때가 아니었어.{nl}서로 힘을 합쳐 몬스터들의 위협에 맞서야 하는 것을..
QUEST_LV_0400_20161005_000698	그대의 말 대로다.{nl}새로운 경계를 지정해 더 이상 다투지 않는다면 각자의 영역을 다스리는 데 집중할 수 있겠지.
QUEST_LV_0400_20161005_000699	확실히 이 곳은 우리 가문의 영지라고 생각하지만..{nl}이런 상황에서는 양보도 할 줄 알아야겠지.
QUEST_LV_0400_20161005_000700	{nl}어쩔 수 없군.{nl}새로운 경계에 대해 리우다스 쪽과 협의하도록 하지.
QUEST_LV_0400_20161005_000701	논의가 끝났다.{nl}이 지역의 가운데 길을 중심으로 새로이 경계선을 지정하기로 했다.
QUEST_LV_0400_20161005_000702	{nl}더 이상의 분쟁 없이 우선 피난민들을 챙기기로 결정했다.
QUEST_LV_0400_20161005_000703	버릇없고 고집불통인 젊은이인줄 알았는데 생각보단 말이 통하더군.{nl}이제 새로운 경계선이 생겼으니 각자가 피난민들을 챙기기로 하였네.
QUEST_LV_0400_20161005_000704	이제 새로운 경계선이 지정되었음을 알리는 표지판을 세우도록 하겠네.{nl}파스토게 굽이길, 콜리지야 교차로, 파키투시 오솔길 정도면 되겠지.
QUEST_LV_0400_20161005_000705	{nl}그대가 가운데서 고생이 많았군.{nl}앞으로 영주로서 피난민들을 구제하는 데 신경을 쓰도록 내 약속하지.
QUEST_LV_0400_20161005_000706	썩 마음에 드는 결과는 아니지만 어쩔 수 없지.{nl}듣고 보니 리우다스쪽 입장도 일리가 있더라고.
QUEST_LV_0400_20161005_000707	쿠케리 부족들에 이어 마족까지 나타나다니..{nl}실라 숲의 조사가 매우 어려워졌네요.
QUEST_LV_0400_20161005_000708	제가 하려는 일은 많은 이들의 생존이 달린 중요한 일입니다.{nl}하지만 굉장히.. 힘들군요. 도움이라도 받을 수 있다면 좋겠습니다만..
QUEST_LV_0400_20161005_000709	여기서 계시자님의 도움을 받게 되다니 여신들께서는 아직 왕국을 버리지 않으신 것 같군요.
QUEST_LV_0400_20161005_000710	타니엘 2세의 왕릉에 잠들어 있다는 고대 지식들은 왕국을 재건하는 데에 도움이 될 것입니다.
QUEST_LV_0400_20161005_000711	발테리스는 끈질기고도 강력한 마족이었습니다.{nl}계시자님이 아니었으면 과연 그 누가 있어 그 자를 쓰러뜨릴 수 있었을까요.
QUEST_LV_0400_20161005_000712	타니엘 2세의 왕릉에 마족들이 노릴만한 것은 없을 텐데..
QUEST_LV_0400_20161005_000713	{nl}그들의 목적이 무언지 모르겠군요.{nl}왕국을 재건하려는 인간들의 방해? 아니면 계시가 있다고 믿고 있어서?
QUEST_LV_0400_20161005_000714	음?{nl}이런 곳까지 오시다니 상당히 실력 있으신 여행자님이시네요.
QUEST_LV_0400_20161005_000715	{nl}저는 모험가인 인드라야라고 합니다.{nl}왕국 재건을 위해, 피난민들이 머물 수 있을 만한 곳을 조사해 달라는 의뢰를 받았지요.
QUEST_LV_0400_20161005_000716	{nl}그런데 이런 곳에서 마족과 마주칠 줄은 몰랐네요.{nl}저를 지켜주시다가 제 경호원인 마르커스씨도 부상을 입고 말았어요.
QUEST_LV_0400_20161005_000717	{nl}우선 근처에 몬스터들이 접근 못하도록 막고 싶습니다.{nl}부탁이니 저희를 도와주실 수 있을까요?
QUEST_LV_0400_20161005_000718	감사합니다. {nl}주변에 쿠게리 부족이 싫어하는 용액을 뿌려놓긴 했는데 양이 아무래도 부족하네요.{nl}만드는 재료는 있지만 녹일 물이 없습니다.
QUEST_LV_0400_20161005_000719	{nl}이 주변에서 자라는 실라 민들레는 그 꽃봉오리에 이슬을 가득 머금고 있다지요.{nl}부탁이니 실라 민들레 이슬을 모아다 주세요.
QUEST_LV_0400_20161005_000720	실라 민들레의 봉오리에 담겨있다는 이슬을 모아다 주세요.
QUEST_LV_0400_20161005_000721	감사합니다.{nl}이것으로 한시름 놓을 수 있겠어요.
QUEST_LV_0400_20161005_000722	{nl}그런데 그 차림새와 실력.. 너무나 실례인 것은 알지만.. 여쭤봐야겠어요.{nl}혹시, 계시자님이 아니신가요?
QUEST_LV_0400_20161005_000723	역시 짐작대로군요.{nl}명성은 익히 들어 알고 있습니다.
QUEST_LV_0400_20161005_000724	{nl}영광입니다.{nl}계시자님이시라면 저도 진짜 목적을 밝혀야겠군요.
QUEST_LV_0400_20161005_000725	마르커스
QUEST_LV_0400_20161005_000726	함부로 이 분께 다가가지 마라..!{nl}중요한 임무를 맡고 계신 귀한 분이다!
QUEST_LV_0400_20161005_000727	쿠케리 부족 놈들.. {nl}예전의 놈들에 비해서 너무 강력해졌어..
QUEST_LV_0400_20161005_000728	당신의 소문은 나도 들어 알고 있소..{nl}나 대신 이 분을 도와주시기 바라오..
QUEST_LV_0400_20161005_000729	당신은 이미 사람들의 신뢰를 받고 있지..{nl}이 일을 돕는다면 왕실 관계자들의 신뢰 또한 두터워질 것이오..
QUEST_LV_0400_20161005_000730	다시 소개하겠습니다.{nl}전 모험가는 아닙니다.
QUEST_LV_0400_20161005_000731	{nl}왕실을 재건하려는 라민 대장군의 명령으로 이곳에 와 있는 것입니다.{nl}실라 숲에 숨겨져 있다는 타니엘 2세의 왕릉을 찾기 위해서지요.
QUEST_LV_0400_20161005_000732	{nl}여기 마르커스님은 저를 호위하시는 임무를 맡은 장교님이시지만 부상을 입으셨습니다.{nl}그러니, 계시자님께서 제가 명령을 완수할 수 있도록 도와주실 수 있을까요?
QUEST_LV_0400_20161005_000733	감사합니다.{nl}저희를 습격해 온 것은 마족의 사주를 받은 쿠게리 부족이었습니다.
QUEST_LV_0400_20161005_000734	{nl}평소 인간을 좋아하지는 않긴 했지만 이렇게 계획적으로 습격해 올 줄은 몰랐습니다.{nl}분명 마족과의 은밀한 동맹을 맺은 것이 분명합니다.
QUEST_LV_0400_20161005_000735	{nl}그들이 계속 저희를 수색하고 있을 것입니다.{nl}계시자님께서 부디 쿠게리 부족의 수를 줄여 주시기 바랍니다.
QUEST_LV_0400_20161005_000736	라민 대장군께서는 왕실의 재건을 가장 큰 목표로 삼고 움직이고 계십니다.{nl}가능한 한 모든 것을 동원하고자 하시지요.
QUEST_LV_0400_20161005_000737	{nl}그러던 중 왕실에 전해내려 오는 전승 하나를 주목하셨습니다.
QUEST_LV_0400_20161005_000738	{nl}과거 타니엘 2세께서는 또 다른 왕릉을 건설하셨다고 합니다.{nl}왕가에 전해져야 할 유지와 당대의 수많은 지식들이 훗날의 환란에 대비해 보관되었다고 하지요.
QUEST_LV_0400_20161005_000739	{nl}대장군께서는 숨겨진 지식들이 왕실을 재건하는 데에 큰 도움이 되리라 굳게 믿고 계십니다.
QUEST_LV_0400_20161005_000740	{nl}숨겨진 왕릉의 입구를 찾기 위해서는 왕가의 핏줄이어야 한다고 전해집니다.{nl}그래서 영광스럽게도 왕가의 먼 친척인 제가 중책을 맡게 되었지요.
QUEST_LV_0400_20161005_000741	{nl}하지만 마족들 역시 두 번째 왕릉을 노리고 있으리라고는 생각 못했습니다.
QUEST_LV_0400_20161005_000742	{nl}본래 마족은 둘이었지만 제가 거짓 정보를 흘려 한 명을 에메트 숲에서 헤매게 만들었습니다.{nl}그러나 남은 하나는 제 꾀에 넘어가지 않고 나름대로 단서를 가진 채 여기까지 쫓아왔습니다.
QUEST_LV_0400_20161005_000743	{nl}여기서 계시자님을 만나지 못했더라면 마족의 방해에 부딪혀 임무를 진행하지 못했을지도 모릅니다.
QUEST_LV_0400_20161005_000744	저희의 뒤를 쫓고 있을 쿠게리 저이니와 쿠게리 자비들을 물리쳐 주시기 바랍니다.
QUEST_LV_0400_20161005_000745	감사합니다.{nl}하지만 그들 뒤의 마족을 처단하지 않고서는 안심할 수 없겠지요.
QUEST_LV_0400_20161005_000746	제게 전해주실 것이 있다고요?
QUEST_LV_0400_20161005_000747	{nl}..{nl}이것은 마족의 명령서입니다!
QUEST_LV_0400_20161005_000748	{nl}쿠게리들이 이것을 어떻게 읽을 수 있는지 모르겠군요.{nl}어쨌든 저도 마족들의 언어를 공부한 적이 있으니 내용을 해석해 보도록 하겠습니다.{nl}
QUEST_LV_0400_20161005_000749	제 능력으로는 가져다 주신 명령서를 올바르게 해석할 수 없었습니다.{nl}틀림 없이 다른 명령서가 있을 텐데..
QUEST_LV_0400_20161005_000750	{nl}그것들을 모아 비교해가며 해석하다 보면 어느 정도 마족의 의도를 짐작할 수 있을 것 같네요.{nl}수고스러우시겠지만 명령서를 좀 더 모아 주실 수 있을까요?
QUEST_LV_0400_20161005_000751	감사합니다. 분명 쿠게리 자비로부터 얻으셨다고 했지요?{nl}스타바스 공터로 가는 길목의 쿠게리 자비들을 사냥하고 명령서들을 모아다 주세요.
QUEST_LV_0400_20161005_000752	쿠게리 자비들에게 다른 명령서가 있을 것입니다.{nl}여러 장의 명령서라면 저도 해석할 수 있는 부분이 있겠지요.
QUEST_LV_0400_20161005_000753	감사합니다.{nl}모아주신 문서들을 토대로 마족이 무얼 꾸미는지 알아내겠습니다.
QUEST_LV_0400_20161005_000754	모아 주신 명령서는 다 보았습니다.{nl}일단 설명을 좀 드리자면..
QUEST_LV_0400_20161005_000755	{nl}왕릉을 노리는 마족의 이름은 발테리스라고 합니다.{nl}동료와는 달리 영리한 자로 나름대로 단서를 가지고 왕릉을 추적하던 중 저희와 마주쳤지요.
QUEST_LV_0400_20161005_000756	{nl}여기 마르커스님의 활약으로 둘 다 도망칠 수 있었습니다만..{nl}왕릉의 비밀과 관계된 상자를 빼앗기고 말았습니다.
QUEST_LV_0400_20161005_000757	{nl}명령서의 내용으로 미루어 짐작해보면 그는 아직 그 상자의 비밀을 파헤치지 못한 듯 싶군요.
QUEST_LV_0400_20161005_000758	{nl}계시자님.{nl}어려운 부탁인 줄은 압니다만 발테라스를 물리치고 그 상자를 되찾아 주실 수 있을까요?
QUEST_LV_0400_20161005_000759	감사합니다.{nl}그는 지금 아페이고스 제단에서 실마리를 풀지 못해 헤매는 중인 것 같습니다.
QUEST_LV_0400_20161005_000760	발테리스를 물리치고 그가 빼앗아 간 왕가의 상자를 되찾아 주세요.
QUEST_LV_0400_20161005_000761	감사합니다.{nl}계시자님 덕에 방해하는 자도 사라지고 단서도 되찾았습니다!
QUEST_LV_0400_20161005_000762	이제 방해가 되던 것들도 사라졌으니 왕릉 입구 찾기에만 집중할 수 있겠네요.{nl}그 전에 한 가지 말씀 드리지 않은 것이 있습니다.
QUEST_LV_0400_20161005_000763	{nl}왕릉의 입구를 찾는 것은 여러 가지 수수께끼들을 풀어야만 가능합니다.{nl}찾아다 주신 왕가의 상자가 그 수수께끼들의 시작입니다.
QUEST_LV_0400_20161005_000764	{nl}왕가의 상자에는 왕릉의 입구를 찾을 중요한 단서가 담겨 있지만, 그냥 열리지는 않습니다. {nl}여기 이 자물쇠의 다섯 색을 조합하는 방법을 알아야 하지요.
