QUEST_20150317_000001	Please select the user requiring a quest update.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20151022_002860	That enormous tree was the cataclysm as well as the monsters. I'll acknowledge that.{nl}However, the kingdom and its people are responsible for the chaotic events{nl}that occurred afterward. {nl}If Medzio Diena were to occur at our hometown, this kind of situation would've never happened.	그 거대한 나무는 천재지변이었지. 몬스터들도 그렇고. 인정한다.{nl}하지만 그 뒤에 일어난 지나칠 정도의 혼란은 왕국과 백성의 책임이다.{nl}우리 고향에서 신수의 날이 일어났더라면 이런 상황까지는 오지 않았을 것이다.				바바리안 서브 마스터
QUEST_20151022_002861	Pepole like you hoping to straighten out the chaos are interesting.{nl}It's a forte that only a handful of people carry in this kingdom.	당신처럼 이 혼란을 바로잡고자 하는 이들이 간간히 보이더군.{nl}그나마 이 왕국이 가진 몇 안되는 강점 중 하나다.				바바리안 서브 마스터
QUEST_20151022_002862	We, the Bokor, are the clergy that are meant to spread the blessing of the goddess to the world.{nl}It's just that our methods are a bit unfamiliar.	우리 보코르 역시 여신의 은총을 세상에 퍼뜨리는 성직자랍니다.{nl}그 방법이 조금 낯설 뿐이지요.				보코르 서브 마스터
QUEST_20151022_002863	Ahaha. Did you think that the Bokors would have dark personalities?{nl}It seems that misunderstanding of the Bokors has spread far in the public eye.	아하핫. 보코르라면 성격이 어두운 사람일 것이라고 생각하셨나요?{nl}세간에 보코르에 대한 오해가 많이 퍼진 모양이군요.				보코르 서브 마스터
QUEST_20151022_002864	There are already many splendid people at Orsha.{nl}I have come here to this place to get closer to meet with people who are having difficulties.	오르샤에는 이미 훌륭한 분들이 많이 계시죠.{nl}저는 보다 더 곤경에 처한 분들께 가깝게 다가가고자 이 곳으로 왔습니다.				딥디르비 서브 마스터
QUEST_20151022_002865	The meeting with Tesla was a luck of a lifetime.{nl}It'd be great if he would message of his current whereabouts.	테슬라님을 뵙게 된 것은 일생일대의 행운이었어요.{nl}지금은 어디 계신지 연락이라도 닿으면 좋을텐데요.				딥디르비 서브 마스터
QUEST_20151022_002866	I don't believe it's much of a trouble.{nl}For someone who has dedicated their loyalty to the kingdom, {nl}they must be able to sacrifice their life for the subjects of the kingdom in times like these.	별 고생이라고는 생각 안하네.{nl}왕국에 충성했던 자라면 이런 시기에 왕국민을 위해 목숨도 내던질 수 있어야 하는 법.				캐터프랙트 마스터
QUEST_20151022_002867	Please don't get surprised.{nl}This fluid is created by Sadhu's ability to help the people of Orsha located around here.	놀라지 마시기 바랍니다.{nl}이 곳 오르샤의 사람들을 돕기위해 사두의 능력으로 유체만이 와 있는 것입니다.				사두 마스터
QUEST_20151022_002868	Paladins like us prove the faith of the goddess through our strengths.{nl}It is our job to protect the people from the monsters or the demons.	우리 팔라딘은 여신에 대한 믿음을 힘으로 증명합니다.{nl}몬스터나 마족들로부터 직접적으로 사람들을 지키는 것이 저희의 일이지요.				팔라딘 서브 마스터
QUEST_20151022_002869	When my uncle finishes his mission, the responsibilites will be handed down to me.{nl}However, through my ability as a Paladin, I want to protect the kingdom and serve the goddess.{nl}If my current ability is mastered, I wish to work towards the mastery of another system.	삼촌이 사명을 마치시면 그 책임은 제가 이어받게 되겠지요.{nl}하지만 저는 팔라딘의 능력 이상으로 왕국을 보호하고 여신을 섬기고 싶습니다.{nl}제 능력이 닿는다면 다른 계통의 마스터까지 노려볼까 싶어요.				팔라딘 서브 마스터
QUEST_20151022_002870	Find the ferret's hideout and season the stolen food with the crimson water.{nl}The ferrets hide the stolen foods between the fruit baskets.{nl}	이제 페릿 근거지에서 훔쳐간 식량을 찾아 붉은 물로 살짝 양념만 쳐주면 되요.{nl}페릿들은 훔쳐간 식량을 과일 바구니 사이에 숨겨놓는 답니다.{nl}	QUEST_LV_0100_20151016_009843	Now, the ferrets tend to stick the stolen food inside fruit basket.{nl}Go to the ferret's hideout and season the stolen food with the crimson water.{nl}What matters the most is to poison the fresh ones.{nl}The ferrets are stupid and lazy and prone to let food rot because they forgot.{nl}It's no use if they think they just got sick from bad food. Only the fresh ones will do the trick.	페릿들은 훔쳐간 식량을 과일 바구니 사이에 숨겨놔요.{nl}이제 페릿 근거지에서 훔쳐간 식량을 찾아 붉은 물로 살짝 양념만 쳐주면 되요.{nl}중요한 건 최근에 훔쳐간 신선한 식량을 오염시켜야 한다는 거에요.{nl}페릿들은 생각보다 멍청해서 훔친 식량을 까먹고 썩히는 경우가 있다고 하더라구요.{nl}상한 식량을 먹고 배탈이 났다고 생각하면 곤란하니까 반드시 신선한 식량을 노리셔야해요.	마을 주민
QUEST_20151022_002871	Ah! The ferrets have stolen beef jerky this time.{nl}The ferrets are absolutely fond of beef jerkys. {nl}Find the stolen beef jerkeys and make sure to corrupt them.	아! 이번에 페릿이 훔쳐간 건 육포에요.{nl}페릿은 육포를 굉장히 좋아하거든요. 훔쳐간 육포를 찾아서 반드시 오염시켜주세요.				마을 주민
QUEST_20151022_002872	Chase after the girl!{nl}She must not meet with the Revelator!	소녀를 쫓아라!{nl}절대 계시자와 만나게 둬선 안된다!				마족
QUEST_20151022_002873	Finally found you! The ferrets do have their uses.	드디어 찾았다! 페릿 놈들도 쓸모가 있구나.				마족
QUEST_20151022_002874	There seems to be a fly hidden among us... Find and eliminate them.	파리가 한 마리 꼬였군.. 저 놈은 알아서 처리해라.				마족
QUEST_20151022_002875	Halt! You must not be an average fly to make it this far.	멈춰라! 이곳까지 오다니 보통 파리가 꼬인 건 아닌 가 보구나.				마군주 자우라
QUEST_20151022_002876	Perfect timing, my body was starting to turn stiff.{nl}Don't you dare think you'll return alive. Grasshopper!	안 그래도 몸이 근질거렸는데 잘 됐군.{nl}살아돌아갈 생각은 하지 마라. 애송이!				마군주 자우라
QUEST_20151022_002877	Don't think this is the end... If you think I'll let you rescue Lada, think again!	끝이라고 생각하지 마라.. 네 놈이 라다를 구하도록 내버려둘 거라 생각하지 말란 말이다!!				마군주 자우라
QUEST_20151022_002878	I cannot hand over the Kruvina to you!	크루비나를 네 손에 넘길 수는 없지!				마군주 자우라
QUEST_20151022_002879	Since it's become to this, I will use the power of Kruvina to crush you!	이렇게 된 이상 크루비나의 힘으로 네 놈을 뭉개주마!				마군주 자우라
QUEST_20151022_002880	What are you doing... Beholder...{nl}This is none of your concern!	뭐하는 짓이냐.. 주시자..{nl}이건 네 놈이 상관할 바가 아니다!!				마군주 자우라
QUEST_20151022_002881	This is Giltine's power.{nl}This desirable power is of no importance to someone like you. 	이힘은 길티네님의 것이다.{nl}하찮은 네 놈이 탐낼 힘이 아니야.				주시자
QUEST_20151022_002882	In return, hand over the power that Giltine has approved.	대신 길티네님이 허락하신 힘을 넘겨주도록 하지.				주시자
QUEST_20151022_002883	Thank you for rescuing us. If it weren't for your light, it might have become dangerous.{nl}I will return back to town and inform that the ferrets have appeared.	구해주셔서 감사합니다. 당신의 빛이 아니었다면 위험했을 겁니다.{nl}저는 마을로 돌아가서 페릿이 나타났었다고 알리겠습니다.				마을 사제
QUEST_20151022_002884	The ferrets play dead in critical situations.	페릿은 위급한 상황에 죽은 척을 하는 것 같다.				페릿
QUEST_20151022_002885	The ferrets are curious animals and eats whatever they have yet to see.	페릿은 호기심이 많아 처음 보는 것은 일단 먹어보는 것 같다.				페릿
QUEST_20151022_002886	My eyes met with the ferret who's been looking around. The ferret looks bored.	주위를 두리번 거리는 페릿과 눈이 마주쳤다. 심심해하는 것 같다.				페릿
QUEST_20151022_002887	The ferrets are nocturnal and seems to sleep a lot during the day.	페릿은 야행성이라 낮에는 잠을 자는 경우가 많은 것 같다.				페릿
QUEST_20151022_002888	The ferrets are carnivorous animals and doesn't seem to like fruits that much.	페릿은 육식 동물이라 생각보다 과일을 좋아하지 않는 것 같다.				페릿
QUEST_20151022_002889	Demons. Set up. Totem.{nl}Totem. Touch. Ferrets become stronger.{nl}Ferrets. Win against humans!	마족. 세웠다. 토템.{nl}토템. 만지면. 페릿 쎄져.{nl}페릿. 인간 이긴다!				페릿
QUEST_20151022_002890	The fruit has become bigger. Run away coward humans.{nl}No human qualifications! Ferrets will scare them away!	과일 커졌다. 겁쟁이 인간 도망쳐.{nl}인간 자격 없어! 페릿이 쫓아낸다!				페릿
QUEST_20151022_002891	Demons. Helps the ferrets. Demons. Turned ferrets stronger.{nl}Demons. Tried to protect. Humans. Cannot come closer.{nl}Then demons. Continue to help the ferrets.	마족. 페릿 돕는다. 마족. 페릿 강하게 했다.{nl}마족. 지키라고 했다. 인간. 가까이 못 온다.{nl}그러면 마족. 페릿 계속 돕는다.				페릿
QUEST_20151022_002892	This ferret doesn't hold a single interest to converse with me.	이 페릿은 나와 대화할 생각이 없는 것 같다.				페릿
QUEST_20151022_002893	The mysterious girl has run off to Zeraha without a word. Let's follow her. 	신비한 소녀가 말 없이 제라하로 뛰어갔다. 따라가보자.	QUEST_20151001_002683	The mysterious girl ran away without saying anything. Follow her.	신비한 소녀가 말 없이 어딘가로 뛰어갔다. 따라가보자.	소녀
QUEST_20151022_002894	Beef Jerky cannot be found here.	이 곳에 육포는 없는 것 같다.				수상한 바구니
QUEST_20151022_002895	Only fruits can be seen from this basket.	이 바구니에는 과일 밖에 보이지 않는다.				수상한 바구니
QUEST_20151022_002896	This must be the wrong basket.	이 바구니가 아닌 것 같다.				수상한 바구니
QUEST_20151022_002897	The girl appeared and asked me to follow her.	소녀가 나타나 따라오라고 한다.				소녀
QUEST_20151022_002898	Black Soul	검은 영혼				
QUEST_20151022_002899	I can feel the flow of enigmatic power after burning the black soul of the demons.	마족의 검은 영혼을 불태우자 알 수 없는 힘이 흘러들어오는 게 느껴진다.				검은 영혼
QUEST_20151022_002900	Whispers can be heard to take them to the soul altar.	영혼 제단으로 데려가 달라는 속삭임이 들린다.				영혼
QUEST_20151022_002901	I thought they would come to rescue their comrade, but...{nl}The wrong person seem to be caught.	동료를 구하러 올거라고 생각은 했다만..{nl}엉뚱한 녀석이 걸려들었군.				마군주 마르녹스
QUEST_20151022_002902	You seem to be doing well in my governed prison.{nl}You might be the Revelator that miss Giltine has spoken of.{nl}But, even the Revelator is merely a human... I, Marnox cannot be resisted against!	너는 내가 지배하는 이 감옥 안에서 잘도 돌아다니는 구나{nl}길티네님이 말씀하신 계시자일지도 모르겠군.{nl}하지만 계시자도 한낱 인간일뿐.. 이 마르녹스에겐 대항할 수 없다!				마군주 마르녹스
QUEST_20151022_002903	I can't waste time with you.	네게 시간을 허비할 순 없지.				마군주 마르녹스
QUEST_20151022_002904	This should be enough.	이 정도면 충분하겠지.				마군주 마르녹스
QUEST_20151022_002905	Acquiring Bracken Herb.	고사리 약초 채집 중	QUEST_20151016_002797	Pouring the Blood	체액 뿌리는 중	
QUEST_20151022_002906	Acquired Bracken Herb!	고사리 약초 획득했습니다!	QUEST_20151016_002798	The Bracken Herb is rotting.	고사리 약초가 삭고 있습니다	
QUEST_20151022_002907	Acquired Herb!	약초 획득했습니다!				
QUEST_20151022_002908	Burn the box filled with braken.	고사리가 든 상자 태우기				
QUEST_20151022_002909	The box filled with bracken has been burnt.	고사리가 든 상자를 태웠습니다				
QUEST_20151102_002910	And to protect you...{nl} I could do no more than to hide you amongst many other Revelators.	그리고 당신을 지키기 위해.. {nl}수 많은 계시자 속에 당신을 숨길 수 밖에 없었습니다.{nl}	QUEST_20150317_000020	I decided to divide my being and remain within many revelations. {nl} Revelations that I continued to create secretly over a millennium.	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}	여신 라이마
QUEST_20151102_002911	Advance to 7th Rank?	7랭크로 전직하시겠습니까?				Basic
QUEST_20151102_002912	Vain death is the only thing that lies at the end for those who simply seek to be audacious.{nl}If you wish to save the world, lift the shield of the Peltasta.	그저 용맹만을 추구한다면 그 끝은 허망한 죽음일 것입니다.{nl}그대가 세상을 구하고자 한다면, 펠타스타의 방패를 드십시오.	QUEST_20151001_002468	Vain death is the only thing that lies at the end for those who simply seek to be audacious.{nl}If you wish to save the world, lift the shield of the Peltasta.	그저 용맹만을 추구한다면 그 끝은 허망한 죽음일 것입니다.{nl}그대가 계시자로서 세상을 구하고자 한다면, 펠타스타의 방패를 드십시오.	펠타스타 마스터
QUEST_20151102_002913	Please protect the Namott Barrier located at the summit of the valley.{nl}I will dispose the rest of the mess when the brothers arrive.	그들에게서 이 계곡 꼭대기에 있는 나모트 결계를 지켜주세요.{nl}나머지 뒤처리는 형제들이 도착하면 저희가 마무리 짓겠습니다.	QUEST_20150317_000256	Please protect the Romuvan barrier at the top of the valley. {nl}We will take care of the rest when our brothers arrive here.	그들에게서 이 계곡 꼭대기에 있는 로무바 결계를 지켜주세요.{nl}나머지 뒤처리는 형제들이 도착하면 저희가 마무리 짓겠습니다.	추종자 노마
QUEST_20151102_002914	Welcome. I heard you were coming from Uska. {nl}Don't just stand there. I wish to have a word with you.	어서 오게. 우스카에게 대강의 이야기는 들었네.{nl}멀뚱히 서 있지 말고 가까이 오게. 자네와 얘길 좀 나누고 싶거든.	QUEST_20150317_000395	Welcome. I heard you were coming from Uska. {nl}Don't just stand there. I wish to have a word with you.	어서오게. 우스카에게 대강의 이야기는 들었네.{nl}멀뚱히 서 있지 말고 가까히 오게. 자네와 얘길 좀 나누고 싶거든.	팔라딘 마스터
QUEST_20151102_002915	Hiya, sorry about the mess.{nl}Please understand, it's currently still difficult for us to recover.{nl}Is there anything you want to store?	어서 오세요. 좀 정신이 없죠?{nl}아직 열심히 복구중이니까 이해해주세요.{nl}그건 그렇고, 무엇을 맡아드릴까요?	QUEST_20150918_002439	Welcome. It sure is busy here, right?{nl}Please be patient with us as we're trying our best to restore the area.{nl}Anyway, how can I help you?	어서오세요. 좀 정신이 없죠?{nl}아직 열심히 복구중이니까 이해해주세요.{nl}그건 그렇고, 무엇을 맡아드릴까요?	창고지기 자단
QUEST_20151102_002916	First of all, magic must be strong.{nl}Using powerful spells to unleash powerful magic is basic.{nl}What can you do with weak magic?{nl}	마법은 일단 강해야지.{nl}강한 마력으로 강한 마법을 사용하는 건 기본이야.{nl}약해빠진 마법으로 뭘 할 수 있겠어?{nl}				파이로맨서 서브 마스터
QUEST_20151102_002917	To become a stronger mage, you cannot idle around and ignore practice.{nl}Well, you might still be able to catch up to talented people such as myself.	너도 강한 마법사가 되고 싶다면 수련을 게을리 하면 안돼.{nl}뭐 그렇다고해도 나처럼 재능있는 사람을 따라잡을 수 있을지는 모르겠지만.				파이로맨서 서브 마스터
QUEST_20151102_002918	It's very important to maintain a relaxed mind when using magic.{nl}Not only can you not be able to use magic when losing your composure, {nl}you might also find yourself in danger.{nl}Those who use magic should keep their heads and hearts calm at all times.	마법을 사용할 때는 차분한 마음가짐을 유지하는 게 중요합니다.{nl}평정심을 잃는다면 마법을 제대로 사용할 수 없을 뿐 아니라 자신이 위험에 빠질 수도 있죠.{nl}마법을 사용하는 자라면 머리도 가슴도 항상 차가워야합니다.				크리오맨서 서브 마스터
QUEST_20151102_002919	Delicate control is required for higher ranked magic.{nl}A minor mistake may lead to a fatal result.{nl}You must not forget this as you get more skillful and handle more variety of magic.	고위 마법일수록 섬세한 제어가 필요하네.{nl}사소한 실수가 치명적인 결과를 낼 수도 있지.{nl}자네가 실력이 좋아져서 많은 마법을 다루게 될 수록 이 점을 잊으면 안되네.				사이코키노 마스터
QUEST_20151102_002920	An advice from me?{nl}Speaking as a Linker, you must have a wide perspective.{nl}There are many cases of those mages who uses synergy magic, {nl}without checking their surroundings as they want to cast magic as soon as possible.{nl}	제가 해드릴 수 있는 조언이요?{nl}링커로서 말하자면 넓은 시야를 가지라고 하고 싶네요.{nl}간혹 마법을 사용하는 사람들을 보면 당장 자신의 마법을 사용하는데 급급해서 주위를 살피지 못하는 경우가 있어요.{nl}				링커 마스터
QUEST_20151102_002921	Not only do you have to watch for yourself and your enemies, {nl}but you must as well have to be in the head of your comrade in arms.{nl}If you don't plan the effects of your magic ahead, {nl}you are no different than those reckless novice soldiers swinging their swords around carelessly.	자신은 기본이고 적도 신경써야 하지만 함께 싸우는 동료들도 항상 머리속에 있어야해요.{nl}자신의 마법이 어떤 영향을 줄지 미리 생각하지 않는다면 마구잡이로 무기만 휘두르는 초보 병사들과 다를 바가 없죠.				링커 마스터
QUEST_20151102_002922	Psychokino Tome Volume 1	사이코키노 마법서 1권				
QUEST_20151102_002923	Story of the first Psychokino	초대 사이코키노에 대한 이야기				사이코키노 마법서 1권
QUEST_20151102_002924	Psychokino Tome Volume 2	사이코키노 마법서 2권				
QUEST_20151102_002925	Story of Psychokino's magic	사이코키노 마법에 대한 이야기				사이코키노 마법서 2권
QUEST_20151102_002926	Psychokino Tome Volume 3	사이코키노 마법서 3권				
QUEST_20151102_002927	Story of Psychokinos before the Medzio Diena	신수의 날 이전의 사이코키코들 이야기				사이코키노 마법서 3권
QUEST_20151102_002928	Psychokino Tome Volume 4	사이코키노 마법서 4권				
QUEST_20151102_002929	What Psychokino did at the Mage Tower	마탑에서 사이코키노가 한 일				사이코키노 마법서 4권
QUEST_20151102_002930	Psychokino Tome Volume 5	사이코키노 마법서 5권				
QUEST_20151102_002931	Psychokino's Potential	사이코키노의 가능성 (환상도서관 이야기 같은 게 나와도 좋을 듯)				사이코키노 마법서 5권
QUEST_20151102_002932	After the lord's migration has fallen, the people of the south are heading towards Orsha.{nl}If you're an adventurer who has recently started traveling, head to camping area on the east.{nl}There should be people who are able to guide you.	영주님의 이주령이 떨어진 이후로 남부지방 사람들은 대부분 오르샤로 향하고 있습니다.{nl}이제 막 여행을 시작하신 모험가시라면 동쪽의 캠프지역으로 가보십시오.{nl}안내해줄 사람들이 있을 겁니다.				이주민 보웨인
QUEST_20151102_002933	I saw Orsha from a slope on the way here from a town.{nl}The splendor surrounded by a castle wall I've seen as a kid has disappeared,{nl}and now coiled with trees with the size of a house.{nl}I wonder how long you can last in such a place.	마을에서 이곳으로 오던 중, 언덕길에서 오르샤를 보았습니다.{nl}어릴때 보았던 성벽으로 둘러쌓인 위용은 어디가고 곳곳에 집채만한 나무들에 휘감겨 있더군요.{nl}과연 저 곳에선 얼마나 버틸 수 있을지 모르겠습니다..				이주민 브로펜
QUEST_20151102_002934	It's obviously Intelligence for the Wizard and its branch.{nl}However, you also need to remember Spirit to cast spells frequently.{nl}Select well between balance and concentration.	마법사 계열이라면 역시 지능이죠.{nl}하지만 마법을 자주 사용하려면 정신력도 잊지 말아야 합니다.{nl}균형과 집중 중에서 잘 선택하셔야 해요.				이주민 브로펜
QUEST_20151102_002935	It's obviously Strength for the Archer and its branch.{nl}However, you cannot forget nimble Dexterity.{nl}It's best to think ahead of what to become.	궁수 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림을 빼 놓을 순 없겠지만요.{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 겁니다.				이주민 브로펜
QUEST_20151102_002936	It's obviously Intelliegence for the Cleric and its branch.{nl}However, you may also require Strength or Spirit.{nl}It's best to think ahead of what to become.	성직자 계열이라면 역시 지능이죠.{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 거예요.				이주민 브로펜
QUEST_20151102_002937	Only if our town also had an inn for merchants to stay and rest.{nl}We could've prepared beforehand...{nl}After spending so long at an inlet of a valley, we got to suffer for not knowing the world affairs.	우리 마을도 다른 마을처럼 상인들이 머물다 갈 수 있게 쉼터라도 있었더라면{nl}이런 상황이 오기 전에 대비할 수 있었을 겁니다..{nl}계곡의 후미진 곳에 있다보니 세상물정 모르고 당해버렸지요.				이주민 이즈나
QUEST_20151102_002938	Living there inside of Orsha's partially destroyed fortress.{nl}Living here with swarming monsters and fear of safety.{nl}Both are tough choices to make.{nl}I wish to return back to my hometown...	저 오르샤의 반파된 성채 안에 갖혀 살거나{nl}몬스터가 우글거리는 이 곳에서 안전부절하며 살거나{nl}둘 다 힘들긴 마찬가지 겠군요.{nl}고향으로 돌아가고 싶습니다..				이주민 이바나유
QUEST_20151102_002939	Please let the people with the smell of the ocean to head down to Dallanas.{nl}It's starting to become uneasy with the people not to be seen as time passes.{nl}By any chance, did they all leave to Orsha without me?	바닷물 냄새가 나는 사람을 보거든 모두 이 달라나스에게 와달라고 말해주십시오.{nl}이제 슬슬 올때도 지났건만 보이질 않으니 불안하군요.{nl}혹시 나말고 전부 오르샤로 들어간건가?				이주민 달라나스
QUEST_20151102_002940	There's no way that such a huge amount of people can enter Orsha.{nl}That's why we try to gather and accommodate them here as much as possible.	이렇게 많은 사람들이 모두 오르샤로 들어갈 순 없습니다.{nl}그래서 최대한 그들의 편의를 봐주며 이곳에 모아두고 있지요.				관리관 류타스
QUEST_20151102_002941	Lethargy and fear can be seen in people's eyes.{nl)What would you do if you were the village chief?	사람들 눈 속에 무기력함과 공포가 보인다네{nl}자네가 촌장이라면 어떨것 같나?				촌장 로마나스
QUEST_20151102_002942	{nl}It's the elderly's complaint...{nl}I worry for the lord...	{nl}늙은이의 푸념이라네..{nl}영주님이 걱정되난 구만..				촌장 로마나스
QUEST_20151102_002943	Those who are usually lazy are still carefree in these times of danger.{nl}People who were suppose to arrive early have yet to come.	평소에도 게으르던 사람들은 이런 위급한시기에도 태평하군요.{nl}예전에 왔어야할 사람들이 아직 오질 않고 있어요.				이주민 레일라
QUEST_20151102_002944	This land has been protected by the ancestors of my family.{nl}I will protect this land, no matter what hardship comes my way.{nl}Please lend me your power.	가문의 선조들이 지켜온 땅입니다.{nl}어떤 고난이 닥치더라도 지켜내겠습니다.{nl}제게 힘을 보태주십시오.				이네사 해먼데일
QUEST_20151102_002945	There has been no case of demons being involved during the several years I spent as a chaser.{nl}I believe we have seen all the demons within this area.	추적자일을 한 지 수년 동안 마족이 얽힌적은 한 번 도 없었습니다.{nl}여기서 왠지 평생 볼 마족들을 다 볼 것 같은 느낌이 드는 군요.				추적자 탈바시
QUEST_20151102_002946	The rumors about you are incredible.{nl}It has spread all around Orsha.	당신에 대한 소문이 정말 대단하더군요.{nl}도시 밖에서 시작된 소문이 지금은 오르샤에 쫙 퍼져있어요.				정보원 라레나
QUEST_20151102_002947	I will have to revisit my hometown after this task.{nl}I wish to see my parents after experiencing such a horrible event.	이번 일이 끝나면 고향에 다시 들려봐야 겠습니다.{nl}끔찍한 일을 겪으니 부모님이 뵙고 싶군요.				추적자 센달
QUEST_20151102_002948	I don't believe there are more important tasks over at Orsha than here.	지금 우리가 하는 일보다 오르샤에 중요한 일은 없을 겁니다.				정보원 체라시아
QUEST_20151102_002949	I pray that all the informants are safe.	정보대원들이 모두 무사하길 바랍니다.				정보원 모렌
QUEST_20151102_002950	To survive in such a world, a chaser should be more suitable than a hunter.{nl}	이런 세상에서 살아남으려면 사냥꾼보단 추적자가 더 적합할 겁니다.{nl}				추적자 예울리스
QUEST_20151102_002951	Please find Urbonas instead of worrying about me.	저는 걱정 마시고 우르보나스님을 찾아 주십시오.				사제 프라나스
QUEST_20151102_002952	Please save us from Marnox's grasp.	부디 마르녹스의 손아귀에서 우릴 구해주게..				우르보나스
QUEST_20151102_002953	I miss the days of the peaceful Orsha.{nl}Those days are never coming back, right?	평화로웠던 오르샤가 그립습니다.{nl}앞으로 그런 날은 절대 돌아오지 않겠죠?				사제 프라나스
QUEST_20151102_002954	The demons are coming down from the west.{nl}The events at Ashaq Basement Prison was just the beginning.{nl}How many more sacrifices will have to be done...{nl}I wonder how much longer we can protect Orsha.	마족들은 시시각각 남쪽으로 내려오고 있습니다.{nl}아샤크 지하 감옥에서 있었던 일은 시작에 불과했습니다.{nl}앞으로 얼마나 더 많은 희생을 치뤄야할지..{nl}우리가 이 오르샤를 얼마나 지킬 수 있을지 모르겠군요.				우르보나스
QUEST_20151102_002955	All the wounds have yet to heal.{nl}We will leave when we are able to walk.	아직 부상이 다 낫지 않았습니다..{nl}적어도 움직일 정도가 되면 떠나려 합니다.				사제 이르마
QUEST_20151102_002956	It's awful to believe that I could've disappeared.	제가 실종될 수도 있었다는 생각을 하니 끔찍하군요.				사제 겔리야
QUEST_20151102_002957	By any chance have you seen my cargo left at the Woods of the Linked Bridges?{nl}It should've had my mother's keepsake and other various items...	혹시 덧댄다리 숲에서 제가 놓고온 짐을 보지 못 하셨습니까?{nl}어머니 유품이랑 이것저것 소중한 물건들이 들어있는 건데..				사제 드라즈니에
QUEST_20151102_002958	When you leave this area, you will become a priest, {nl}that will further devote to the goddess' words...{nl}I pray that you return safely.	여길 나가면 지금보다 더 여신의 뜻을 따르는 사제가 될태니..{nl}부디 살아서 돌아갈 수 있기를..				사제 아우라나스
QUEST_20151102_002959	Chaser Daramaus	추적자 다라마우스				
QUEST_20151102_002960	What kind of wealth and honor is Torvana enjoying and followed me here to a such a place...{nl}I must apologize to Torvana when I safely return from this place.	토르바나 이녀석은 무슨 부귀영화를 누리자고 이런 곳에 따라온건지..{nl}여길 무사히 빠져나가면 토르바나에게 사과해야 겠군요.				추적자 다라마우스
QUEST_20151102_002961	Chaser Torvana	추적자 토르바나				
QUEST_20151102_002962	I followed here since Pranas usually has an acquaintance...{nl}But I did not know the fact that he was someone acting on such a reckless behavior.	프라나스님과는 평소에 친분이 있어서 따라오긴 했습니다만..{nl}이렇게 무모한 일을 벌리고 다니시는 분인줄을 몰랐습니다.				추적자 토르바나
QUEST_20151102_002963	Before the kingdom's capital was ruined, {nl}the kingdom's dispatched officers have been ransacking and annoying us...{nl}I miss those old times.	왕국의 수도가 망해버리기 전에는 파견나온 왕국군 장교들이 여기저기 들쑤시고 다니면서 우릴 귀찮게 했는데..{nl}이젠 그 시절이 그립군요.				정보원 페르니프
QUEST_20151102_002964	I believe all the hardships here has become an experience.{nl}There are many stories to tell my kids when I return back to my hometown.	여기 와서 살면서 겪을 고생은 전부 다 해보는 느낌입니다.{nl}고향에 돌아갈땐 제 아이들에게 해줄 이야기가 많겠군요.				추적자 게르메이야
QUEST_20151102_002965	I remember the time when they were recruiting chasers back at my hometown for the first time.{nl}I followed here by trusting in my brother, but there are simply too many tasks.{nl}Not to mention seriously dangerous.	처음 고향에서 추적자를 모집할 때가 생각나는 군요.{nl}게르메이야 형님만 믿고 따라온건데 생각보다 시키는 일이 너무 많습니다.{nl}위험한건 말할 것도 없구요.				추적자 라이티스
QUEST_20151102_002966	I have figured a way to live more diligently back at my hometown.{nl}I wish to see my family...	고향에서 더 열심히 살 방법을 궁리했어야 합니다.{nl}가족들이 보고 싶군요..				추적자 제가우스
QUEST_20151102_002967	If I can't handle this and runaway, I'll become a deserter...{nl}When this task is over, I will have to seriously consider being discharged.{nl}But if that does happen, I wouldn't know how I will from then on.	여기서 못 버티겠다고 도망치면 탈영병이 될태니..{nl}이번일이 모두 끝나면 진지하게 전역을 고민해 봐야겠습니다.{nl}만약 그렇게 된다면 뭘 먹고 살아야할지 모르겠군요.				정보원 노토레스
QUEST_20151102_002968	After this work is over, {nl}I'll be requesting for a vacation to spend my days sleeping with my warm blanket.	이 일이 끝나면 다시 휴가를 신청하고 집에서 하루 종일 따뜻한 이불을 덮고 잠만 잘 겁니다.				정보원 오르웬
QUEST_20151102_002969	Lord's Guard	영주 호위병				
QUEST_20151102_002970	The lord is extremely busy.{nl}Trivial matters should be inquired with a different manager.	영주님은 아주 바쁘십니다.{nl}사소한 문제는 다른 관리관들에게 문의해 주십시오.				영주 호위병
QUEST_20151102_002971	There are too many people requesting to meet with the lord.{nl}Eventually, the lord has decided to leave the castle wall to calm the crowd.	너무나도 많은 사람들이 영주님과의 면담을 요청해오고 있습니다.{nl}결국 영주님이 성밖에서 그들을 달래기 위해 나와 계시지요.				영주 호위병
