ETC_20150317_000001	케파
ETC_20150317_009325	석화된 책
ETC_20150317_009326	엘레베이터 담당자
ETC_20150317_009327	떠내려온 기록물
ETC_20150317_009328	훼손된 선전물
ETC_20150317_009329	레무르(Quest)
ETC_20150317_009330	칼리스 기사단원
ETC_20150317_009331	죽은 경비병
ETC_20150317_009332	석화된 도굴꾼
ETC_20150317_009333	화로
ETC_20150317_009334	석화되어가는 몬스터
ETC_20150317_009335	Q팔라딘 마스터의 임무
ETC_20150317_009336	나무 초소의 결계
ETC_20150317_009337	퓸퓨라 언덕의 결계
ETC_20150317_009338	  [팔라딘 마스터]{nl}발렌티나스 나이몬
ETC_20150317_009339	테넷 성당 1층
ETC_20150317_009340	로무바 제단
ETC_20150317_009341	로무바 제단 자리
ETC_20150317_009342	소환 마법진
ETC_20150317_009343	작은 벌집
ETC_20150317_009344	오염원
ETC_20150317_009345	HUEVILLAGE_58_3_MQ04_귀환용 트리거
ETC_20150317_009346	[딥디르비 마스터]{nl}   조각가 테슬라
ETC_20150317_009347	나무 진액 수거통
ETC_20150317_009348	잠든 우펜트
ETC_20150317_009349	폭약이 담긴 나무통
ETC_20150317_009350	수상한 풀더미
ETC_20150317_009351	낡은 우물
ETC_20150317_009352	낡은 천막
ETC_20150317_009353	대신단 결계
ETC_20150317_009354	마족의 결계
ETC_20150317_009355	구속마법진 이펙트용
ETC_20150317_009356	부엉이 트랙
ETC_20150317_009357	4구역 부엉이 01_HID
ETC_20150317_009358	푸른 영혼석
ETC_20150317_009359	미련많은 호위병 영혼
ETC_20150317_009360	미련많은 학자 영혼
ETC_20150317_009361	순례자 추모비
ETC_20150317_009362	세콰이어 보스트랙
ETC_20150317_009363	카틴숲의 망령
ETC_20150317_009364	팬텀 처치 퀘스트 트리거
ETC_20150317_009365	대장 부엉이의 부탁
ETC_20150317_009366	쏘마터지엘리멘탈리스트5차전직트리거
ETC_20150317_009367	npc_paladin_follower3_2/방랑 상인/HIDDENSHOP_KATYN13/2130/238/-613/315
ETC_20150317_009368	움푹 패인 곳
ETC_20150317_009369	히든퀘스트용트리거(스킬체크용)
ETC_20150317_009370	소드 마스터
ETC_20150317_009371	전사한 분대원
ETC_20150317_009372	흩어진 보급낭
ETC_20150317_009373	부엉이소환용
ETC_20150317_009374	큰아귀길
ETC_20150317_009375	방치된 유골함
ETC_20150317_009376	조각상 파편 사용
ETC_20150317_009377	영혼 함정
ETC_20150317_009378	여신상모양의 열쇠
ETC_20150317_009379	희미한묘지
ETC_20150317_009380	중보스 트리거
ETC_20150317_009381	지휘관 바세닌 위치 트리거
ETC_20150317_009382	미끼 설치 장소
ETC_20150317_009383	잎이 넓은 덤불
ETC_20150317_009384	미끼를 놓을 자리
ETC_20150317_009385	4차_클레릭전직퀘스트용
ETC_20150317_009386	니코티아의 어린 순
ETC_20150317_009387	파드너 4차 전직 트리거
ETC_20150317_009388	네크로맨서 4처 전직용
ETC_20150317_009389	사악한 기운
ETC_20150317_009390	순례자 율리우스*
ETC_20150317_009391	릴리야의 무덤*
ETC_20150317_009392	순례자 마따스의 시체*
ETC_20150317_009393	나태의 나무뿌리 수정*
ETC_20150317_009394	이형 나태의 나무뿌리 수정*
ETC_20150317_009395	오염의 흔적
ETC_20150317_009396	흩어진 나무뿌리 수정 핵
ETC_20150317_009397	소환된 변형 나무뿌리 수정*
ETC_20150317_009398	적갈나무 단층 숲
ETC_20150317_009399	순례자의 길 게이트
ETC_20150317_009400	순례자 그라치우스*
ETC_20150317_009401	제단에 속박당했던 영혼
ETC_20150317_009402	제단에 속박당했던 순례자의 영혼*
ETC_20150317_009403	피냄새가 나는 경전의 표지
ETC_20150317_009404	제단에 속박 당했던 순례자의 영혼*
ETC_20150317_009405	머지에게 억압되어 있던 영혼*
ETC_20150317_009406	유인 제단
ETC_20150317_009407	뽀얀 먼지 더미
ETC_20150317_009408	징검다리
ETC_20150317_009409	나무 뿌리 수정
ETC_20150317_009410	적갈나무 숲 갈대
ETC_20150317_009411	풀꽃
ETC_20150317_009412	지도 회수용 통
ETC_20150317_009413	순례자 테오필리스*
ETC_20150317_009414	순례자 위타스*
ETC_20150317_009415	진실의 나무
ETC_20150317_009416	항아리 놓을 곳
ETC_20150317_009417	위타스의 무덤
ETC_20150317_009418	사제의 무덤
ETC_20150317_009419	사제의 시체
ETC_20150317_009420	순례자의 길 풀
ETC_20150317_009421	죽은 사제
ETC_20150317_009422	루클리스 추모비
ETC_20150317_009423	[캐터프랙터 마스터]{nl}      메멧 쿨라그
ETC_20150317_009424	장작 더미
ETC_20150317_009425	특이한 석판
ETC_20150317_009426	파묻힌 유적
ETC_20150317_009427	소서러, 크로노맨서 5차 전직 트리거
ETC_20150317_009428	제물 항아리
ETC_20150317_009429	파괴된 비문 잔해
ETC_20150317_009430	군용 배낭
ETC_20150317_009431	  [플레쳐 마스터]{nl}비스발다스 블랙
ETC_20150317_009432	   [몽크 마스터]{nl}올파스 그림
ETC_20150317_009433	버려진 짐
ETC_20150317_009434	낡은 상자
ETC_20150317_009435	    [파드너 마스터]{nl}마이스테스 골드문트
ETC_20150317_009436	[소서러 마스터]{nl}데임 키르케
ETC_20150317_009437	파드너 4차 전직트랙용
ETC_20150317_009438	소서러 4처 전직트랙용
ETC_20150317_009439	대왕의 눈
ETC_20150317_009440	협곡지대 장치
ETC_20150317_009441	사학자 고라쓰
ETC_20150317_009442	사학자 바다트
ETC_20150317_009443	나무 수액 항아리
ETC_20150317_009444	협곡 아말라스
ETC_20150317_009445	구스타스의 첫번째 제자
ETC_20150317_009446	구스타스의 두번째 제자
ETC_20150317_009447	장치
ETC_20150317_009448	버려진 도굴 장비
ETC_20150317_009449	돌을 설치 할 곳
ETC_20150317_009450	수상한 틈새
ETC_20150317_009451	협곡 결계장치
ETC_20150317_009452	서쪽 결계
ETC_20150317_009453	동쪽 결계
ETC_20150317_009454	북쪽 결계
ETC_20150317_009455	필드젠안됨
ETC_20150317_009456	망가진 장비
ETC_20150317_009457	함정 설치 지역
ETC_20150317_009458	벽화
ETC_20150317_009459	도망온 아델 (1)
ETC_20150317_009460	봉인 장치
ETC_20150317_009461	탐험가의 가방
ETC_20150317_009462	탐험가 바키스 영혼
ETC_20150317_009463	병사의 시체
ETC_20150317_009464	스비에사의 제단
ETC_20150317_009465	높이 굽은 길
ETC_20150317_009466	바키스 기록비
ETC_20150317_009467	왕릉 수호 장치
ETC_20150317_009468	보물 상자 Lv1
ETC_20150317_009469	우드스피릿 처치 퀘스트 트리거
ETC_20150317_009470	이끼가 붙은 바위
ETC_20150317_009471	보코르 프레이의 부탁(3)
ETC_20150317_009472	거대 나무에 대비(1)
ETC_20150317_009473	거대 나무에 대비(2)
ETC_20150317_009474	유령 집결 해체(4)
ETC_20150317_009475	승선 안내
ETC_20150317_009476	보스트랙
ETC_20150317_009477	중보트랙
ETC_20150317_009478	방치된 수레
ETC_20150317_009479	병사둘 조우 트랙
ETC_20150317_009480	훈련1
ETC_20150317_009481	훈련2
ETC_20150317_009482	훈련3
ETC_20150317_009483	훈련4
ETC_20150317_009484	훈련5
ETC_20150317_009485	보급 수레
ETC_20150317_009486	스파르나스 탐색
ETC_20150317_009487	부베가 약탈한 전리품
ETC_20150317_009488	방치된 보급품
ETC_20150317_009489	허름한 나무상자
ETC_20150317_009490	동쪽 숲 탈환(7)
ETC_20150317_009491	아라스의 의뢰(6)
ETC_20150317_009492	광산 마을 진입(2)
ETC_20150317_009493	  [새퍼 마스터]{nl}레오나르드 퀵통
ETC_20150317_009494	 [헌터 마스터]{nl}피오나 이에바
ETC_20150317_009495	[바바리안 마스터]{nl}      월더 저넛
ETC_20150317_009496	보코르 4차 전직용
ETC_20150317_009497	위저드,파이로맨서,크리오맨서5차전직용히든트리거
ETC_20150317_009498	랑키스 봉인탑
ETC_20150317_009499	랑카 봉인탑
ETC_20150317_009500	봄볕초 트리거
ETC_20150317_009501	밭
ETC_20150317_009502	달콤한 향이 나는 벌통
ETC_20150317_009503	덴
ETC_20150317_009504	렌조
ETC_20150317_009505	기름통
ETC_20150317_009506	벌꿀술 보관 상자
ETC_20150317_009507	엘리트몹
ETC_20150317_009508	동쪽 숲
ETC_20150317_009509	수정광산 봉인해제 트랙
ETC_20150317_009510	구호품 상자
ETC_20150317_009511	수레 폭파!
ETC_20150317_009512	크리비가 숨어있는 집
ETC_20150317_009513	[사이코키노 마스터]{nl}      일리 테리드
ETC_20150317_009514	[링커 마스터]{nl} 위노나 엔데
ETC_20150317_009515	사이코키노_링커_알케미스트5차전직용히든트리거
ETC_20150317_009516	광산소장 브링커
ETC_20150317_009517	시작 트리거
ETC_20150317_009518	중보스 골렘 트리거
ETC_20150317_009519	[하플라이트 마스터]{nl}   아디다스 베일러
ETC_20150317_009520	크리비4차 전직 퀘스트 트랙용
ETC_20150317_009521	락토르투가등장트리거
ETC_20150317_009522	구더기
ETC_20150317_009523	카타콤 내부
ETC_20150317_009524	카타콤 외곽
ETC_20150317_009525	IMC_가드
ETC_20150320_009526	스테이터스에 포인트를 투자하면 해당 스테이터스를 성장시킬 수 있습니다.{nl}{nl}
ETC_20150323_009527	주황 포포리온
ETC_20150323_009528	주황 그리바루
ETC_20150323_009529	마리오네트
ETC_20150323_009530	파이어로드
ETC_20150323_009531	오르칸
ETC_20150323_009532	벨모스키
ETC_20150323_009533	벨니아몽키
ETC_20150323_009534	실바그리핀
ETC_20150323_009535	금잠
ETC_20150323_009536	벌레
ETC_20150323_009537	소환수
ETC_20150323_009538	스콰이어 방어구손질 프랍
ETC_20150323_009539	스콰이어 방어구손질 간판
ETC_20150323_009540	스콰이어 간판
ETC_20150323_009541	스콰이어 작업대
ETC_20150323_009542	스콰이어 모루
ETC_20150323_009543	알덩어리
ETC_20150323_009544	아르마오스
ETC_20150323_009545	글러튼
ETC_20150323_009546	서큐버스
ETC_20150323_009547	텐트
ETC_20150323_009548	레비
ETC_20150323_009549	엘디고
ETC_20150323_009550	소크켓
ETC_20150323_009551	허니빈
ETC_20150323_009552	허니멜리
ETC_20150323_009553	관
ETC_20150323_009554	초록 엘디고
ETC_20150323_009555	그렘린
ETC_20150323_009556	바실리스크
ETC_20150323_009557	배식대
ETC_20150323_009558	분홍 나무뿌리 두더지
ETC_20150323_009559	스라우타스 협곡
ETC_20150323_009560	네프리타스 벼랑
ETC_20150323_009561	테넷 화원
ETC_20150323_009562	베야 골짜기
ETC_20150323_009563	비에타 계곡
ETC_20150323_009564	셉티니 골
ETC_20150323_009565	매너클 묘지
ETC_20150323_009566	카롤리스 샘터
ETC_20150323_009567	파우피스 나루
ETC_20150323_009568	포슬린키스 숲
ETC_20150323_009569	사크니스 벌판
ETC_20150323_009570	렘파라사 연못
ETC_20150323_009571	쿨레 고개
ETC_20150323_009572	시르드겔라 숲
ETC_20150323_009573	드바시아 고개
ETC_20150323_009574	람스티스 협곡
ETC_20150323_009575	아크멘스 능선
ETC_20150323_009576	틸타스 협곡
ETC_20150323_009577	루카스 고원
ETC_20150323_009578	자카리엘 교차로
ETC_20150323_009579	비석로
ETC_20150323_009580	에산치우 마을
ETC_20150323_009581	페디미안 외곽
ETC_20150323_009582	필그림 들길
ETC_20150323_009583	제단로
ETC_20150323_009584	기원의 숲
ETC_20150323_009585	압시메스티 교차로
ETC_20150323_009586	우키스 경작지
ETC_20150323_009587	빌나 숲
ETC_20150323_009588	다이나 양봉지
ETC_20150323_009589	아렐르노 남작령
ETC_20150323_009590	수도원
ETC_20150323_009591	베르크티 광장
ETC_20150323_009592	석화된도시
ETC_20150323_009593	록소나 장터
ETC_20150323_009594	대지의요새
ETC_20150323_009595	대지의 요새 결전지
ETC_20150323_009596	이브레 고원
ETC_20150323_009597	마당 고원
ETC_20150323_009598	스벤티마스 유형지
ETC_20150323_009599	카듀멜 절벽
ETC_20150323_009600	칼레이마스 접견소
ETC_20150323_009601	보관실
ETC_20150323_009602	독방구역
ETC_20150323_009603	작업장
ETC_20150323_009604	심문실
ETC_20150323_009605	삼센치호수
ETC_20150323_009606	별의탑
ETC_20150323_009607	캐슬필드
ETC_20150323_009608	폐도던전
ETC_20150323_009609	흰나무숲
ETC_20150323_009610	단풍숲
ETC_20150323_009611	그리나스 숲길
ETC_20150323_009612	카틴숲
ETC_20150323_009613	그리나스 수련장
ETC_20150323_009614	그리나스 구릉지
ETC_20150323_009615	그린가의 장원
ETC_20150323_009616	농장지대
ETC_20150323_009617	샤튼 농장
ETC_20150323_009618	샤튼 저수구역
ETC_20150323_009619	지하통로
ETC_20150323_009620	파우피스 나루-past
ETC_20150323_009621	기티스의 개척지
ETC_20150323_009622	레타스 개울가
ETC_20150323_009623	폐도
ETC_20150323_009624	캐슬던전
ETC_20150323_009625	환상도서관
ETC_20150323_009626	산호평원
ETC_20150323_009627	거대과일숲
ETC_20150323_009628	마족수감소
ETC_20150323_009629	종유동굴
ETC_20150323_009630	마족수감소 1구역
ETC_20150323_009631	마족수감소 2구역
ETC_20150323_009632	마족수감소 4구역
ETC_20150323_009633	마족수감소 3구역
ETC_20150323_009634	마족수감소 5구역
ETC_20150323_009635	고사리숲
ETC_20150323_009636	테넌츠 농장
ETC_20150323_009637	수로교 지역
ETC_20150323_009638	미르키티 농장
ETC_20150323_009639	대지의 요새 59_1
ETC_20150323_009640	대지의 요새 59_2
ETC_20150323_009641	대지의 요새 59_3
ETC_20150323_009642	별의 탑 60_1
ETC_20150323_009643	라욱티 제단
ETC_20150323_009644	봉인 마법진*
ETC_20150323_009645	나무 술통
ETC_20150323_009646	여신상의 날개*
ETC_20150323_009647	남작의 창고*
ETC_20150323_009648	독액의 냄새를 맡았는지, 몬스터들이 날뛰며 달려 듭니다!
ETC_20150323_009649	잠 깬 스콜피오
ETC_20150323_009650	마시는 중
ETC_20150323_009651	자. 이제 시작해 보겠습니다!
ETC_20150323_009652	이제 결계를 발동하겠습니다.
ETC_20150323_009653	이제 안심입니다.
ETC_20150323_009654	장년의 농부
ETC_20150323_009655	내 아들의 원수는 내가 갚겠다!
ETC_20150323_009656	뭐지? 왜 내 말을 듣지 않는게야!
ETC_20150323_009657	사.. 사람 살려!
ETC_20150323_009658	드루이드의 제자
ETC_20150323_009659	샤튼씨, 안돼요!
ETC_20150323_009660	으윽.. 
ETC_20150323_009661	샤튼가 사병대장
ETC_20150323_009662	샤튼가 사병
ETC_20150323_009663	살았구나!
ETC_20150323_009664	끝이 없군...
ETC_20150323_009665	놈들이 도망칩니다!
ETC_20150323_009666	서두르자!
ETC_20150323_009667	가지를 사용해!
ETC_20150323_009668	요나졸렘을 처치하세요!
ETC_20150323_009669	썩은 고기 더미를 건드리자 리버피드가 나타났습니다!
ETC_20150323_009670	아들아! 제발 정신을..
ETC_20150323_009671	나태의 나무뿌리 수정을 지키는 결계가 나타났습니다!{nl}결계가 사라지기 전에 모두 파괴하는게 좋겠습니다.
ETC_20150323_009672	불은 붙었지만 곧 꺼질 것 같습니다.{nl}몬스터들로부터 불쏘시개를 구해 불을 더 지피세요.
ETC_20150323_009673	영혼을 속박시킨 머지를 처치하세요!
ETC_20150323_009674	드디어.. 풀려난 건가?
ETC_20150323_009675	안돼! 날 풀어줘!
ETC_20150323_009676	성소가 오염되었는지, 축복 대신에 몬스터들이 몰려 나옵니다!
ETC_20150323_009677	순례자 달러스
ETC_20150323_009678	사제 가단
ETC_20150323_009679	달러스의 무덤
ETC_20150323_009680	이곳에선 이야기하기 어려우니 우키스 경작지로 찾아와주시기 바랍니다.
ETC_20150323_009681	정체불명의 제단
ETC_20150323_009682	병사 가투스
ETC_20150323_009683	병사 투란
ETC_20150323_009684	병사 라모스
ETC_20150323_009685	병사 바란
ETC_20150323_009686	후퇴해!
ETC_20150323_009687	난동을 부리고 있던 몬스터들이 당신을 주시하고 있습니다!
ETC_20150323_009688	몬스터 증식 억제 장치
ETC_20150323_009689	나타나셨군
ETC_20150323_009690	바카리네가 {nl}날 내버려 두겠다는 건가?
ETC_20150323_009691	하우벅..
ETC_20150323_009692	그렇습니다.
ETC_20150323_009693	자세한 이야기는{nl}당신의 소유자와 나누고 싶군요.
ETC_20150323_009694	하우벅이 제단의 힘을 흡수하는 동안 보호해 주세요!
ETC_20150323_009695	블룻의 제단
ETC_20150323_009696	내가 의식을 치를 동안 보호해 다오
ETC_20150323_009697	날 가둘 순 없다!
ETC_20150323_009698	블룻을 처치하세요!
ETC_20150323_009699	너는 오늘 여기서 죽는다 블룻!
ETC_20150323_009700	누아엘레를 처치하세요!
ETC_20150323_009701	네녀석들이 여길 어떻게..
ETC_20150323_009702	막아라!
ETC_20150323_009703	당할성 싶으냐!
ETC_20150323_009704	정신바짝 차리십시오.
ETC_20150323_009705	넌 여기서 끝이다!
ETC_20150323_009706	내 것을 돌려받으러 왔다!
ETC_20150323_009707	하우벅의 분체
ETC_20150323_009708	오너라 내 종자들아!
ETC_20150323_009709	이곳은 제가 막겠습니다.
ETC_20150323_009710	하우벅을 제압하세요!
ETC_20150323_009711	돌아갈 시간이다 하우벅
ETC_20150323_009712	포기해라 하우벅!
ETC_20150323_009713	바카리네께서 널 원하신다.
ETC_20150323_009714	그건 네가 할 걱정이 아니다
ETC_20150323_009715	발트러스
ETC_20150323_009716	바카리네!
ETC_20150323_009717	따르겠습니다
ETC_20150323_009718	지드로네가 저녁별 열쇠를 완성할 때까지 지켜주세요!
ETC_20150323_009719	환원의 사슬은 내 것이다!
ETC_20150323_009720	멈춰라 하우벅!
ETC_20150323_009721	디오니스를 제압하세요!
ETC_20150323_009722	마지막 봉인을 해제하겠습니다.
ETC_20150323_009723	따라오십시오
ETC_20150323_009724	여신께서 널 찾는다 디오니스
ETC_20150323_009725	너희 모두 저주한다!
ETC_20150323_009726	엘리멘탈리스트 2서클 필요
ETC_20150323_009727	엘리멘탈리스트 3서클 필요
ETC_20150323_009728	오버킬을 10회 달성했다.
ETC_20150323_009729	초보 오버킬러
ETC_20150323_009730	오버킬을 50회 달성했다.
ETC_20150323_009731	오버킬을 200회 달성했다.
ETC_20150323_009732	보스 사냥 입문가
ETC_20150323_009733	보스 몬스터를 10마리를 처치했다.
ETC_20150323_009734	보스 사냥 숙련자
ETC_20150323_009735	보스 몬스터를 30마리를 처치했다.
ETC_20150323_009736	보스 몬스터를 50마리를 처치했다.
ETC_20150323_009737	보스 전문 사냥꾼
ETC_20150323_009738	보스 몬스터를 200마리를 처치했다.
ETC_20150323_009739	NXP로 부활한 횟수 20회 이상 달성했다.
ETC_20150323_009740	제작을 3회 성공했다. 득을 본 기분이다.
ETC_20150323_009741	제작을 10회 성공했다. 이젠 제작도 꽤 손에 익었다.
ETC_20150323_009742	제작을 30회 성공했다. 점점 재산이 불어나는게 보인다.
ETC_20150323_009743	제작을 100회 성공했다. 말이 필요 없다.
ETC_20150323_009744	머리색1
ETC_20150323_009745	머리바꾸자
ETC_20150323_009746	머리색2
ETC_20150323_009747	머리색3
ETC_20150323_009748	머리색4
ETC_20150323_009749	행운아
ETC_20150323_009750	1개의 보물상자를 도굴하였다.
ETC_20150323_009751	트레져 헌터 : 비기너
ETC_20150323_009752	10개의 보물상자를 도굴하였다.
ETC_20150323_009753	트레져 헌터 : 마스터
ETC_20150323_009754	100개의 보물상자를 도굴하였다.
ETC_20150323_009755	하나밍 킬 횟수
ETC_20150323_009757	파티퀘스트 횟수
ETC_20150323_009758	제단로 단체 버프
ETC_20150323_009759	정화의 기여도
ETC_20150323_009760	사악한 기운을 정화하는데 기여했습니다.
ETC_20150323_009761	약한 영체의 기운
ETC_20150323_009762	영체의 기운이 미약하게 느껴집니다.
ETC_20150323_009763	영체의 기운
ETC_20150323_009764	영체의 기운을 확실하게 느낄 수 있습니다.
ETC_20150323_009765	음산한 기운
ETC_20150323_009766	음산한 기운에 몬스터가 강해집니다.
ETC_20150323_009767	하우벅 호버
ETC_20150323_009768	강령상태
ETC_20150323_009769	노르가일레의 강령구슬에 당했습니다!
ETC_20150323_009770	복종
ETC_20150323_009771	이 몬스터는 복동당했습니다!
ETC_20150323_009772	무력화됨
ETC_20150323_009773	저녁별 룬에 의해 무력화 되었습니다.
ETC_20150323_009774	빙의
ETC_20150323_009775	이 몬스터에게 하우벅이 빙의되어 있습니다.
ETC_20150323_009776	스콜피오 기절
ETC_20150323_009777	스콜피오가 기절했습니다!
ETC_20150323_009778	독액 충전
ETC_20150323_009779	이몬스터의 독액이 항아리에 흡수되고 있습니다!
ETC_20150323_009780	흡수 되었습니다!
ETC_20150323_009781	몬스터 성불
ETC_20150323_009782	마법진이 대기 중입니다.
ETC_20150323_009783	영혼 안식
ETC_20150323_009784	축복 - HP 회복력 향상
ETC_20150323_009785	축복을 받았습니다.
ETC_20150323_009786	제물 표식
ETC_20150323_009787	제물
ETC_20150323_009788	정화의 표식
ETC_20150323_009789	광폭화
ETC_20150323_009790	물, 불 안가리고 공격합니다.
ETC_20150323_009791	마족 소환 수정의 힘
ETC_20150323_009792	마족 소환 수정의 힘을 받아 강력해집니다.
ETC_20150323_009793	무적 버프
ETC_20150323_009794	박쥐소환
ETC_20150323_009795	거점
ETC_20150323_009796	인질폭탄
ETC_20150323_009797	그리나스 숲길 
ETC_20150323_009798	30분동안 HP가 +300 증가합니다.
ETC_20150323_009799	30분동안 SP가 +270 증가합니다.
ETC_20150323_009800	30분동안 STA가 +25 증가합니다.
ETC_20150323_009801	요거트
ETC_20150323_009802	30분동안 이동속도가 +1 증가합니다.
ETC_20150323_009803	다수의 스킬을 사용하여 오버히트 발생을 억제할 수 있다.
ETC_20150323_009804	레벨업을 통해 얻은 스테이터스 포인트를 사용하여 캐릭터의 능력치를 성장시킬 수 있습니다.
ETC_20150323_009805	엘리멘탈리스트
ETC_20150323_009806	비나스 캠프
ETC_20150323_009807	리쉬키오 시내
ETC_20150323_009808	유지마 배랑
ETC_20150323_009809	라미비에 절벽
ETC_20150323_009810	가울레 제단
ETC_20150323_009811	비에샤의 제단
ETC_20150323_009812	에르쉬케 제단
ETC_20150323_009813	쉴레이크 숲길
ETC_20150323_009814	보크쉬타 오름길
ETC_20150323_009815	요리코 광장
ETC_20150323_009816	트보라 가도
ETC_20150323_009817	지비라 공터
ETC_20150323_009818	개간 예정지
ETC_20150323_009819	렌타 공지
ETC_20150323_009820	버려진 농지
ETC_20150323_009821	아델르노 실험구역
ETC_20150323_009822	비나이 양조장
ETC_20150323_009823	스티쉬카 농로
ETC_20150323_009824	옛 식량 창고터
ETC_20150323_009825	시클리오 둘레길
ETC_20150323_009826	라무스 사거리
ETC_20150323_009827	통제 구역
ETC_20150323_009828	소작인 숙소
ETC_20150323_009829	잘라움 경작지
ETC_20150323_009830	농수로
ETC_20150323_009831	틸리아 오솔길
ETC_20150323_009832	이쉬팔레 농지
ETC_20150323_009833	농장 집회소
ETC_20150323_009834	포도밭
ETC_20150323_009835	기난 농작로
ETC_20150323_009836	리아움 둔덕
ETC_20150323_009837	비노가 양조장
ETC_20150323_009838	다르바스 진입로
ETC_20150323_009839	건조 작업장
ETC_20150323_009840	농작물 창고
ETC_20150323_009841	휴경지
ETC_20150323_009842	파데카 제단
ETC_20150323_009843	쥘루티 공터
ETC_20150323_009844	누오도 기슭
ETC_20150323_009845	공동 경작지
ETC_20150323_009846	이쉬지티 약초밭
ETC_20150323_009847	밴드라스 갈림길
ETC_20150323_009848	농장 출입문
ETC_20150323_009849	방치된 포도밭
ETC_20150323_009850	인적 없는 작업장
ETC_20150323_009851	농장지기의 오두막
ETC_20150323_009852	크비에 농장 터
ETC_20150323_009853	룬케일 농원 터
ETC_20150323_009854	아바르자 포도밭
ETC_20150323_009855	지우라 삼거리
ETC_20150323_009856	농장 감독 초소
ETC_20150323_009857	졸레 농지
ETC_20150323_009858	네쉬바 가도
ETC_20150323_009859	이쉬클라 농작로
ETC_20150323_009860	농원 광장
ETC_20150323_009861	가우사 작업장
ETC_20150323_009862	지르타 양조장
ETC_20150323_009863	저수지 계단
ETC_20150323_009864	퓨퓰레 텃밭
ETC_20150323_009865	숙성 창고
ETC_20150323_009866	자바이 농지
ETC_20150323_009867	트빌타 저수둑
ETC_20150323_009868	슐리오티 휴경지
ETC_20150323_009869	풍향계 탑
ETC_20150323_009870	도카스 저수나루
ETC_20150323_009871	상자더미01
ETC_20150323_009872	상자더미02
ETC_20150323_009873	나무토막
ETC_20150323_009874	겔리 고원 케이블카
ETC_20150323_009875	아크멘스 능선 케이블카
ETC_20150323_009876	포탈마법사
ETC_20150323_009877	마군주 블룻
ETC_20150323_009878	연금술 솥
ETC_20150323_009879	좀 큰 부서진 알림판
ETC_20150323_009880	수면중인 스콜피오
ETC_20150323_009881	작은 항아리
ETC_20150323_009882	작은 여신상
ETC_20150323_009883	대성당 발판
ETC_20150323_009884	대성당 장치1
ETC_20150323_009885	대성당 장치2
ETC_20150323_009886	오염된 제단
ETC_20150323_009887	순례자 석상
ETC_20150323_009888	헌화된 꽃
ETC_20150323_009889	수정가공기계
ETC_20150323_009890	엘리멘탈리스트 특성 사용
ETC_20150323_009891	파티원들이 함께 보스를 사냥합니다.
ETC_20150323_009892	DoTimeAction:목재 수집 중:3:#SITGROPESET2:None
ETC_20150323_009893	Property:1/PropertyAdd:1/GiveItem:SIAULIAI50_WOOD_PIECE:1:0/NPCKill/EffectNPC:Local:F_pc_making_finish_white:2:BOT/Notice:NOTICE_Dm_Clear:목재 획득!:3
ETC_20150323_009894	DoTimeAction:풀더미를 뒤지는 중:2:SITGROPE:None
ETC_20150323_009895	Property:1/PropertyAdd:1/GiveItem:FARM47_4_SQ_040_ITEM_1:1:0/NPCDead/EffectNPC:Local:F_pc_making_finish_white:2:BOT/Notice:NOTICE_Dm_Clear:건빵을 찾았습니다!:5
ETC_20150323_009896	NPCDead/Sleep:500/Notice:NOTICE_Dm_!:아무 것도 안 보입니다!:5
ETC_20150323_009897	DoTimeAction:목봉으로 쓸 나무를 자르는 중:4:CUTVINE_LOOP:None
ETC_20150323_009898	Notice:NOTICE_Dm_!:아무 것도 얻지 못했습니다!:5/NPCDead
ETC_20150323_009899	DoTimeAction:민들레를 뽑는 중:2:None
ETC_20150323_009900	PCSelfDown:10/Notice:NOTICE_Dm_!:민들레 뿌리가 끊어졌습니다!:5/NPCDead
ETC_20150323_009901	PCSelfDown:10/Notice:NOTICE_Dm_!:민들레 뿌리가 끊어졌습니다!!:5/NPCDead/Func:SCR_FARM47_HERB_ROOT_EVENT
ETC_20150323_009902	DoTimeAction:몬스터 살코기를 넣고 건조 중:5:None
ETC_20150323_009903	AnimNPC:Local:OPEN:0/Notice:NOTICE_Dm_!:고기가 건조되고 있습니다! 5초 후 뚜껑이 열리면 육포가 나옵니다!:3/Sleep:5/AnimNPC:Local:OPEN:0/EffectNPC:Local:F_smoke135_dark:2:BOT/Property:1/PropertyAdd:1/GiveItem:FARM47_1_SQ_060_ITEM_2:1:0/TakeItem:FARM47_1_SQ_060_ITEM_1:1:0
ETC_20150323_009904	DoTimeAction:회수 중:2:MAKING:None
ETC_20150323_009905	페디미안 근교에 떠도는 소문으로는 순례자들이 필그림 들길을 순례할때 
ETC_20150323_009906	폐도에서 살아남은 자들이 이곳 페디미안으로 향하는 길에 제단로에서 목숨을 잃거나 가진 것들을 모두 빼앗기고 있다고 합니다. 생존자들이 말한 바로는 
ETC_20150323_009907	많은 계시자들이 여신의 안배를 찾기 위해 망해버린 세계 곳곳을 모험하고 있습니다. 그러던 중 제단로에서 성소로 보이는 장소를 찾아냈습니다. 이것을 복구하여 사용할 수 있다면 그 지역을 여행하는 이야기꾼들에게 영웅이 될 것입니다.
