QUEST_20170313_005746	I erased what was written in the black space and made a copy of the order.{nl}I think the people who signed the document should know about it too, though.	공란에 적혀있던 글자는 감쪽같이 지웠고 사본도 만들어 뒀어요.{nl}하지만 이 일은 여기 이 위임장에 서명하신 다른 분들께도 알려드려야 해요.				감정사 산드라	
QUEST_20170313_005747	{nl}You can go and tell the Lord of Orsha first, she will know what to do about the others.	{nl}오르샤 영주님께 먼저 알리면, 여기에 서명한 나머지분께는 어떻게 하면 될지 말씀 주실 거예요.				감정사 산드라	
QUEST_20170313_005748	Do you mean there was something hidden in the royal order?{nl}How does one... in an official document of the kingdom...	칙명 위임장에, 숨겨진 글귀가 있었다고요?{nl}어떻게 그런.. 국왕의 칙명에 준하는 위임장에 어떻게..				이네사 해먼데일	
QUEST_20170313_005749	{nl}May I know what was written in the hidden section?	{nl}혹시, 뭐라고 쓰여져 있었는지 알 수 있을까요?				이네사 해먼데일	
QUEST_20170313_005750	We almost fell into Princess Gaivile's schemes.{nl}You're certain Sandra erased all the hidden writings from the original order, are you?	가이빌레 공주의 계략에 넘어갈 뻔 했군요.{nl}그럼 원본의 그 숨겨졌던 글귀는 산드라가 지웠다는 것이지요?				이네사 해먼데일	
QUEST_20170313_005751	{nl}Very well. I will deliver this copy of the order to the others who signed it.{nl}Make sure Princess Gaivile's attendant knows of the hidden section in the original document.	{nl}알겠습니다. 이 사본은 칙명 위임장에 서명을 하신 다른 분들께 전달되도록 조치하겠습니다.{nl}글자가 지워진 원본은 가이빌레 공주 수행원에게 건네주세요.				이네사 해먼데일	
QUEST_20170313_005752	You've collected all the signatures, I see.{nl}That means Appraiser Sandra will now officially become the new Appraiser Master.	칙명 위임장에 서명을 받아 오셨군요.{nl}이제 감정사 산드라에게 마스터 임명장이 전달되면 그녀는 공식적인 감정사 마스터가 됩니다.				가이빌레 공주 수행원	
QUEST_20170313_005753	Deliver the letter of appointment to Appraiser Sandra.	감정사 산드라에게 공식 임명장을 전달하자.				PC	
QUEST_20170313_005754	It's my letter of appointment to become the new Appraiser Master.{nl}I wish this could have happened in a more peaceful world with His Majesty still alive...	아, 이게 그 칙명위임장에 따르는, 감정사 마스터 공식 임명장이군요.{nl}국왕폐하가 살아계시는 평화로운 세상에서 좀 더 정식으로 임명받았으면 더 좋았겠지만..				감정사 산드라	
QUEST_20170313_005755	{nl}Anyway, thank you.{nl}	{nl}어쨌든 감사합니다.{nl}제가 감정사 마스터가 되는 데 많이 애써주셨어요.				감정사 산드라	
QUEST_20170313_005756	{nl}If only my parents were still around to see me become a Master...	{nl}저희 부모님이 제가 감정사 마스터가 된 것을 보셨으면 참 좋았을 텐데..				감정사 산드라	
QUEST_20170313_005757	Appraiser Master	감정사 마스터					
QUEST_20170313_005758	To think that I'm the new Appraiser Master now...{nl}It was all so sudden, I'm still in awe.	제가 감정사 마스터라니..{nl}갑작스럽게 이렇게 된 거 같아서 어리둥절하네요.				감정사 마스터	
QUEST_20170313_005759	{nl}You can rest assured I'm going to do my absolute best at the job.	{nl}하지만 어쨌든 책임감을 가지고 더 열심히 일에 전념할 거예요.				감정사 마스터	
QUEST_20170313_005760	To assess the value of an object, you have to look at it from different perspectives.{nl}Only then will you start to see what others can't.{nl}That, my friend, is the joy of working as an Appraiser.	물건의 가치를 제대로 보기 위해선 그 물건을 다양한 방면에서 봐야해요.{nl}그러다 보면 어느 순간, 보이지 않는 것들이 눈에 보이게 되죠.{nl}감정사 일을 하면서 가장 짜릿한 순간이 바로 그 때랍니다.				감정사 마스터	
QUEST_20170313_005761	The work in Fedimian has been so busy ever since I became the Master.{nl}That's why I thought I would send you instead.	하긴, 마스터가 된 지 얼마 안되었으니 페디미안에서 처리할 업무들이 많긴 할거예요.{nl}그러니 직접 올 수 없어서 당신을 대신 보낸 거겠죠.				펜서 마스터	
QUEST_20170313_005762	{nl}I do feel a little uneasy about leaving a valuable heirloom in someone else's hands, but...	{nl}가보를 다른 이의 손에 맡기는 것이 꺼림칙하긴 하지만..				펜서 마스터	
QUEST_20170313_005763	I'm glad I could finally get my family heirloom valued.{nl}Now that I have a certificate, I can sell it to the Pardoner Master and help those less fortunate.	집안의 가보가 제대로 가치 평가를 받게 되어 기쁘네요.{nl}인증서도 받았으니, 파드너 마스터를 통해 처분해서 어려운 사람을 도와야겠어요.				펜서 마스터	
QUEST_20170313_005764	It's a shame the Appraiser Master couldn't be here herself.{nl}Will you be looking at my accessories then?	감정사 마스터님이 사정때문에 직접 오시지 못하셨군요.{nl}대신 당신을 통해서 제 악세서리들을 감정해 주시겠다는 거고요.				악세서리 상인 유르스	
QUEST_20170313_005765	{nl}Alright.{nl}I'll leave my products up to you.	{nl}알겠습니다.{nl}제 악세서리들을 맡기겠습니다. 잘 부탁드립니다.				악세서리 상인 유르스	
QUEST_20170313_005766	I'm glad my accessories can now be certified as authentic.	제 악세서리가 흔히 돌아다니는 모조품들과는 다름을 인정 받게 되어 기쁩니다.				악세서리 상인 유르스	
QUEST_20170313_005767	Klaipeda Knight Commander Uska{nl}Lord of Orsha Inesa Hamondale	클라페다 기사단장 우스카{nl}오르샤 영주 이네사 해먼데일				칙명 위임장	
QUEST_20170313_005768	Klaipeda Knight Commander Uska{nl}Klaipeda Forces Commander Vacenin	클라페다 기사단장 우스카{nl}클라페다 주둔군 부사령관 바세닌				칙명 위임장	
QUEST_20170313_005769	Klaipeda Knight Commander Uska{nl}Klaipeda Forces Commander Vacenin{nl}Lord of Orsha Inesa Hamondale	클라페다 기사단장 우스카{nl}클라페다 주둔군 부사령관 바세닌{nl}오르샤 영주 이네사 해먼데일				칙명 위임장	
QUEST_20170313_005770	I'm very glad to hear the royal order was well delivered.{nl}And of course, I was happy to be part of it.	칙명 위임장이 별 문제 없이 전달되어서 다행이에요.{nl}쑥스럽지만 그 과정에 저도 참여했다는 것이 뿌듯하기도 하네요.				감정사 산드라	
QUEST_20170313_005771	STR is vital for a Swordsman class.{nl}Invest stat points in it and increase your physical attack and critical attack. On top of that, you can carry more items with you.{nl}	검사 계열이라면 역시 힘이죠.{nl}힘에 투자하면 물리 공격력과 치명타 공격력을 올릴 수 있고, 좀 더 많은 물건을 들고 다닐 수 있답니다.{nl}	QUEST_20160718_003916	STR is vital for a Swordsman-type class.{nl}Invest stat points in it and increase your physical attack and critical attack. On top of that, you can carry more items with you.	검사 계열이라면 역시 힘이죠.{nl}힘에 투자하면 물리 공격력과 치명타 공격력을 올릴 수 있고, 좀 더 많은 물건을 들고 다닐 수 있습니다.{nl}	이주민 브로펜	
QUEST_20170313_005772	{nl}Think carefully about the path you want to take and it will make your choices easier.	{nl}앞으로 어떤 길을 가실 지 먼저 생각해 놓으면 선택이 편하실 거예요.				이주민 브로펜	
QUEST_20170313_005773	{nl}However, you shouldn't forget SPR if you want to use mostly magic.{nl}It will increase your maximum SP and SP recovery so you can cast more skills.	{nl}하지만 마법을 자주 사용하려면 정신도 잊지 말아야 해요.{nl}마법을 많이 사용할 수 있도록 최대 SP를 높여 주고, SP 회복력도 증가시켜 주거든요.	QUEST_20160718_003994	However, you shouldn't forget SPR if you want to cast more spells.{nl}You'll have to choose between being balanced or specialized.	{nl}하지만 마법을 자주 사용하려면 정신도 잊지 말아야 합니다.{nl}마법을 많이 사용할 수 있도록 최대 SP를 높여 주고, SP 회복력도 증가시켜 주거든요.{nl}잘 선택하셔야 해요.	이주민 브로펜	
QUEST_20170313_005774	{nl}But DEX is almost equally important. It increases hit probability, evasion rate and critical rate.{nl}Think careful about what path you will take.{nl}	{nl}하지만 민첩에 투자하면 명중, 회피, 치명타 확률이 높아져요.{nl}앞으로 어떤 길을 선택하실 지 먼저 생각해 놓는 것이 좋겠지요?	QUEST_20160718_003995	{nl}But DEX is almost equally important. It increases Hit Probability, Evasion Rate and Critical Rate.{nl}Think careful about what path you will take.	{nl}하지만 민첩에 투자하면 명중, 회피, 치명타 확률을 높여줍니다.{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 겁니다.	이주민 브로펜	
QUEST_20170313_005775	{nl}But sometimes you may need some STR or SPR.{nl}STR increases physical attack, critical attack and the amount of items you can carry.{nl}SPR is good for increasing your max SP and SP recovery.	{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}힘을 올려서 물리 공격력, 치명타 공격력을 올리고 소지 무게도 늘려 보는 것도 좋겠죠.{nl}최대 SP와 SP 회복력을 올려 주는 정신력이 필요할 수도 있을 거고요.	QUEST_20160718_003924	STR increases physical attack, critical attack and the amount of items you can carry.{nl}SPR is good for increasing your max SP and SP recovery.{nl}Think carefully about what path you will take.{nl}	{nl}힘을 올려서 물리 공격력, 치명타 공격력을 올리고 소지 무게도 늘려 보는 것도 좋겠죠.{nl}최대 SP와 SP 회복력을 올려 주는 정신력이 필요할 수도 있을 거구요.{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 거예요.{nl}	이주민 브로펜	
QUEST_20170313_005776	{nl}Think first of what you want to be and it will make your decisions easier.{nl}	{nl}앞으로 무엇이 될 지 먼저 생각해 놓으면 선택이 수월하실 거예요.{nl}				이주민 브로펜	
QUEST_20170313_005777	Hethran Badge	헤스란 증표					
QUEST_20170313_005778	Do you wish to use the Hethran Badge and begin the quest?{nl}Only you and nearby party members will be able to accept the quest.	헤스란 증표를 사용하여 퀘스트를 시작하시겠습니까?{nl}당신과 당신 주변의 파티원들만 퀘스트를 수락할 수 있습니다.				헤스란 증표	
QUEST_20170313_005779	Open the chest through one of the following methods.{nl}1. Kick it.{nl}2. Enter the code.{nl}3. Use a Fluflu Bomb.	다음 방법 중 한 가지로 상자를 열어보세요.{nl}1. 발로 차본다.{nl}2. 비밀번호를 풀어 본다.{nl}3. 폴루폴루 폭탄을 쓴다.				안내문	
QUEST_20170313_005780	Enter the correct code to open the chest.	상자의 비밀번호를 맞추세요				비밀번호	
QUEST_20170313_005781	Jewelry Collector	귀금속 수집가					
QUEST_20170313_005782	I'm collecting valuable jewelry.	여러분이 가지고 계신 진귀한 금속들을 모으고 있습니다.				귀금속 수집가	
QUEST_20170313_005783	I don't collect just anything that shines, though.{nl}Come back again.	조금 반짝거린다고 수집하진 않습니다.{nl}잘 보고 찾아오십시오.				귀금속 수집가	
QUEST_20170313_005784	Me?	나 말인가?				귀금속 수집가	
QUEST_20170313_005785	I'm just a humble merchant, as you can see.{nl}I do collect me some special minerals, though.{nl}Let me know if you find anything interesting.	자네가 보는 것처럼 평범한 상인이라네{nl}남들과 다른게 있다면 조금 특별한 광물들을 모으는 것이지.{nl}귀한걸 얻었다면 내게 가져오게나.				귀금속 수집가	
QUEST_20170313_005786	Wand Fragment	지팡이 파편					
QUEST_20170313_005787	Something on the ground caught my eye.	바닥에 떨어져 있는 파편이 신경쓰인다.				지팡이 파편	
QUEST_20170313_005788	It looks like a piece of wood.{nl}	보기엔 그저 나무조각으로 보인다.{nl}				지팡이 파편	
QUEST_20170313_005789	I need to come back later and have a look.	나중에 다시 확인하러 와야겠다.				지팡이 파편	
QUEST_20170313_005790	Suspicious Trap	수상한 함정					
QUEST_20170313_005791	A suspicious-looking trap is half-buried here.	수상해 보이는 함정이 반쯤 묻혀있다.				수상한 함정	
QUEST_20170313_005792	Hidden Writings	숨겨져 있던 글귀					
QUEST_20170313_005793	Something reacted to the ring and now words are starting to appear.	앞쪽에서 반지에 의해 무언가 반응하더니 글귀가 나타났다.				숨겨져 있던 글귀	
QUEST_20170313_005794	With this many eyes looking, it won't be easy for us to complete our transaction today.{nl}Allow me to reschedule and contact you later with the details.	아무래도 지켜보는 눈이 많아 오늘 진행하려던 거래는 힘들겠군요.{nl}거래 일정은 차후 결정하여 다시 연락을 드리죠.				숨겨져 있던 글귀	
QUEST_20170313_005795	{nl}Things in the city aren't getting any better.{nl}We need to be extra careful with our business.	{nl}도시의 사정이 점점 안좋아 지고 있습니다.{nl}이런 때일수록 거래는 신중해야 하는 법이니까요.				숨겨져 있던 글귀	
QUEST_20170313_005796	Hey, is it your first time here?	어머, 처음 오셨나봐요?				의뢰소장 로타	
QUEST_20170313_005797	We call this the Mercenary Post.{nl}Here, adventurers like you can take on different mission requests from our receptionists.	{nl}이곳은 용병의뢰소라고 불리는 곳이에요.{nl}접수원들이 여러가지 의뢰를 모험가님께 소개해 드리는 곳이죠.				의뢰소장 로타	
QUEST_20170313_005798	{nl}First, do you want to say hi to the receptionists over there?{nl}You should get to know the receptionists if you're going to start taking requests.	{nl}먼저 저쪽에 있는 접수원들과 간단한 인사를 나누고 오시겠어요?{nl}앞으로 의뢰를 받으시려면 접수원분들과 자주 볼테니 말이죠.				의뢰소장 로타	
QUEST_20170313_005799	Did you meet all the receptionists?	접수원들과 인사는 모두 나누신건가요?				의뢰소장 로타	
QUEST_20170313_005800	Hi. I'm Donnes.{nl}You can come see me if you want to take on any requests.	반가워요. 전 도네스라고 해요.{nl}주기적으로 의뢰를 수행하시려면 저를 찾아오세요.				접수원 도네스	
QUEST_20170313_005801	I don't think I've seen you before.{nl}If this is your first time here, you should talk to Manager Rota first.	처음 보는 얼굴이군요.{nl}처음 오신거라면 로타님에게 먼저 설명을 듣는게 이해하기 편할거에요.				접수원 도네스	
QUEST_20170313_005802	My name's Liam.{nl}I should warn you that the missions here aren't exactly easy...{nl}You might want to go in a group with other adventurers, it'll make your life easier.	저는 리암이라고 합니다.{nl}이곳에서 받으시는 의뢰가 보통 쉬운일이 아니니..{nl}위험해 보이는 의뢰는 다른 모험가님과 함께 수행하시길 당부드리고 싶군요.				접수원 리암	
QUEST_20170313_005803	Is it your first time coming here...?{nl}If so, I think you should have a word with Manager Rota over there.	이곳은 처음인 것 같은데..{nl}옆에 계신 로타님과 먼저 대화를 나누시는게 좋겠군요.				접수원 리암	
QUEST_20170313_005804	Don't think we've met before. The name's Ramda.	처음보는 얼굴이네요. 람다라고 해요.				접수원 람다	
QUEST_20170313_005805	{nl}I'm the one who hands out all the tricky missions.{nl}They're as rewarding as they are dangerous, though, so let me know if you're interested.	{nl}저는 주로 위험한 의뢰를 부탁드리죠.{nl}위험한 만큼 보상도 크니 관심 있으시면 절 찾아오세요.				접수원 람다	
QUEST_20170313_005806	If this is your first time at the Mercenary Post, you should go and talk to Manager Rota.	의뢰소에 처음 오셨다면 의뢰소장님과 대화해 보세요.				접수원 람다	
QUEST_20170313_005807	This is a warning to all adventurers attempting to enter the Natarh Watchtower!{nl}The Royal Army has reported that this dungeon is currently inhabited by large numbers of demons.	앞에 있는 나타흐 망루로 들어가려는 모든 모험가님들에게 알립니다!{nl}왕국군 측에서 살펴본 결과 해당 던전은 마족들로 가득 찬 소굴입니다.				경고문	
QUEST_20170313_005808	This is a warning to all adventurers attempting to enter the Tatenye Prison!{nl}The Royal Army has reported that this dungeon is currently inhabited by large numbers of demons.	앞에 있는 타테나이 수감소로 들어가려는 모든 모험가님들에게 알립니다!{nl}왕국군 측에서 살펴본 결과 해당 던전은 마족들로 가득 찬 소굴입니다.				경고문	
QUEST_20170313_005809	This is a warning to all adventurers attempting to enter Neighport Church East Building!{nl}The Royal Army has reported that this dungeon is currently inhabited by large numbers of demons.	앞에 있는 네이포트 성당 동관으로 들어가려는 모든 모험가님들에게 알립니다!{nl}왕국군 측에서 살펴본 결과 해당 던전은 마족들로 가득 찬 소굴입니다.				경고문	
QUEST_20170313_005810	Hollow Thorn Forest Dungeon (Recommended Lv: 170){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?	공허의 가시숲 던전(권장레벨:170)으로, 당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.{nl}입장하시겠습니까?	QUEST_20160224_003694	Hollow Thorn Forest Dungeon (Recommended Lv : 145){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?	공허의 가시숲 던전(권장레벨:145)으로, 당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.{nl}입장하시겠습니까?	공허의 가시숲 던전	
QUEST_20170313_005811	Blue Fortress Dungeon (Recommended Lv: 260){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?	푸른 요새 던전(권장레벨:260)으로, 당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.{nl}입장하시겠습니까?	QUEST_20160224_003696	Blue Fortress Dungeon (Recommended Lv : 240){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?	푸른 요새 던전(권장레벨:240)으로, 당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.{nl}입장하시겠습니까?	푸른 요새 던전	
QUEST_20170313_005812	There's a heavily damaged Owl Sculpture surrounded with insidious energy.	사악한 기운에 뒤덮여 심하게 훼손된 부엉이 조각상이 있다.	QUEST_20160718_004043	There's a heavily damaged Owl Sculpture surrounded with insidious energy.	사악한 기운에 뒤덥힌 심하게 훼손된 부엉이 조각상이 있다.	PC	
QUEST_20170313_005813	There's a broken Owl Sculpture surrounded with insidious energy.	사악한 기운으로 뒤덮여 망가진 조각상이 있다.	QUEST_20160718_004045	There's a broken Owl Sculpture surrounded with insidious energy.	사악한 기운으로 뒤덥힌 망가진 조각상이 있다.	PC	
QUEST_20170313_005814	The bleeding stopped suddenly after leaving Nheto Forest.	네토 숲을 벗어나자 혈액이 금세 굳어버렸다				PC	
QUEST_20170313_005815	Magic Stone Enhancer	마석 강화장치					
QUEST_20170313_005816	The magic stone reacted to the device.	장치에 다가가자 마석 조각이 반응합니다.				마석 강화장치	
QUEST_20170313_005817	There's an unknown device.	알 수 없는 장치가 있다				PC	
QUEST_20170313_005818	Recovered due to an unknown type of magic.	알 수 없는 마력에 의해 회복된 것 같다				PC	
QUEST_20170313_005820	Level Up Chest Challenge	쿠키와 함께 레벨업				이벤트 알림판	
QUEST_20170313_005821	The event has begun.{nl}	 이벤트가 시작되었습니다.{nl}				이벤트 알림판	
QUEST_20170313_005822	Level Up Chest	레벨업 보상 상자					
QUEST_20170313_005823	Received 10 chests.	 10개를 지급해 드렸습니다.				이벤트 알림판	
QUEST_20170313_005824	 can no longer be received.	 는 더 이상 받을 수 없습니다.				이벤트 알림판	
QUEST_20170313_005825	Congratulations on reaching level 330!	330 Level에 도달하신 것을 축하드립니다.				이벤트 알림판	
QUEST_20170313_005826	The TP reward can only be received on level 330.	330 Level만 참여 가능합니다.				이벤트 알림판	
QUEST_20170313_005827	The level 330 reward can only be received once per team.	330 Level 보상은 한번만 지급해 드립니다.				이벤트 알림판	
QUEST_20170313_005828	Event in progress.	 이벤트 진행 중입니다.				이벤트 알림판	
QUEST_20170313_005829	Congratulations on reaching level 330!{nl}	330 Level에 도달하신 것을 축하드립니다.{nl}				이벤트 알림판	
QUEST_20170313_005830	Level 330 Reward	330 Level 보상					
QUEST_20170313_005831	 ready to be received.	 을 받아주세요. 				이벤트 알림판	
QUEST_20170327_005833	No events available.	기간이 아닙니다.				이벤트 알림판	
QUEST_20170327_005834	You already received this item.	이미 받은 보상입니다.				이벤트 알림판	
QUEST_20170327_005835	Tee-hee-hee!{nl}You mad...?	하하하하 .....{nl}약 오 르 지 ~!!!				Commander Lord Phail	
QUEST_20170327_005836	Did anything happen?{nl}It wasn't me!	무슨 일 있었나~?{nl}난 모르겠네~				Commander Lord Phail	
QUEST_20170327_005837	Think you can handle me? Don't make me laugh!	날 공격한다면.. 자네를 기억하겠네..				Commander Lord Phail	
QUEST_20170327_005838	Little Trickster	장난꾸러기 소녀					
QUEST_20170327_005839	Items? I have no idea what you're talking about.	뭐야? 무슨일이야?				장난꾸러기 소녀	
QUEST_20170327_005840	Hehehe... Just kidding!{nl}Alright, here are your items... Why are you angry?? Relax a little, yeah?	무슨 아이템 ? 난 그런 거 본적 없어~				장난꾸러기 소녀	
QUEST_20170327_005841	Wanna play?{nl}You look bored!	하하하... 장난이야~~{nl}아이템 여기 있어... 화났어??  내 얼굴을 봐서라도 화 풀어~~				장난꾸러기 소녀	
QUEST_20170327_005842	Make sure you come back again tomorrow!	나랑 놀아주는 거야~??{nl}하나도 고맙지 않아~!!				장난꾸러기 소녀	
QUEST_20170327_005843	You already got today's prize...	내일도 올 거지~? 약속~!!				장난꾸러기 소녀	
QUEST_20170330_005845	Move Zone	지역이동					
QUEST_20170330_005846	Treasure Chest Merchant	보물 상자 지원상인					
QUEST_20170330_005847	Only one region per day.	하루에 한 지역만 알려드리겠습니다.	QUEST_20160723_004067	Please come back tomorrow after 6 a.m. EDT.	내일 오전 6시 이후에 다시 찾아오세요.	보물 상자 지원상인	
QUEST_20170330_005848	We at the Kedora Merchant Alliance are sharing information about the Kingdom's lost treasures in order to help the Revelators.{nl}Would you joun our treasure hunt?	저희 케도라 상단은 계시자분들을 돕기 위해 왕국의 잃어버린 보물에 대한 정보를 알려드리고 있습니다.{nl}잃어버린 보물을 찾을 준비가 되셨나요?	QUEST_20160723_004068	Are you prepared to search for the hidden treasure chests?{nl}Read the quest information for clues on where it could be hidden.	숨겨진 보물 상자를 찾을 준비가 되셨습니까?{nl}퀘스트 정보에 장소에 대한 힌트가 있습니다.	보물 상자 지원상인	
QUEST_20170330_005849	Did you find the location?{nl}You can trust the Kedora Alliance with information about treasure locations.	제가 알려드린 장소는 찾으셨나요?{nl}신뢰할만한 정보니 저희 케도라 상단을 믿고 보물을 찾아보세요.	QUEST_20160723_004069	You are in the middle of an event quest.{nl}Search for the hidden treasure chest by reading the quest information.	이벤트 퀘스트를 진행하고 있습니다.{nl}퀘스트 내용을 확인하시고 숨겨진 보물 상자를 찾아주세요.	보물 상자 지원상인	
QUEST_20170330_005850	I already told you everything I could.{nl}I hope it was helpful.	제가 알려드릴 수 있는 정보는 모두 알려드렸습니다.{nl}도움은 되셨나요?	QUEST_20160723_004071	You have completed all of the event quests.{nl}Thank you for participating in the event.	모든 이벤트 퀘스트르 완료하셨습니다.{nl}이벤트에 적극 참여해주셔서 감사합니다.	보물 상자 지원상인	
QUEST_20170330_005851	Do you want to receive the event reward?{nl}All rewards are untradable and character-bound.	이벤트 보상을 받으시겠습니까?{nl}보상 아이템은 캐릭터에 귀속됩니다.				이벤트 알림판	
QUEST_20170330_005852	{nl}The war came with much suffering and, in the end, it took Ruklys' life as well.{nl}Our sole intent is to honor the great devotion of Ruklys to the goddesses.	{nl}그로써 발생한 전쟁은 많은 피해를 입혔고, 결국 루클리스는 죽음에 이르렀다.{nl}우리는 루클리스가 여신을 향한 깊은 신앙심 말고는 다른 의도가 없었음을 증명한다.	QUEST_20161005_004503	{nl}The civil war that resulted from that small suspicion resulted in the death of Ruklys.{nl}We wish to prove that Ruklys had no other intentions than devout faith in the Goddess.	{nl}그로써 발생한 전쟁은 많은 피해를 입혔고, 결국 루클리스는 죽음에 이르렀다.{nl}우리는 우클리스가 여신을 향한 깊은 신앙심 말고는 다른 의도가 없었음을 증명한다.	수정된 기념비	
QUEST_20170330_005854	Kupole Server Helper	큐폴 서버 지원병					
QUEST_20170330_005855	Daily Kupole Server reward sent.	큐폴 서버 일일 출석 보상이 지급되었습니다.				큐폴 서버 지원병	
QUEST_20170330_005856	You already received today's reward.	오늘은 이미 보상을 지급 받았습니다.				큐폴 서버 지원병	
QUEST_20170418_005858	You have completed the daily quest.{nl}Please come again tomorrow.	일일 퀘스트를 완료하였습니다.{nl}내일 다시 찾아와 주세요.				이벤트 알림판	
QUEST_20170418_005859	Leveling Guide	가이드 안내원					
QUEST_20170418_005860	Oh, you're a new Revelator.. Greetings!	신규 유저 시군요.. 반갑습니다!				가이드 안내원	
QUEST_20170418_005861	You've already been around for a while.	당신은 신규 유저가 아니군요..				가이드 안내원	
QUEST_20170420_005862	Do you want to move to the Master NPC?	마스터 NPC에게 바로 이동하시겠습니까?				이동	
QUEST_20170420_005863	Are you looking for the Mercenary Post?{nl}They moved to Klaipeda, to let other people know about their missions.{nl}You'll have to go to Klaipeda if you want to join them.	의뢰소를 찾아온 건가?{nl}더 많은 사람에게 알리기 위해 다들 클라페다로 넘어갔다네.{nl}의뢰를 받으려면 클라페다로 가보게나.				노인	
QUEST_20170420_005864	The Mercenary Post has been moved to Klaipeda.{nl}Please go to Klaipeda to accept a mission.{nl}Do you want to move inside?	의뢰소가 클라페다로 이전되었습니다.{nl}의뢰를 위해 찾아오신 분들은 클라페다로 찾아오세요.{nl}내부로 이동하시겠습니까?				이동	
QUEST_20170420_005865	Do you want to move to the Bokor Master's Home?	보코르 마스터의 집으로 이동하시겠습니까?				이동	
QUEST_20170420_005866	Do you want to move to the Highlander Master's Training Hall?	하이랜더 마스터의 도장으로 이동하시겠습니까?				이동	
QUEST_20170420_005867	Do you want to move to the Pyromancer Master's Lab?	파이로맨서 마스터의 연구실로 이동하시겠습니까?				이동	
QUEST_20170420_005868	This is a warning to all adventurers attempting to enter the Rancid Labyrinth!{nl}The Royal Army has reported that this dungeon is currently inhabited by large numbers of demons.	앞에 있는 랜시드 미로로 들어가려는 모든 모험가님들에게 알립니다!{nl}왕국군 측에서 살펴본 결과 해당 던전은 마족들로 가득 찬 소굴입니다.				경고문	
QUEST_20170420_005869	Reset Helper Kupole	초기화 지원 큐폴					
QUEST_20170420_005870	We're providing stat, skill and rank reset items every day.	매일 스탯, 스킬, 랭크 초기화 아이템을 드리고 있습니다.				초기화 지원 큐폴	
QUEST_20170420_005871	You already received your reset items today.	오늘은 이미 아이템을 드렸습니다.				초기화 지원 큐폴	
QUEST_20170420_005872	To take free will away from humans is something even the goddesses condemn.{nl}But what the Monk Master Olfas Grimm has planned, whether right or wrong, is harmful to many people and can even kill them.{nl}That is what saddens me.	인간의 자유의지를 막는 일은 여신들께서도 꺼려하는 일입니다.{nl} 그러나 몽크 마스터 올파스 그림이 품고 있는 계획은 그것이 옳건 그르건 많은 사람들을 힘들게 하고 심지어 죽게 만들 수 있습니다.{nl} 저는 그 점이 슬픕니다.				소녀	
QUEST_20170420_005873	The Monk Master wants to train mercenary gladiators in secret and trade them to gain control of the capital's arena. Morally, I find this hard to condone.{nl}But it seems Olfas Grimm himself believes his deeds are justified for contributing to a greater good.	몽크 마스터가가 왕국 수도의 투기장을 장악하기 위해 암중에서 꾸민 모략들과 포로들을 마음대로 검투사 용병으로 훈련시켜 매매한 일들은 도덕적으로 용납되기 어려운 일입니다.{nl} 그러나 불행히도 올파스 그림은 더 큰 대의를 위해 그 일이 정당화 된다고 믿습니다.				소녀	
QUEST_20170420_005874	Monks are different from other Cleric faiths in that they pay service to the goddesses not through their relation to Them, but through self-training.{nl}However, by breaking his deal with the Corsair Master and refusing to pay, Grimm has disregarded even the values any good business person should have.{nl}Although I do agree that, as Monk Master, keeping a promise to a pirate would do nothing but harm.	몽크는 여신과의 관계가 아니라 스스로의 수련을 바탕으로 여신에게 봉사하기 때문에 신앙관이 다른 성직자와 다릅니다.{nl} 그렇지만 올파스 그림이 커세어 마스터와 맺은 계약을 어기고 대금을 주지 않은 일은 상인들도 지닌 신용과 믿음을 저버린 행위입니다.{nl} 그러나 몽크 마스터인 그는 해적 따위와의 약속을 지키는 일이 오히려 세상에 해롭다고 생각합니다.				소녀	
QUEST_20170420_005875	Monks believe it is right to do not what the goddesses want, but what the goddesses need.{nl}For people like Olfas Grimm, their physical training only reinforces this belief, the idea that anything is justifiable if it is for the sake of the goddesses.{nl}It came as a surprise to everyone when, without hesitation, he broke the double contract he had signed with the Schwarzer Reiter and Doppelsoeldner Masters.	몽크들의 신앙관에 따르면 성직자는 여신이 원하는 일이 아니라 여신에게 필요한 일을 해야 합니다.{nl} 몽크 마스터 올파스 그림은 신체의 단련이 깊어질수록 이러한 신념도 깊어져 크게 봐서 여신을 위하는 일이라고 생각되면 무엇이든 할 수 있는 위험한 사람입니다.{nl} 그가 슈바르츠라이터 마스터와 도펠죌트너 마스터 두 사람을 상대로 이중계약을 하고 심지어 그것을 서슴없이 깨뜨릴 때, 그 사실을 안 사람들은 모두 놀라지 않을 수 없었습니다.				소녀	
