ETC_20150317_005001	이미 향나는 돌가루가 묻어있습니다!
ETC_20150317_007734	밀실의 비밀 - 소드맨 계열_조건
ETC_20150317_007735	밀실의 비밀 - 위저드 계열_조건
ETC_20150317_007736	밀실의 비밀 - 아처 계열_조건
ETC_20150317_007737	밀실의 비밀 - 클레릭 계열_조건
ETC_20150317_007738	비밀 상자의 용도
ETC_20150317_007739	요술사 오윈의 퀴즈 맞추기
ETC_20150317_007740	현혹술사 코델리어의 퀴즈 맞추기
ETC_20150317_007741	변이술사 퍼리 오드의 퀴즈 맞추기
ETC_20150317_007742	마법사의 탑 3층의 실험실에서 마법사의 책 낱장 구해오기
ETC_20150317_007743	실패와 성공용
ETC_20150317_007744	채팅창에 숫자를 입력하세요.
ETC_20150317_007745	열려라 참깨용
ETC_20150317_007746	몬스터로들의 공격으로부터 스스로를 지키기
ETC_20150317_007747	디키네 갈림길 왼쪽의 비문 읽기
ETC_20150317_007748	사악한 여신상
ETC_20150317_007749	드라페리운으로 변해버린 율리우스를 어떻게든 되돌리기
ETC_20150317_007750	아셀루초의 어린 잎 구해 오기
ETC_20150317_007751	썩은 음식 무지 치우기
ETC_20150317_007752	흩어진 나무뿌리 수정 핵 찾기
ETC_20150317_007753	코왁으로부터 등이끼 구하기
ETC_20150317_007754	변형된 나무뿌리 수정에 등이끼 뿌리기
ETC_20150317_007755	진짜 변형 나무뿌리 수정 찾아서 해체 하기
ETC_20150317_007756	변형 나무뿌리 수정의 저주를 몬스터에 전이 시킨 뒤 처치하기
ETC_20150317_007757	보물상자 주변으로 몬스터 끌고와서 처치하기
ETC_20150317_007758	제단에 속박되었던 영혼들을 풀어 주기
ETC_20150317_007759	흩어진 계단의 몬스터에게 시험용 시약 실험
ETC_20150317_007760	제단 주변의 꽃에서 제단에 바칠 꽃 구하기
ETC_20150317_007761	구한 꽃을 제단에 바쳐 속박당한 영혼 달래주기
ETC_20150317_007762	성소에 적당량의 실버 헌금하기
ETC_20150317_007763	성소 주변으로 몬스터를 유인뒤 처치
ETC_20150317_007764	갈대잎에 맺힌 이슬 구하기
ETC_20150317_007765	몬스터 소환진 없애기
ETC_20150317_007766	달려드는 몬스터로부터 성소 보호
ETC_20150317_007767	신앙의 표식을 사용해 저주의 몬스터를 찾아 휘장 구하기
ETC_20150317_007768	여신상을 조여드는 덩굴로부터 여신상 지키기
ETC_20150317_007769	성소 주변의 폴꽃 꺾어 오기
ETC_20150317_007770	묘비의 이슬 모으기
ETC_20150317_007771	갈대뿌리에 기생하고 있는 몬스터에서 약 재료 구하기
ETC_20150317_007772	첫 번째 수액 항아리 설치 하기
ETC_20150317_007773	두 번째 수액 항아리 설치 하기
ETC_20150317_007774	세 번째 수액 항아리 설치 하기
ETC_20150317_007775	첫 번째 항아리에서 수액 채취
ETC_20150317_007776	두 번째 항아리에서 수액 채취
ETC_20150317_007777	세 번째 항아리에서 수액 채취
ETC_20150317_007778	부엉이의 영면(1)
ETC_20150317_007779	파괴자들(1)
ETC_20150317_007780	몰려드는 몬스터의 공격으로부터 스스로를 지키기
ETC_20150317_007781	하이 부베 궁수를 처치하고 나무로 된 화살 획득
ETC_20150317_007782	나무로 된 화살을 불에 넣기
ETC_20150317_007783	샤울렘의 전리품 약탈
ETC_20150317_007784	키로 정보창을 열어 스테이터스 사용
ETC_20150317_007785	클라페다로 가기(5)
ETC_20150317_007786	동쪽 숲 탈환(2)
ETC_20150317_007787	왕의 길 수호(2)
ETC_20150317_007788	비밀장소(2)
ETC_20150317_007789	연락관 니안의 도움
ETC_20150317_007790	사학자 시레니아 오델에게로
ETC_20150317_007791	유인 재료
ETC_20150317_007792	도망온 오델 (2)
ETC_20150317_007793	위조범 소탕(5)
ETC_20150317_007794	장작 모아오기
ETC_20150317_007795	거푸집에서 완성된 위조품 꺼내 오기
ETC_20150317_007796	예지몽(1)
ETC_20150317_007797	나무 수액 채집
ETC_20150317_007798	꿈 속에서 본 위치(1)
ETC_20150317_007799	꿈 속에서 본 위치
ETC_20150317_007800	석주대의 사람들에게 해독제 구하기
ETC_20150317_007801	봉인된 장치 작동하기
ETC_20150317_007802	왕릉 장치 확인
ETC_20150317_007803	렉시퍼보다 먼저 게둘라의 제대 봉인 해제
ETC_20150317_007804	스비에사 제단의 봉인 해제
ETC_20150317_007805	루클리스의 추모비(2)
ETC_20150317_007806	첫 번째 비석 조각 획득
ETC_20150317_007807	먼지묻은 유적지 파편 수집
ETC_20150317_007808	루클리스 재평가(1)
ETC_20150317_007809	루클리스 재평가(2)
ETC_20150317_007810	몽당 나무의 수액 채취
ETC_20150317_007811	파묻힌 유적 조각 획득
ETC_20150317_007812	리디아 샤펜이 남긴 비석(2)
ETC_20150317_007813	긴팔나무에게서 목탄 수집
ETC_20150317_007814	세 번째 탁본 작업
ETC_20150317_007815	리디아 샤펜이 남긴 비석(4)
ETC_20150317_007816	리디아 샤펜이 남긴 비석(5)
ETC_20150317_007817	플러리의 비문(7)
ETC_20150317_007818	잡상인 에당의 부탁
ETC_20150317_007819	마법사의탑42상호작용세션
ETC_20150317_007820	성당 정문 열기(4)
ETC_20150317_007821	결계 해제
ETC_20150317_007822	실험장소로 가기
ETC_20150317_007823	페디미안에서 군관계자 찾기
ETC_20150317_007824	석화된 도시 진입
ETC_20150317_007825	대광장 확인
ETC_20150317_007826	B지역 확인
ETC_20150317_007827	C지역 확인
ETC_20150317_007828	무너진 광장 외벽 확인
ETC_20150317_007829	대장장이 거리 확인
ETC_20150317_007830	미약한 석화서리 제거
ETC_20150317_007831	석화 서리 예보(3)
ETC_20150317_007832	디코 도굴단 제압
ETC_20150317_007833	도둑맞은 물자 회수
ETC_20150317_007834	과거 관찰
ETC_20150317_007835	군사 지구의 포탈 확인
ETC_20150317_007836	귀족 지구의 포탈 확인
ETC_20150317_007837	드라사 예배소 폐허의 포탈 확인
ETC_20150317_007838	루클리스 대광장의 포탈 확인
ETC_20150317_007839	채취 묻은 보급품 전달
ETC_20150317_007840	몬스터 채취 묻히기
ETC_20150317_007841	떠내려온 석화된 기록물 파괴
ETC_20150317_007842	왕국군 전단지 부착
ETC_20150317_007843	유언 들어주기
ETC_20150317_007844	유품 받아 오기
ETC_20150317_007845	피해자 해방
ETC_20150317_007846	루클리스의 진실 전달
ETC_20150317_007847	석화융해제 사용
ETC_20150317_007848	모제 디셀의 진심(3)
ETC_20150317_007849	첫번째 가시 관문(1)
ETC_20150317_007850	첫번째 가시 관문(2)
ETC_20150317_007851	두번째 가시 관문(1)
ETC_20150317_007852	체이퍼 유인
ETC_20150317_007853	두번째 가시 관문(2)
ETC_20150317_007854	세번째 가시 관문(1)
ETC_20150317_007855	마력수정 충전하기
ETC_20150317_007856	세번째 가시 관문(2)
ETC_20150317_007857	세번째 가시 관문(3)
ETC_20150317_007858	첫번째 가시 관문(3)
ETC_20150317_007859	산성용액으로 가시 굴 녹이기
ETC_20150317_007860	마력수정을 사용해서 가시덩굴 제거하기
ETC_20150317_007861	성당 정문 열기(1)
ETC_20150317_007862	성당 정문 열기(2)
ETC_20150317_007863	압사우가 제단 결계 작동(1)
ETC_20150317_007864	폰델 압사우가 제단으로 유인
ETC_20150317_007865	폰드 압사우가 제단으로 유인
ETC_20150317_007866	마족 개종
ETC_20150317_007867	글로베자스 제단 결계 작동(1)
ETC_20150317_007868	예상치 못한 짓
ETC_20150317_007869	빼앗긴 공간의 문양
ETC_20150317_007870	중앙 기둥에 조각 부착(1)
ETC_20150317_007871	중앙 기둥에 조각 부착(2)
ETC_20150317_007872	중앙 기둥에 조각 부착(3)
ETC_20150317_007873	중앙 기둥에 조각 부착(4)
ETC_20150317_007874	중앙 기둥에 조각 부착(5)
ETC_20150317_007875	중앙 기둥에 조각 부착(6)
ETC_20150317_007876	중앙 기둥에 조각 부착(7)
ETC_20150317_007877	중앙 기둥에 조각 부착(8)
ETC_20150317_007878	말다 제단 결계 작동(2)
ETC_20150317_007879	제스티 패퇴
ETC_20150317_007880	숨겨진 성소 발견
ETC_20150317_007881	영력이 깃든 수액 채취
ETC_20150317_007882	판토 창병에게 부적 효과 확인
ETC_20150317_007883	판토를 조종하여 대형 판토 투창병 처치
ETC_20150317_007884	우리 편이 된 판토
ETC_20150317_007885	수상한 움직임
ETC_20150317_007886	수상한 움직임 포착(1)
ETC_20150317_007887	수상한 움직임 포착(2)
ETC_20150317_007888	수상한 움직임 포착(3)
ETC_20150317_007889	수상한 움직임 포착(4)
ETC_20150317_007890	수상한 움직임 포착(5)
ETC_20150317_007891	메로그들의 기습
ETC_20150317_007892	브람블의 부하, 가이갈라스
ETC_20150317_007893	메로그의 침과 가시 꽃가루 각성제를 혼합해서 강화된 가시 꽃가루 각성제 만들기
ETC_20150317_007894	브람블의 부하, 몰렉
ETC_20150317_007895	브람블 처단
ETC_20150317_007896	오벨리스크 작동(4)
ETC_20150317_007897	주시자의 간계에 흔들리지 않기
ETC_20150317_007898	열리지 않는 포탈(1)
ETC_20150317_007899	제단의 힘에 반응한 몬스터 처치
ETC_20150317_007900	주교의 계획(1)
ETC_20150317_007901	영혼의 정수 획득하기
ETC_20150317_007902	주교의 영혼을 담을 온전한 경전 수색
ETC_20150317_007903	본당의 수상한 장치들(1)
ETC_20150317_007904	메이번의 장치 해제하기
ETC_20150317_007905	주교의 계획(3)
ETC_20150317_007906	인벤토리를 열어 영혼 소환 성서 아이템 사용하기
ETC_20150317_007907	빼앗긴 메이번의 물건
ETC_20150317_007908	자비의 성유물을 제단에 끼워넣기
ETC_20150317_007909	구원의 성유물을 제단에 끼워넣기
ETC_20150317_007910	성력 탐지 구슬을 이용해서 은혜의 성물 찾기
ETC_20150317_007911	위협받고 있는 사제
ETC_20150317_007912	대회랑에 있는 사제에게 연구 보고서 받아오기
ETC_20150317_007913	참회로에 있는 사제에게 연구 보고서 받아오기
ETC_20150317_007914	지성소에 있는 사제에게 연구 보고서 받아오기
ETC_20150317_007915	메이번의 장치를 풀어 메이번이 숨겨놓은 물건을 찾기
ETC_20150317_007916	석판을 사용해 메이번의 장치를 해제하고 열쇠를 찾기
ETC_20150317_007917	대회랑에 흩어진 문서(2)
ETC_20150317_007918	약 효과 지켜보기
ETC_20150317_007919	약재 구하기
ETC_20150317_007920	마족의 기습
ETC_20150317_007921	순례자에게 고기를 먹이고 반응 관찰하기
ETC_20150317_007922	정화의 제단 기동시키기
ETC_20150317_007923	차갑게 식은 주교(1)
ETC_20150317_007924	차갑게 식은 주교(2)
ETC_20150317_007925	몬스터로 변할 수 있는 방법이 적힌 레시피를 찾기
ETC_20150317_007926	약이 완성 될 때 까지 동안 몬스터 공격을 막기
ETC_20150317_007927	마족에게 메이번의 장치 위치 알려주기
ETC_20150317_007928	메이번의 비밀 장치 풀기
ETC_20150317_007929	왼쪽 결계 촛대의 봉인을 해제하기
ETC_20150317_007930	오른쪽 결계 촛대의 봉인를 해제하기
ETC_20150317_007931	열쇠를 사용해서 숨겨진 통로 찾기
ETC_20150317_007932	급습
ETC_20150317_007933	증명의 사제와 싸워 이기기
ETC_20150317_007934	길목 차단
ETC_20150317_007935	대성당 물건 찾기(1)
ETC_20150317_007936	대성당 물건 찾기
ETC_20150317_007937	석화된 책 탁복
ETC_20150317_007938	퀘스트 버프
ETC_20150317_007939	관문로와 가시마음골을 지나 낙우림으로 이동
ETC_20150317_007940	너울 고원으로 이동하기
ETC_20150317_007941	페디미안으로 이동하기
ETC_20150317_007942	유코푸스로부터 가죽 획득
ETC_20150317_007943	부베 약탈자로부터 가죽 구하기
ETC_20150317_007944	15번지역 카운터공유 세션
ETC_20150317_007945	로밍AI
ETC_20150317_007946	경험치 카드 사용
ETC_20150317_007947	디펜스 공용 세션
ETC_20150317_007948	심플예제(1)
ETC_20150317_007949	심플예제(2)
ETC_20150317_007950	심플예제(3)
ETC_20150317_007951	중간예제(1)
ETC_20150317_007952	중간예제(2)
ETC_20150317_007953	단계예제(1)
ETC_20150317_007954	드랍 관리
ETC_20150317_007955	클라페다매니저
ETC_20150317_007956	존 이벤트 보상 프로퍼티
ETC_20150317_007957	트레저 드랍보상
ETC_20150317_007958	퀘스트NPC PC 없을 때 사라지기
ETC_20150317_007959	NPC 바디 칼라브랜드 용
ETC_20150317_007960	주기적 몬스터 소환 SSN
ETC_20150317_007961	주기적 몬스터 이팩트 및 색 변환
ETC_20150317_007962	퀘스트 아군 NPC의 킬체크 공유
ETC_20150317_007963	분할 나타나기
ETC_20150317_007964	팔로워 비트리
ETC_20150317_007965	왕릉32부우크
ETC_20150317_007966	왕릉32큐브
ETC_20150317_007967	말뚝
ETC_20150317_007968	왕릉미션 큐브 세션
ETC_20150317_007969	유적지대 37번 로얄럼블
ETC_20150317_007970	유적지대 40번 디펜스
ETC_20150317_007971	유적지대 40번 디펜스_몬스터
ETC_20150317_007972	카운트 다운 킬(자살용)
ETC_20150317_007973	불의 정수[하이랜더 전직]
ETC_20150317_007974	두번째 가시 관문(3)
ETC_20150317_007975	작전 방해(3)
ETC_20150317_007976	완전한 힘(1)
ETC_20150317_007977	몬스터가 주변에 PC가 없으면 자동으로 사라지기
ETC_20150317_007978	NPC 대사 카운팅
ETC_20150317_007979	1시간별 미션
ETC_20150317_007980	의뢰소매니저
ETC_20150317_007981	상점 판매 카운트 설정
ETC_20150317_007982	세션 오브젝트 스마트젠
ETC_20150317_007983	스마트 몬젠
ETC_20150317_007984	스마트젠 소환 은신 몬스터용
ETC_20150317_007985	스마트젠 소환 몬스터용
ETC_20150317_007986	가이라스 세트
ETC_20150317_007987	광역 공격 비율 ▲2 증가
ETC_20150317_007988	전기 속성 공격력 ▲30 증가
ETC_20150317_007989	제가 세트
ETC_20150317_007990	방어력 ▲6 증가
ETC_20150317_007991	마기 세트
ETC_20150317_007992	암흑 속성 공격력 ▲30 증가
ETC_20150317_007993	주드 세트
ETC_20150317_007994	이동속도 ▲5 증가
ETC_20150317_007995	이스민 세트
ETC_20150317_007996	불 속성 저항력 ▲15 증가
ETC_20150317_007997	포라포레 세트
ETC_20150317_007998	신성 속성 공격력 ▲168{nl}어둠 속성 공격력 ▲168
ETC_20150317_007999	카프리선 세트
ETC_20150317_008000	HP 회복 ▲16
ETC_20150317_008001	모든 스탯 ▲1
ETC_20150317_008002	땅 속성 추가 대미지 ▲12
ETC_20150317_008003	리에나 세트
ETC_20150317_008004	불 속성 저항력 ▲16
ETC_20150317_008005	게임내에서 스킬레디를 사용함
ETC_20150317_008006	패킷이 오기전까지 스킬레디를 않함
ETC_20150317_008007	오버킬 경험치 획득량 (0~2)
ETC_20150317_008008	자동타겟시 각도의 중요도 (-10000~-1000)
ETC_20150317_008009	자동타겟시 거리의 중요도 (-100~-1000)
ETC_20150317_008010	자동타겟시 높이의 중요도 (-100~-1000)
ETC_20150317_008011	타겟을 쳐다보는 거리(100~200)
ETC_20150317_008012	키보드 타겟시에 데칼 이동속도
ETC_20150317_008013	넉다운 랭크 리셋시간
ETC_20150317_008014	스킬콤보시간
ETC_20150317_008015	최소콤보갯수
ETC_20150317_008016	적을 죽였을 때 파편날라가는 보너스 파워
ETC_20150317_008017	스플래쉬 최고 히트개수
ETC_20150317_008018	반격가능 타임
ETC_20150317_008019	전투상태 유지시간
ETC_20150317_008020	HIT 이후 저스트 프레임 캔슬 허용시간
ETC_20150317_008021	PC가 이동시에 가속도를 사용하는가
ETC_20150317_008022	PC최초 접속시 무적시간
ETC_20150317_008023	PC Warp (SetPos등) 무적시간
ETC_20150317_008024	옵션 최대개수
ETC_20150317_008025	소켓 최대개수
ETC_20150317_008026	매직어뮬렛 소켓 최대개수
ETC_20150317_008027	아이템 빨려들어오는속도
ETC_20150317_008028	아이템 빨려들어오는가속도
ETC_20150317_008029	아이템 메모 최대길이
ETC_20150317_008030	제작 아이템 이름 최대길이
ETC_20150317_008031	이동동기화패킷전송텀
ETC_20150317_008032	존이안떨어지는것을가정한다. 성능에 제한
ETC_20150317_008033	PC의 최대 동기화 허용거리
ETC_20150317_008034	스태미터 패킷 전송 딜레이
ETC_20150317_008035	랭킹 페이지당 최대 PC개수
ETC_20150317_008036	PC방향전환 동기화 체크시간
ETC_20150317_008037	일일 랭킹 리셋시간
ETC_20150317_008038	주간 랭킹 리셋 요일
ETC_20150317_008039	몬스터 btree 초기화 대기시간. 몬스터주변에 pc없으면 정해진 시간후에 btree를 다시만든다. btree에 잡혀있는 scriptRefCount를 없애서 좀비pc를 없앤다.
ETC_20150317_008040	세션오브젝트 자동 프로퍼티 전송 체크타임
ETC_20150317_008041	세션오브젝트의 ArgObj 좀비 체크
ETC_20150317_008042	아이템 들어오는 거리
ETC_20150317_008043	돈 아이템 들어오는 거리
ETC_20150317_008044	포스이펙트 destroy SLOW타입시 블랜드 타임
ETC_20150317_008045	위키프로퍼티 등 콘텐츠를 주기적으로 저장해주는 시간
ETC_20150317_008046	위키 드랍아이템 저장개수
ETC_20150317_008047	위키 맵 아이디 저장개수
ETC_20150317_008048	위키 최고 데미지 저장개수
ETC_20150317_008049	위키 최고 몬스터 공격 저장개수
ETC_20150317_008050	위키 아이템 드랍 몬스터 저장개수
ETC_20150317_008051	위키 아이템 퀘스트 저장개수
ETC_20150317_008052	위키 상위 랭커 카운트
ETC_20150317_008053	설문조사 지문 최대개수
ETC_20150317_008054	3DMax와 실제게임간의 거리비율
ETC_20150317_008055	서버전체이동속도픽스
ETC_20150317_008056	레디애니속도
ETC_20150317_008057	CAST애니속도
ETC_20150317_008058	공격애니속도
ETC_20150317_008059	채널 업데이트 Term
ETC_20150317_008060	몬스터의Chase업데이트타임
ETC_20150317_008061	보스몬스터의 skill Chase 최대 시간. 이시간 지나가면 타겟을 해제한다.
ETC_20150317_008062	드랍된 골드량을 조종.
ETC_20150317_008063	아이템 드랍율을 조종.
ETC_20150317_008064	존 드랍율을 뒤에서 조종.
ETC_20150317_008065	보스 드랍율을 조종.
ETC_20150317_008066	몬스터 경험치을 조종.
ETC_20150317_008067	몬스터 체력을 조종.
ETC_20150317_008068	몬스터의 공격력을 조종.
ETC_20150317_008069	몬스터의 방어력을 조종.
ETC_20150317_008070	DPK조절
ETC_20150317_008071	몬스터 약점스킬 ui보여주는 거리
ETC_20150317_008072	몬스터 약점 보여줄 PC레벨 제한
ETC_20150317_008073	위키랭킹 업데이트시간
ETC_20150317_008074	외치기 최대길이(바이트)
ETC_20150317_008075	AD_TRIGGER일때 최소 대화거리
ETC_20150317_008076	위키 랭킹 한페이지당 갯수
ETC_20150317_008077	보이지않는손의 매직넘버
ETC_20150317_008078	허공시전(스킬타겟애니패킷)일때 화면 밖까지 포스를 더 보내기위한 거리
ETC_20150317_008079	궁수 타겟이 근거리일때 distMark를 빨간색으로 표시할 범위설정
ETC_20150317_008080	장판 소멸시 장판에 붙은 이펙트 블랜드시간 설정(초)
ETC_20150317_008081	외치기 최대길이(글자수)
ETC_20150317_008082	히트시에PC몸체컬러 (0~1.0)
ETC_20150317_008083	기본 알파값
ETC_20150317_008084	컬러스프레이 프레임 사이즈
ETC_20150317_008085	바운스를 할경우에 넉다운애니의 마지막 프레임()을 생략하기위해 애니속도를 좀더 빠르게 올리는 용도(마지막프레임이 바운스애니와 연결이 어색. 전 프레임까지 재생하도록)
ETC_20150317_008086	바운스애니 재생속도
ETC_20150317_008087	pc표정 col 갯수
ETC_20150317_008088	pc표정 row 갯수
ETC_20150317_008089	텔레키네시스 높이
ETC_20150317_008090	텔레키네시스 던지는 시간
ETC_20150317_008091	텔레키네시스 던지기딜레이
ETC_20150317_008092	텔레키네시스 던지시작딜레이
ETC_20150317_008093	펫 쿨 타임
ETC_20150317_008094	한페이지당 마켓 페이지
ETC_20150317_008095	파티 공유거리
ETC_20150317_008096	파티 경매 제한 시간
ETC_20150317_008097	파티 멤버 위치 정보 전송
ETC_20150317_008098	파티원 해당 거리 안에 들어왔을 때 킬/수집 카운트 공유 / 거리 벗어나면 자동파티 해제거리
ETC_20150317_008099	파티탈퇴후 다시 초대가능해지는 시간(초)
ETC_20150317_008100	SimpleAI#DEV_AI_MODPAT#BTree#None#Lv#8#Name#라홍파
ETC_20150317_008101	%s님이 하나밍을 포획했습니다.
ETC_20150317_008102	감히 팔라딘을 공격하다니!/여신이 두렵지도 않으냐!/너 오늘 임자 만났다!
ETC_20150317_008103	아우우우~~
ETC_20150317_008104	Name#뜨거운 판토 전사#Level#50
ETC_20150317_008105	Name#뜨거운 판토 창병#Level#50
ETC_20150317_008106	떠돌이 부베궁수
ETC_20150317_008107	님이
ETC_20150317_008108	을 처치했습니다. 소환부대가 생성됩니다.
ETC_20150317_008109	%s가 %s를 처치했습니다.
ETC_20150317_008110	골렘AI
ETC_20150317_008111	덤불
ETC_20150317_008112	전갈_테스트
ETC_20150317_008113	정재훈
ETC_20150317_008114	케파AI
ETC_20150317_008115	케파AI2
ETC_20150317_008116	타격
ETC_20150317_008117	채퍼리션의 그림자
ETC_20150317_008118	부베 투사가 매우 지쳐 있습니다.
ETC_20150317_008119	스펙터 군주가 소환한 소환물을 제거 하세요.
ETC_20150317_008120	제거하지 않으면 번개가 계속 떨어집니다.
ETC_20150317_008121	툼스톤
ETC_20150317_008122	석화고래가 매우 지쳐 있습니다.
ETC_20150317_008123	라자타드폴
ETC_20150317_008124	local buf = GetBuffByName(self, "Revenge"); local over = GetOver(buf); return over + 1 .. " 차 소환이 시작되었습니다." ;
ETC_20150317_008125	소환물을 처치하세요.
ETC_20150317_008126	영혼까지 사라지게 해주마!!!
ETC_20150317_008127	서클
ETC_20150317_008128	스퀘어
ETC_20150317_008129	다이아
ETC_20150317_008130	스타
ETC_20150317_008131	빈
ETC_20150317_008132	양손검 스탠스
ETC_20150317_008133	한손검 스탠스
ETC_20150317_008134	한손검 방패 스탠스
ETC_20150317_008135	양손활 스탠스
ETC_20150317_008136	둔기 방패 스탠스
ETC_20150317_008137	둔기 스탠스
ETC_20150317_008138	위저드 한손 스태프
ETC_20150317_008139	소서러 스탠스
ETC_20150317_008140	궁수 활없음 스탠스
ETC_20150317_008141	크로스보우 스탠스
ETC_20150317_008142	쌍활 스탠스
ETC_20150317_008143	활 보조 스탠스
ETC_20150317_008144	활 방패 스탠스
ETC_20150317_008145	한손창 스탠스
ETC_20150317_008146	한손창 방패 스탠스
ETC_20150317_008147	양손창 스탠스
ETC_20150317_008148	위저드 양손 스태프
ETC_20150317_008149	주점 스탠스
ETC_20150317_008150	몬스터를 죽임
ETC_20150317_008151	몬스터를 공격
ETC_20150317_008152	플레이어를 죽임
ETC_20150317_008153	플레이어를 공격
ETC_20150317_008154	죽음
ETC_20150317_008155	세션값이 변경
ETC_20150317_008156	몬스터의 값 체크
ETC_20150317_008157	몬스터의 %s값 %s %s
ETC_20150317_008158	몬스터의
ETC_20150317_008159	프로퍼티이름 입력
ETC_20150317_008160	값
ETC_20150317_008161	값입력
ETC_20150317_008162	캐릭터의 값과 몬스터의 값 비교
ETC_20150317_008163	캐릭터의 %s값 %s 몬스터의 %s
ETC_20150317_008164	캐릭터의
ETC_20150317_008165	몬스터의 위치 체크
ETC_20150317_008166	몬스터 좌표와 %s 거리 %s %s
ETC_20150317_008167	기준좌표입력
ETC_20150317_008168	세션 값 체크
ETC_20150317_008169	세션의 %s값 %s %s
ETC_20150317_008170	세션의
ETC_20150317_008171	캐릭터의 값 체크
ETC_20150317_008172	캐릭터의 %s값 %s %s
ETC_20150317_008173	세션의 값을 변경
ETC_20150317_008174	데미지만큼 세션값을 변경
ETC_20150317_008175	세션의 %s값 + %s * 데미지
ETC_20150317_008176	값 + 데미지 *
ETC_20150317_008177	살려서 특정 좌표로 이동
ETC_20150317_008178	%s 퍼센트의 HP로 %s로 이동
ETC_20150317_008179	부활 HP % :
ETC_20150317_008180	HP입력
ETC_20150317_008181	부활좌표 :
ETC_20150317_008182	좌표입력 (마우스로 찍어도 됨)
ETC_20150317_008183	성 이그나티우스 대성당의 7대 주교 성 이그나티우스 대성당이 현재 유령의 출현으로 폐쇄되어 현재는 클라페다에서 사용중이다.
ETC_20150317_008184	피델미아
ETC_20150317_008185	용병길드의 의뢰창구를 담당하고 있는 소녀 {nl}피난중에 몬스터에게 습격당해 목숨을 잃을 뻔하였으나 용병대장에게 구출되어 용병단의 일원이 되었다.{nl}스스로 용병이라는 것에 자부심을 가지고 있다.
ETC_20150317_008186	성 이그나티우스
ETC_20150317_008187	사이비교의 역사를 정리하여 그를 바탕으로 교회 자체개혁론을 주장한 성인, 성 이그나티우스 대성당의 초초대 주교, 사후 그의 업적을 기려 성 이그나티우스로 시성되었다.
ETC_20150317_008188	주신, 날마다 아침이 밝아오게 만들어주는 여신으로 새벽의 여신이라고도 불리운다. 신의 딸. 모든 여신들의 대표자. 신의 뜻을 이어, 나무를 관리하고 있다. 그녀가 마신들에게 납치된 이후, 나무는 폭주하여 인간계의 수도를 집어삼켰다.
ETC_20150317_008189	운명의 여신. 미리 천 년 후의 미래를 내다보고, 운명을 바꾸기 위해 준비를 해왔다. 100년에 한 번씩 선택 받은 자를 통하여 계시를 남겨두었다. 누군가가 그 흩어진 계시를 모두 모으면, 운명에 맞설 힘을 얻을 것이다.
ETC_20150317_008190	대지의 여신.
ETC_20150317_008191	달리아
ETC_20150317_008192	지혜의 여신
ETC_20150317_008193	캐서린
ETC_20150317_008194	신비로운 머릿결과 지성 넘치는 끼와 수려한 외모를 갖춘 미녀.
ETC_20150317_008195	에반
ETC_20150317_008196	캐서린에게 구박만 받는 동네북.
ETC_20150317_008197	메이븐
ETC_20150317_008198	바르타스의 친구.
ETC_20150317_008199	바르타스
ETC_20150317_008200	루나의 아버지다.
ETC_20150317_008201	루나
ETC_20150317_008202	바르타스의 딸.
ETC_20150317_008203	셰리스
ETC_20150317_008204	경비대 하급 병사. 다른 여자 병사들과 마찬가지로 경비대 장교 로이를 남몰래 좋아하다.
ETC_20150317_008205	로이
ETC_20150317_008206	경비대장. 수려한 외모를 바탕으로 많은 여자들을 울렸다.
ETC_20150317_008207	제작서-떡갈나무 목재
ETC_20150317_008208	조각상 재료로 쓰이는 목재를 만들 수 있는 제작서
ETC_20150317_008209	제작서-물푸레나무 목재
ETC_20150317_008210	제작서-소나무 목재
ETC_20150317_008211	제작서-삼나무 목재
ETC_20150317_008212	제작서-드레이크 견장
ETC_20150317_008213	재료를 만들 수 있는 제작서
ETC_20150317_008214	제작서-하얀 점액
ETC_20150317_008215	제작서-플로르
ETC_20150317_008216	제작서-거친 뼛가루
ETC_20150317_008217	제작서-힘줄
ETC_20150317_008218	제작서-마력 저장기
ETC_20150317_008219	제작서-파이로스톤
ETC_20150317_008220	제작서-크리오스톤
ETC_20150317_008221	제작서-경화제
ETC_20150317_008222	제작서-질긴 힘줄
ETC_20150317_008223	제작서-레지네이트
ETC_20150317_008224	제작서-보코르 인형
ETC_20150317_008225	보코르 인형을 만들 수 있는 제작서
ETC_20150317_008226	장비를 제작할 수 있는 제작서
ETC_20150317_008227	제작서-카스카라
ETC_20150317_008228	제작서-친퀘데아
ETC_20150317_008229	제작서-사브르
ETC_20150317_008230	제작서-샴시르
ETC_20150317_008231	제작서-시미터
ETC_20150317_008232	제작서-크리스
ETC_20150317_008233	제작서-스니커스니
ETC_20150317_008234	제작서-모플라
ETC_20150317_008235	제작서-스파타
ETC_20150317_008236	제작서-판토 소드
ETC_20150317_008237	제작서-스틸 폴쳔
ETC_20150317_008238	제작서-실버 폴쳔
ETC_20150317_008239	제작서-골든 폴쳔
ETC_20150317_008240	제작서-만드라픽
ETC_20150317_008241	제작서-플로나스 사브르
ETC_20150317_008242	제작서-위저드 블레이드
ETC_20150317_008243	제작서-미스카스 사브르
ETC_20150317_008244	제작서-트리니티 소드
ETC_20150317_008245	제작서-벨니웁
ETC_20150317_008246	제작서-포르티스
ETC_20150317_008247	제작서-벤드라스 소드
