ITEM_20150317_000001	no_helmet
ITEM_20150317_002189	Wendigo teeth
ITEM_20150317_002190	It is hard tooth so as to be able to chew solid wood. I'll get from Wendigo.
ITEM_20150317_002191	Sau of Nuclear
ITEM_20150317_002192	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. Sau I get from the.
ITEM_20150317_002193	Shell of Te Raujinu
ITEM_20150317_002194	I firmly than the skin of Te Woo. I get from Raujinu.
ITEM_20150317_002195	No. pragma teeth
ITEM_20150317_002196	It is a similar appearance with the teeth of the people, but the size will be larger. You can earn from Bear issue.
ITEM_20150317_002197	Bob Antennae
ITEM_20150317_002198	To be honest, it can either use where in this, I think the question. I'll get from Bob.
ITEM_20150317_002199	Dregs of nuclear Te Woo
ITEM_20150317_002200	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. Woo Te I get from Kas.
ITEM_20150317_002201	Weight of Vespa
ITEM_20150317_002202	Vespa has not been why the weight weight to clear hanging up. However, it is certain that thereby can not fly high. I'll get from Vespa.
ITEM_20150317_002203	Of non-crow nuclear
ITEM_20150317_002204	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I get from non-chalice.
ITEM_20150317_002205	Gerhard time of nuclear
ITEM_20150317_002206	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I get from Shrewsbury time.
ITEM_20150317_002207	Nucleus of Firuren
ITEM_20150317_002208	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I'll get from Firuren.
ITEM_20150317_002209	Nucleus of Rasuratto
ITEM_20150317_002210	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I'll get from Rasuratto.
ITEM_20150317_002211	Nucleus of Mausurosu
ITEM_20150317_002212	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I'll get from Mausurosu.
ITEM_20150317_002213	Wax
ITEM_20150317_002214	It is possible to win in more than one place, but you can easily get from tree cancer fire.
ITEM_20150317_002215	Leaves Mondan
ITEM_20150317_002216	It is a leaf of a little hard feeling. I get from Mondan tree.
ITEM_20150317_002217	Determination of long-sleeved tree
ITEM_20150317_002218	It is a crystal that generated sap has hardened in Chene of the plant. I get from long-sleeved tree.
ITEM_20150317_002219	Burke of the skin to infrastructure
ITEM_20150317_002220	You can thin thickness is also to withstand strong shock. I get from Burke to infrastructure.
ITEM_20150317_002221	Nucleus of Joruremu
ITEM_20150317_002222	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I'll get from Joruremu.
ITEM_20150317_002223	The nucleus of the cemetery Golem
ITEM_20150317_002224	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I get from cemetery golem.
ITEM_20150317_002225	Thoughts body of a hollow vendor
ITEM_20150317_002226	It is a form of soul strong evil thoughts have been materialized. You can also be obsessed with thoughts if you raise your hand without safety device. I get from the hollow of the vendor.
ITEM_20150317_002227	Big Cockatrice heart
ITEM_20150317_002228	This is the heart of the beast. It is a structure, such as the human heart. I get from Big cockatrice.
ITEM_20150317_002229	Drake of meat
ITEM_20150317_002230	If you have a strong resistance to fire, you will need to cook for a very long time. There are popular because so taste's gem. I'll get from Drake.
ITEM_20150317_002231	Leaves of Fira cone
ITEM_20150317_002232	It is the red color leaves. I get from Philadelphia cone.
ITEM_20150317_002233	The nucleus of the magic doll
ITEM_20150317_002234	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I get from magic doll.
ITEM_20150317_002235	Slime sculpture
ITEM_20150317_002236	For Mochi~tsu Tomo Chit was nature, it does not become a non-magic of research. I'll get from slime.
ITEM_20150317_002237	Corner of Alma
ITEM_20150317_002238	I will harden very thick. I'll get from Alma.
ITEM_20150317_002239	Green Drake of teeth
ITEM_20150317_002240	Since there is a possibility that come out acidic liquid at the tip of the tooth, you need to be careful. I get from green Drake.
ITEM_20150317_002241	Part of the flask
ITEM_20150317_002242	Always broken glass, you need to be careful. I'll get from the flask.
ITEM_20150317_002243	Red hook
ITEM_20150317_002244	If the hook is not required by dissolving is recommended that you other things. I get from red Nudokufukku.
ITEM_20150317_002245	Nucleus of the black magic of dolls
ITEM_20150317_002246	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I get from black magic doll.
ITEM_20150317_002247	Beads of dimmer
ITEM_20150317_002248	You often used as ornaments for burning such color. I get from dimmer.
ITEM_20150317_002249	Black Drake of heart
ITEM_20150317_002250	We ran to continue to boast a strong life force. I get from black Drake.
ITEM_20150317_002251	Lactobacillus skin
ITEM_20150317_002252	It is mainly used as armor materials. I'll get from Lactobacillus.
ITEM_20150317_002253	Nucleus of Benuekerurosu
ITEM_20150317_002254	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I'll get from Benuekerurosu.
ITEM_20150317_002255	Hard of nuclear
ITEM_20150317_002256	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I'll get from hard.
ITEM_20150317_002257	Tama nuclear
ITEM_20150317_002258	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I'll get from Tama.
ITEM_20150317_002259	Teeth of Lizardman
ITEM_20150317_002260	And if it is possible to the Lizardman of wild opponent, this can be enough compensation is. I'll get from Lizardman.
ITEM_20150317_002261	Hook
ITEM_20150317_002262	If the hook is not required by dissolving is recommended that you other things. I'll get from Nudokufukku.
ITEM_20150317_002263	Wings, frog nuclear
ITEM_20150317_002264	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. Wings, I'll get from the frog.
ITEM_20150317_002265	Bone of cockatrice
ITEM_20150317_002266	Boridon chicken does not have to eat only lean meat. I'll get from cockatrice.
ITEM_20150317_002267	Drake corner
ITEM_20150317_002268	Modulus of rigidity is unprecedented favorably to be used in the solid. I'll get from Drake.
ITEM_20150317_002269	Corner of Grohl
ITEM_20150317_002270	This is the main reason to look for this Grohl. I'll get from Grohl.
ITEM_20150317_002271	Stems of blue Puragarasu
ITEM_20150317_002272	Rather than stem is located in the tendon. I will earn from blue Puragarasu.
ITEM_20150317_002273	Skin of Bebikarabe
ITEM_20150317_002274	This seems to be like stone created. I'll get from Bebikarabe.
ITEM_20150317_002275	Nucleus of Buuku
ITEM_20150317_002276	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I'll get from Buuku.
ITEM_20150317_002277	Vubbe outdoor labor
ITEM_20150317_002278	This is outdoor work made of coarse prowess. I get from Vubbe shooter.
ITEM_20150317_002279	Vubbe pickaxe
ITEM_20150317_002280	It is a mandrel that is used in the mines. It also is used as a weapon in an emergency. I get from Vubbe miners.
ITEM_20150317_002281	Vubbe Food
ITEM_20150317_002282	According to one theory, you can write for the Vubbe is fashionable. I will win in Vubbe wizard and magician.
ITEM_20150317_002283	Wings of Danderu
ITEM_20150317_002284	It is very similar to the bat wings, except that called stem of the plant. I'll get from Danderu.
ITEM_20150317_002285	Punt eyebrows
ITEM_20150317_002286	Pantoshiruzu
ITEM_20150317_002287	It is Sills that punt to use. I get from punt spear.
ITEM_20150317_002288	Hana core of Tipio
ITEM_20150317_002289	You may come out sneezing as inhale pollen. I'll get from Tipio.
ITEM_20150317_002290	Toyobo le leaf multiple
ITEM_20150317_002291	Umbrella is also great as an alternative. I get from Toyobo Lumpur.
ITEM_20150317_002292	No. pragma shooter belt
ITEM_20150317_002293	Inferior in is sturdy belt. I get from No. sigma shooter.
ITEM_20150317_002294	Punt Chang null
ITEM_20150317_002295	Punt pattern has been drawn on the Chan'naru. Pantotsu I get from spear.
ITEM_20150317_002296	Flow based on Stone
ITEM_20150317_002297	It is a mysterious stone that was filling the power of fire. I'll get from Drake.
ITEM_20150317_002298	Sulfur
ITEM_20150317_002299	This is the ore that burns out the blue flame.
ITEM_20150317_002300	Thinner bar
ITEM_20150317_002301	It is the red ore that becomes the main material of mercury.
ITEM_20150317_002302	Wing of bat
ITEM_20150317_002303	It is one of the many use the material being in alchemy.
ITEM_20150317_002304	Bits of glass
ITEM_20150317_002305	This is the debris of unnecessary broken glass. I'll get from the flask.
ITEM_20150317_002306	Oak tree
ITEM_20150317_002307	The logs that have not been processed.
ITEM_20150317_002308	Sweet osmanthus
ITEM_20150317_002309	Pine
ITEM_20150317_002310	Japanese cedar
ITEM_20150317_002311	Wood of oak tree
ITEM_20150317_002312	It is processed wood. It is used as a material to make items.
ITEM_20150317_002313	Ash wood
ITEM_20150317_002314	Pine
ITEM_20150317_002315	Cedar
ITEM_20150317_002316	Stems of cauliflower
ITEM_20150317_002317	Thorn has been driven To tightly, it is difficult to work with material. I'll get from cauliflower.
ITEM_20150317_002318	Sau was remodeled nuclear
ITEM_20150317_002319	The nucleus is modified in order to give a higher output. Sau I get from the.
ITEM_20150317_002320	Determination of Danderu
ITEM_20150317_002321	It is a crystal that generated sap has hardened in Chene of the plant. I'll get from Danderu.
ITEM_20150317_002322	Nudoku Kochi venom
ITEM_20150317_002323	Please do not drink excessively. Nudoku I get from Kochi.
ITEM_20150317_002324	Broad Arrow head
ITEM_20150317_002325	This is the arrow that is being used to hunt. It is characterized by the width of the arrow is wide.
ITEM_20150317_002326	Board Keene point Arrow
ITEM_20150317_002327	Tip is the arrow that specializes to penetrate the very sharp create armor.
ITEM_20150317_002328	Hale Mary Arrow
ITEM_20150317_002329	This is the arrow to be hanging explosion explosives to arrow.
ITEM_20150317_002330	Wendigo Fang
ITEM_20150317_002331	Fang perfect condition can take a significant amount of value. I'll get from Wendigo.
ITEM_20150317_002332	Gold
ITEM_20150317_002333	The dissolved gold is what was in the form of ingots. Of course, the price is equivalent to.
ITEM_20150317_002334	Mercury
ITEM_20150317_002335	Identity was discovered from the monster it is unknown gem. Collector is looking a lot for mysterious color.
ITEM_20150317_002336	Skin of Kepa
ITEM_20150317_002337	Advanced materials
ITEM_20150317_002338	Determination of Kepa
ITEM_20150317_002339	Unusual material
ITEM_20150317_002340	Ipuban one of the antennal
ITEM_20150317_002341	Shining Skin
ITEM_20150317_002342	One Min'aroma
ITEM_20150317_002343	Determination of one Min
ITEM_20150317_002344	Chinen during root
ITEM_20150317_002345	Infro Rocktor Bone
ITEM_20150317_002346	Not only the shell is hard, its inside is also durable. It can be obtained from Infro Rocktor.
ITEM_20150317_002347	Tart
ITEM_20150317_002348	Identity was discovered from the monster it is unknown gem. Collector is looking a lot for mysterious color.
ITEM_20150317_002349	Chupacabra Leather
ITEM_20150317_002350	Chupacabra Eyeball
ITEM_20150317_002351	Bone of Poporion
ITEM_20150317_002352	Poporion petal
ITEM_20150317_002353	Weaver of skin
ITEM_20150317_002354	Weaver venom
ITEM_20150317_002355	Pokubu Meat
ITEM_20150317_002356	Pokubu Horn 
ITEM_20150317_002357	Discolored leaves
ITEM_20150317_002358	Yukopus rope
ITEM_20150317_002359	Stem of red Kepa
ITEM_20150317_002360	Vubbe lanceolate
ITEM_20150317_002361	Vubbe blood
ITEM_20150317_002362	Vubbe will have a green blood. I get from Vubbe.
ITEM_20150317_002363	La Flower of root
ITEM_20150317_002364	Determination of La Flower
ITEM_20150317_002365	Stone Orca sculpture
ITEM_20150317_002366	Bat teeth
ITEM_20150317_002367	Bat, eat suck the blood using this tooth. I'll get off the bat.
ITEM_20150317_002368	Shuredi de cloth
ITEM_20150317_002369	Old is the cloth. I get from Shuredi de.
ITEM_20150317_002370	Shuredi de thoughts body
ITEM_20150317_002371	It is a form of soul strong evil thoughts have been materialized. You can also be obsessed with thoughts if you raise your hand without safety device. I get from Shuredi de.
ITEM_20150317_002372	I~ekyubaito teeth
ITEM_20150317_002373	It is a tooth that has developed in the direction of grinding the meat. I'll get from I~ekyubaito.
ITEM_20150317_002374	Change of I~ekyubaito
ITEM_20150317_002375	I~ekyubaito is the tail only grow modification. Sodahhodo to adults, to modify also increases. I'll get from I~ekyubaito.
ITEM_20150317_002376	Skin fixes spider
ITEM_20150317_002377	Change of modification spider
ITEM_20150317_002378	If farther eyes to fix it is not aware of the monster under the. I get from the modified spider.
ITEM_20150317_002379	Blood of Vubbe Shimatoshi
ITEM_20150317_002380	Darker than those of other Vubbe, is a strong blood viscosity. I get from Vubbe Fighter.
ITEM_20150317_002381	Jig Knott's Berry
ITEM_20150317_002382	Jigunattsu seed
ITEM_20150317_002383	Form of decoration of punt leaf
ITEM_20150317_002384	Hummingbird Wings
ITEM_20150317_002385	This is the wing that is similar to the petals of shape. I get from Hummingbird.
ITEM_20150317_002386	Hummingbird Antennae
ITEM_20150317_002387	Powder of Hummingbird Wings
ITEM_20150317_002388	Reply wing
ITEM_20150317_002389	Always wings of insects, please be handled with care. I'll get from reply.
ITEM_20150317_002390	Reply Antennae
ITEM_20150317_002391	Reply Al
ITEM_20150317_002392	Shidomia seed
ITEM_20150317_002393	The Why not try raising the Shidomia? I'll get from Shidomia.
ITEM_20150317_002394	Shidomia pollen
ITEM_20150317_002395	Drake string
ITEM_20150317_002396	The rental skin
ITEM_20150317_002397	Usually not of seen different from the bark. I get from the rent.
ITEM_20150317_002398	Broken punt Sword
ITEM_20150317_002399	and broke, but it might be re-rewritten. I get from punt warrior.
ITEM_20150317_002400	Punt hoof
ITEM_20150317_002401	Punt Sherman cane decoration
ITEM_20150317_002402	Two of meat that should not Te
ITEM_20150317_002403	This is a source of good protein. Te I get from two that do not.
ITEM_20150317_002404	Two birds that do not Te
ITEM_20150317_002405	Two of beak Dont Te
ITEM_20150317_002406	Non Orureto flower
ITEM_20150317_002407	Determination of non-Orureto
ITEM_20150317_002408	You can earn from requirements Nome.
ITEM_20150317_002409	Debris of the main Norm
ITEM_20150317_002410	You can earn from Inoumu.
ITEM_20150317_002411	Debris of Inoumu
ITEM_20150317_002412	Magi is a metal piece that has been put. I'll get from Inoumu.
ITEM_20150317_002413	In Ja wings
ITEM_20150317_002414	Part of in Ja of clothes
ITEM_20150317_002415	Pound of hair
ITEM_20150317_002416	Pound outdoor labor
ITEM_20150317_002417	Hair Ponderu
ITEM_20150317_002418	Pong del shaft
ITEM_20150317_002419	And he disappears as if dead metal and monsters made of horsepower, but you have a case you are still rare. I will win in Ponderu.
ITEM_20150317_002420	Garurokureza
ITEM_20150317_002421	Powerful Asmodian skin is very strong, I am proud of the durability. I'll get from Garuroku.
ITEM_20150317_002422	Nail Garuroku
ITEM_20150317_002423	Bone of Glico pig
ITEM_20150317_002424	To obtain this, we shall significant risks and falling direction instead. I get from Glico pig.
ITEM_20150317_002425	Glico pig heart
ITEM_20150317_002426	This heart has around as strong life force strong magi is snuggle. I get from Glico pig.
ITEM_20150317_002427	Tail of Glico pig
ITEM_20150317_002428	Pure Crystal
ITEM_20150317_002429	It is a jewel of a powerful monster in the fix mine has. Carapace in mine, I get from Spector monarch.
ITEM_20150317_002430	Firewood
ITEM_20150317_002431	It is used when you suck the bonfire. Campfire will be able to suck in a sitting state.
ITEM_20150317_002432	La Paz resin
ITEM_20150317_002433	Judas decision
ITEM_20150317_002434	Seed oil
ITEM_20150317_002435	Maizuru spore bag
ITEM_20150317_002436	If you do not care and you can also spores scattered torn pocket. I'll get from Maizuru.
ITEM_20150317_002437	Leaves of Maizuru
ITEM_20150317_002438	Maizuru eyeball
ITEM_20150317_002439	Fishing rod
ITEM_20150317_002440	You can earn from Fisherman.
ITEM_20150317_002441	Fisherman of nuclear
ITEM_20150317_002442	Kitchen knife
ITEM_20150317_002443	This is the wiper was a kitchen knife. Brown or I get from so.
ITEM_20150317_002444	Huge hook
ITEM_20150317_002445	If the hook is not required by dissolving is recommended that you other things. I get from green plastic period.
ITEM_20150317_002446	Banshee thoughts body
ITEM_20150317_002447	It is a form of soul strong evil thoughts have been materialized. You can also be obsessed with thoughts if you raise your hand without safety device. I'll get from Banshee.
ITEM_20150317_002448	Influenza influenza Arrow
ITEM_20150317_002449	You can drag the note with an arrow to issue a sound, you can use when you want to send the signal.
ITEM_20150317_002450	Gerhard time of red eyes
ITEM_20150317_002451	Hard blue eyes
ITEM_20150317_002452	Leaf of the rumor
ITEM_20150317_002453	It is a leaf that needle-like leaves are growing tightly packed. I get from the rumor.
ITEM_20150317_002454	The sticky liquid
ITEM_20150317_002455	Latex
ITEM_20150317_002456	Region
ITEM_20150317_002457	Fork Bonn meat
ITEM_20150317_002458	You can earn from fork Bonn.
ITEM_20150317_002459	Luxor money meat
ITEM_20150317_002460	It is a greasy meat. I get from Luxor money.
ITEM_20150317_002461	Ansuru
ITEM_20150317_002462	Bebionoru
ITEM_20150317_002463	Multi-ale
ITEM_20150317_002464	Phenol
ITEM_20150317_002465	Oh rough
ITEM_20150317_002466	Crew Mabo leaf
ITEM_20150317_002467	It is a leaf that looks mediocre. I get from crew Mabo.
ITEM_20150317_002468	Bone of huge shin
ITEM_20150317_002469	This is the bone of a huge shin. I get from No. sigma champion.
ITEM_20150317_002470	Black Death All's teeth
ITEM_20150317_002471	Black Bigguguri God
ITEM_20150317_002472	Egg
ITEM_20150317_002473	It is a well eggs used in cooking.
ITEM_20150317_002474	Bladder
ITEM_20150317_002475	You can earn it because maybe nose.
ITEM_20150317_002476	Grohl teeth
ITEM_20150317_002477	Grohl is located mainly even if an attack by using the corner to use the teeth. I'll get from Grohl.
ITEM_20150317_002478	Gris God
ITEM_20150317_002479	You can earn from red Gris.
ITEM_20150317_002480	So Bal freshly
ITEM_20150317_002481	Wooden stick
ITEM_20150317_002482	You can earn from fear.
ITEM_20150317_002483	The rusty iron scrap
ITEM_20150317_002484	This is a crappy junk. Around rust is blowing. I get from Vubbe warrior.
ITEM_20150317_002485	Dark slime debris
ITEM_20150317_002486	Doki beak of
ITEM_20150317_002487	You can earn from Doki.
ITEM_20150317_002488	Death all helical
ITEM_20150317_002489	You can earn all death from vinegar.
ITEM_20150317_002490	Nippon Telegraph and Telephone petal
ITEM_20150317_002491	You can earn from Nippon Telegraph and Telephone.
ITEM_20150317_002492	Toyobo le nails
ITEM_20150317_002493	Nails, Toyobo Lumpur will help to improve the movement. I get from Toyobo Lumpur.
ITEM_20150317_002494	Drake of the film
ITEM_20150317_002495	Film can not be recovered Once torn once. I'll get from Drake.
ITEM_20150317_002496	Drape stinger
ITEM_20150317_002497	Rafusebu leaf
ITEM_20150317_002498	You can get from Rafusefu.
ITEM_20150317_002499	Rafflesia venom
ITEM_20150317_002500	You can earn from black Rafflesia.
ITEM_20150317_002501	Ramubeabon
ITEM_20150317_002502	Dorubainroba acid sap
ITEM_20150317_002503	You can earn from Dorubainroba.
ITEM_20150317_002504	Debris of Bull RAM
ITEM_20150317_002505	You may appear to be a simple stone. I get from the Bull RAM.
ITEM_20150317_002506	Nuclear Bull RAM
ITEM_20150317_002507	It is a deformed nuclei of Nyukuru a power source of the mutant monsters. When you operate incorrectly, there is a possibility that the aggregated magic will explode. I get from the Bull RAM.
ITEM_20150317_002508	Tail of Remuru
ITEM_20150317_002509	Tail of Lemuria
ITEM_20150317_002510	Rabbit Fur
ITEM_20150317_002511	Luxor money ivory
ITEM_20150317_002512	Many are used you in a very unusual thing crafts. I get from Luxor money.
ITEM_20150317_002513	Spine of Luxor of money
ITEM_20150317_002514	It is a very huge spine. I'll get from Rokkusodon.
ITEM_20150317_002515	Silver boss leather
ITEM_20150317_002516	You can earn from Silver boss.
ITEM_20150317_002517	Nail Lizardman
ITEM_20150317_002518	Bent nails is useful when you get on the tree. I'll get from Lizardman.
ITEM_20150317_002519	Fang Lizardman
ITEM_20150317_002520	You can earn from Lizardman.
ITEM_20150317_002521	Leaf nuts wings
ITEM_20150317_002522	You can earn from leaf nut.
ITEM_20150317_002523	Specter of food
ITEM_20150317_002524	You can earn from evil ghost.
ITEM_20150317_002525	Medaikia metal decoration
ITEM_20150317_002526	Pattern that can be seen only in Wang Ling is carved. I'll get from Medaikia.
ITEM_20150317_002527	Corner of Medaikia
ITEM_20150317_002528	This is John angle made of stone. I'll get from Medaikia.
ITEM_20150317_002529	Men tea wood bark
ITEM_20150317_002530	This is the bark of wood. I get from the plane tea Wood.
ITEM_20150317_002531	Meruritchi forefoot
ITEM_20150317_002532	You can earn from Meruritchi.
ITEM_20150317_002533	Mogururan meat
ITEM_20150317_002534	You can earn from Mogururan.
ITEM_20150317_002535	Bone of Moya part
ITEM_20150317_002536	You can get from Moya part.
ITEM_20150317_002537	Mini number Leather
ITEM_20150317_002538	Also I have the strength to repel arrow. I get from the mini times.
ITEM_20150317_002539	Bourbon feather
ITEM_20150317_002540	You can earn from bourbon.
ITEM_20150317_002541	Bob skin
ITEM_20150317_002542	The skin in the full state is that it is difficult to Bob to the other party. I'll get from Bob.
ITEM_20150317_002543	Wheel
ITEM_20150317_002544	Roll over. I'll get from Firuren.
ITEM_20150317_002545	Banshee of food
ITEM_20150317_002546	It is an incredibly lightweight. I'll get from Banshee.
ITEM_20150317_002547	Valley Ziegler feather
ITEM_20150317_002548	Leaves of purple
ITEM_20150317_002549	You can earn from Rapururi.
ITEM_20150317_002550	Red part Bejoku certificate
ITEM_20150317_002551	You can earn from red Vubbe predators.
ITEM_20150317_002552	Leaves Beaterosu
ITEM_20150317_002553	You can earn from Beaterosu.
ITEM_20150317_002554	Bigguguri God
ITEM_20150317_002555	You can earn from Bigguguri ·.
ITEM_20150317_002556	Beak of Big cockatrice
ITEM_20150317_002557	To prevent the shield this, there is a possibility that the shield is broken. I get from Big cockatrice.
ITEM_20150317_002558	Desert Chupacabra Leather
ITEM_20150317_002559	The amount that can be obtained is less it is often used as urgent. I get from desert Chupacabra.
ITEM_20150317_002560	The power authority of Sau
ITEM_20150317_002561	Horsepower is help us apparatus so that it can be easily controlled. Sau I get from the.
ITEM_20150317_002562	Saio leaf
ITEM_20150317_002563	Sakumori stem
ITEM_20150317_002564	You can earn from Sakumori.
ITEM_20150317_002565	Shard stearyl Ju nails
ITEM_20150317_002566	Pine resin
ITEM_20150317_002567	The liquid sticky that can be obtained from the tree.
ITEM_20150317_002568	Gerhard time debris
ITEM_20150317_002569	You may appear to be a simple stone. I get from Shrewsbury time.
ITEM_20150317_002570	Star wool rate Eat heart
ITEM_20150317_002571	You can earn from star wool law suite.
ITEM_20150317_002572	The hands of the corpse
ITEM_20150317_002573	Corruption is proceeding, and the stench. I get from green language Parry tion.
ITEM_20150317_002574	Amorites plate
ITEM_20150317_002575	It is a metal of a black light. You can be processed only at very high temperatures. I'll get from the Amorites.
ITEM_20150317_002576	Amon spine
ITEM_20150317_002577	It is characterized by large angular every spine clause is springing. I'll get from Amon.
ITEM_20150317_002578	Luminous spore
ITEM_20150317_002579	You can earn from red rice De~yuja.
ITEM_20150317_002580	Bone of Arutanun
ITEM_20150317_002581	Skeleton, I looks not much different from the other birds. I'll get from Arutanun.
ITEM_20150317_002582	Yellow guar petal
ITEM_20150317_002583	You can earn from Erogua.
ITEM_20150317_002584	Leaves of yellow edge
ITEM_20150317_002585	You can earn from erotic edge.
ITEM_20150317_002586	Erurumu drop
ITEM_20150317_002587	You can earn from Erurumu.
ITEM_20150317_002588	Determination of Erurumu
ITEM_20150317_002589	The bone of the holder to infrastructure
ITEM_20150317_002590	You can earn from the holder to infrastructure.
ITEM_20150317_002591	Imp cane decoration
ITEM_20150317_002592	You can earn from Terainpu.
ITEM_20150317_002593	Leaves Zepetto
ITEM_20150317_002594	It is a form of leaves of small arrow. I'll get from Zepetto.
ITEM_20150317_002595	Bondage
ITEM_20150317_002596	To enter the normal criminal, but as has also been used for other purposes. I get from the Dumas.
ITEM_20150317_002597	Cotton magic doll
ITEM_20150317_002598	Warmth is a good cotton. I get from magic doll.
ITEM_20150317_002599	Green Erurumu drop
ITEM_20150317_002600	You can earn from green Erurumu.
ITEM_20150317_002601	Chuparuka meat
ITEM_20150317_002602	Crow piece
ITEM_20150317_002603	You may appear to be a simple stone. I'll get from crow.
ITEM_20150317_002604	Kawaipu
ITEM_20150317_002605	It is a leaf of large curved shape. I'll get from the car.
ITEM_20150317_002606	Kepareda teeth
ITEM_20150317_002607	You can earn from Kepareda.
ITEM_20150317_002608	Corner of Korirurasu
ITEM_20150317_002609	A small corner of the way has been growing. I'll get from Korirurasu.
ITEM_20150317_002610	Cockatrice Leather
ITEM_20150317_002611	It is suitable for making a very Jirugyo armor. I'll get from cockatrice.
ITEM_20150317_002612	Wings of cockatrice
ITEM_20150317_002613	It is a feather shiny. I'll get from cockatrice.
ITEM_20150317_002614	Koriman of flower
ITEM_20150317_002615	You can earn from Koriman.
ITEM_20150317_002616	Collie tile Antennae
ITEM_20150317_002617	You can earn from Collie tile.
ITEM_20150317_002618	Black Newt Leather
ITEM_20150317_002619	You can earn from black Newt.
ITEM_20150317_002620	Chroma poison bone
ITEM_20150317_002621	Density is very high bone. I get from chroma poison.
ITEM_20150317_002622	Tanu flowers
ITEM_20150317_002623	It is a white flower that smell sweet. I'll get from Tanu.
ITEM_20150317_002624	Tama skin
ITEM_20150317_002625	The other eggs will have a different very thick skin. I'll get from Tama.
ITEM_20150317_002626	Visible Tontsuria
ITEM_20150317_002627	It is a visible size is mixed. I'll get from Tontsuria.
ITEM_20150317_002628	Skin of Tsuken
ITEM_20150317_002629	People will or misunderstanding with the metal for rigidity and luster.
ITEM_20150317_002630	Bone findings
ITEM_20150317_002631	Strangely, I have a high elasticity. I'll get from knowledge.
ITEM_20150317_002632	Pipe
ITEM_20150317_002633	You can earn from Hound.
ITEM_20150317_002634	Fork Bonn Leather
ITEM_20150317_002635	Fork Bonn spine
ITEM_20150317_002636	Blue Vubbe Fighter certificate
ITEM_20150317_002637	Plymouth Mimiki
ITEM_20150317_002638	You can earn from seeing pulley.
ITEM_20150317_002639	Pinot of stem
ITEM_20150317_002640	It is not recommended for edible. I'll get from Pinot.
ITEM_20150317_002641	Hamin leaf
ITEM_20150317_002642	Haibube Island outdoor labor
ITEM_20150317_002643	Proof of high part Bejoku
ITEM_20150317_002644	You can earn from Haibube Island.
ITEM_20150317_002645	Sonpyo the hollow of vendor
ITEM_20150317_002646	Located on the weapon rather than Sonpyo. I get from the hollow of the vendor.
ITEM_20150317_002647	No. sigma battle captain Fang
ITEM_20150317_002648	I boasts a much larger size than those of bears other issue. I get from No. sigma battle captain.
ITEM_20150317_002649	Gray Yukopus Leaf
ITEM_20150317_002650	Platform Lung Rem debris
ITEM_20150317_002651	You can earn from Puragurunremu.
ITEM_20150317_002652	Bullion
ITEM_20150317_002653	The thing that was in the form of ingots dissolved tooth. Of course, the price is equivalent to.
ITEM_20150317_002654	Black Market tensile
ITEM_20150317_002655	White mucus
ITEM_20150317_002656	Flor
ITEM_20150317_002657	It is used to make the item.
ITEM_20150317_002658	Rough bone meal
ITEM_20150317_002659	Tendon
ITEM_20150317_002660	Curing agent
ITEM_20150317_002661	Sturdy tendon
ITEM_20150317_002662	Resinate
ITEM_20150317_002663	Horsepower retention period
ITEM_20150317_002664	Bullet of stone
ITEM_20150317_002665	It is a small stone.
ITEM_20150317_002666	Chai fur material
ITEM_20150317_002667	High likely jewelry
ITEM_20150317_002668	If selling in the store is likely to be able to sell to a higher value.
ITEM_20150317_002669	Magic engineering engine
ITEM_20150317_002670	soul suffering
ITEM_20150317_002671	You can earn from Deathweaver.
ITEM_20150317_002672	Visible BiteRegina
