QUEST_LV_0200_20150317_000001	$Philipas' Soldier
QUEST_LV_0200_20150323_005557	$Defeat the summoned monsters
QUEST_LV_0200_20150323_005558	$Gord Shaton summoned monsters that he claimed he bought at Fedimian, but the monsters were not obedient and started to attack. Defeat all summoned monsters.
QUEST_LV_0200_20150323_005559	$Gord Shaton realized something as he saw the monsters attacking him. Talk to Gord Shaton.
QUEST_LV_0200_20150323_005560	$Gord Shaton will pass his duty of managing the farm to his daughter Vanessa. Talk to Druid Martinek about it.
QUEST_LV_0200_20150323_005561	$Druid Martinek asked you to talk to Vanessa Shaton about what to do from now on. Meet Vanessa Shaton.
QUEST_LV_0200_20150323_005562	$Vanessa Shaton promised you that she will support large scale purification. Tell this to Druid Martinek.
QUEST_LV_0200_20150323_005563	$Talk to Steward Valen
QUEST_LV_0200_20150323_005564	$Steward Valen needs your help. Talk to Valen.
QUEST_LV_0200_20150323_005565	$Defeat Green Carcashu
QUEST_LV_0200_20150323_005566	{memo X}Joel is worried about the Carcashu's irregular occurences. Let's reduce the number of Carcashus and let's adjust the balance of the nature.
QUEST_LV_0200_20150323_005567	{memo X}You've defeated enough Carcashus. Let's go back to Joel.
QUEST_LV_0200_20150323_005568	$Valen needs your help. Talk to Valen.
QUEST_LV_0200_20150323_005569	$Find Valen's medicine bags
QUEST_LV_0200_20150323_005570	$Valen ordered people to purchase medicine from Klaipeda, but they were attacked by monsters and barely managed to survive. Please find the bags of the medicine on behalf of Valen.
QUEST_LV_0200_20150323_005571	$Hand it over to Steward Valen
QUEST_LV_0200_20150323_005572	$You've found all the medicine bags. Hand it over to Valen.
QUEST_LV_0200_20150323_005573	$Talk to General Buros
QUEST_LV_0200_20150323_005574	$General Buros is looking for someone who would help with his task. Talk to General Buros.
QUEST_LV_0200_20150323_005575	{memo X}Defeat Lauzinute across the underground tunnel
QUEST_LV_0200_20150323_005576	$General Buros doesn't want to go into the underground tunnel because it's too scary. Defeat the monsters on behalf of General Buros.
QUEST_LV_0200_20150323_005577	$You've defeated all the monsters. Talk to General Buros.
QUEST_LV_0200_20150323_005578	$Buros seems grim. Talk to Buros.
QUEST_LV_0200_20150323_005579	{memo X}Defeat Scorpio near the tower of Wind Vane Tower
QUEST_LV_0200_20150323_005580	{memo X}Buros told you that Scorpio appeared again because you went too crazy. Defeat Scorpio near the tower of the Wind Vane Tower.
QUEST_LV_0200_20150323_005581	{memo X}You've defeated Scorpio. Report to Buros.
QUEST_LV_0200_20150323_005582	{memo X}Talk to Oliver
QUEST_LV_0200_20150323_005583	{memo X}It seems that Oliver came to this farm to look for something. Let's listen from him what he is trying to obtain.
QUEST_LV_0200_20150323_005584	{memo X}Obtain the leaves of Biterose
QUEST_LV_0200_20150323_005585	{memo X}Oliver wants the leaves of Biterose. Let's receive the compensation after helping with the save.
QUEST_LV_0200_20150323_005586	{memo X}You've collected enough leaves so Oliver would be satisfied. Let's return to him.
QUEST_LV_0200_20150323_005587	$Talk with Farm Soldier Upham
QUEST_LV_0200_20150323_005588	$You've found Farm Soldier Upham, who is sitting down alone at the Wind Vane Tower. Ask him why he is sitting there alone.
QUEST_LV_0200_20150323_005589	$Escort Farm Soldier Upham to a safe place
QUEST_LV_0200_20150323_005590	$Upham was separated from his colleagues due to monster attack. Please take Upham to the Farm Assembly Hall where General Buros is at.
QUEST_LV_0200_20150323_005591	$You've took Upham to General Buros. Talk with General Buros.
QUEST_LV_0200_20150401_005592	$How could we know what the baron is thinking?{nl}He told us to behave well when the Revelator came, so we are just doing the work he told us to do.{nl}
QUEST_LV_0200_20150401_005593	Well, if you go see the baron yourself, you may find out.{nl}He is working on something big at Myrkiti Farm, so why don't you go meet him?
QUEST_LV_0200_20150401_005594	$I have to tie the sacks of grain, but I don't have enough rope.{nl}I am sure that the monsters nearby took them. Please get some tight rope for me.
QUEST_LV_0200_20150401_005595	$Oh, ignore what the workers around here say.{nl}They are whining.
QUEST_LV_0200_20150401_005596	Good. {nl}Now the task here is completed.
QUEST_LV_0200_20150401_005597	Hey, are you the Revelator?{nl}Then I welcome you. The baron told me to treat you well.{nl}
QUEST_LV_0200_20150401_005598	$There is a small task you can do.{nl}We don't have enough hands here. No, I am not talking about farming.{nl}
QUEST_LV_0200_20150401_005599	Something seems to be moving in the sacks.
QUEST_LV_0200_20150401_005600	$I request that you finish the rest.{nl}There are some abandoned sacks at Tvora Road. I want you to take care of them.
QUEST_LV_0200_20150401_005601	{memo X}We don't have enough workforce.{nl}Of course, the biggest reason is that the workers here are not working hard.{nl}
QUEST_LV_0200_20150401_005602	$That garbage came from other farms due to the lack of workforce.{nl}But, I don't understand why they have to be taken care of here.
QUEST_LV_0200_20150401_005603	$You can bury them under the ground or push them off from the cliff.{nl}I've been doing that 'til now.
QUEST_LV_0200_20150401_005604	$Why are you back again?{nl}Did you see something that you shouldn't have seen?
QUEST_LV_0200_20150401_005605	Save me!{nl}Please, save me..
QUEST_LV_0200_20150401_005606	I feel light headed. Please get me something to eat..{nl}I hid some food in the bushes a long time ago while I was working.
QUEST_LV_0200_20150401_005607	I am not sure. I was working like I usually do, and then I went upstairs.. {nl}Something strange.. It became dark..{nl}
QUEST_LV_0200_20150401_005608	I don't know what happened.
QUEST_LV_0200_20150401_005609	What happened to all the people who were with me..{nl}Just what the hell happened..
QUEST_LV_0200_20150401_005610	$Thank you. {nl}I should recover some energy after consuming this..
QUEST_LV_0200_20150401_005611	$Soldier Stepas
QUEST_LV_0200_20150401_005612	$Are you the supporting workforce? No? {nl}We don't have enough workforce so I want to ask someone to help us.{nl}
QUEST_LV_0200_20150401_005613	$I need to distribute a nutritious tonic that the baron gave to me.{nl}But, since this is undiluted, I should mix something into it.
QUEST_LV_0200_20150401_005614	{memo X}The relationship between the farmer and the private soldier is always the same.{nl}One side works and the other side manages it.{nl}
QUEST_LV_0200_20150401_005615	$Plus, it's the baron's orders,{nl}Even if he wants to share more, he can't. That's why I think their relationship is sour.{nl}
QUEST_LV_0200_20150401_005616	$What we need is venom from the Scorpio. {nl}The Scorpio is nocturnal, so it must be sleeping at Soil of Arable.{nl}Wake it up and extract the venom out from it. Sounds easy, right?
QUEST_LV_0200_20150401_005617	$Approach it carefully..{nl}If you attack too fast, it won't be effective.
QUEST_LV_0200_20150401_005618	All done. {nl}Now, I will share this with the workers.{nl}
QUEST_LV_0200_20150401_005619	$Especially Dalius over there. He seems to always be exhausted these days.{nl}He's not doing his work and he looks exhausted.{nl}{nl}
QUEST_LV_0200_20150401_005620	I will take one sweet herb leaf on my way.{nl}That medicine, it's disgusting to consume it.
QUEST_LV_0200_20150401_005621	$The Scorpio Venom.{nl}Can humans consume it?
QUEST_LV_0200_20150401_005622	Who are you? {nl}Stepas sent you?
QUEST_LV_0200_20150401_005623	$Nutritious tonic? He told you to give it to me? {nl}Hmm, that's unexpected.
QUEST_LV_0200_20150401_005624	{memo X}$The poison of Scorpio was somewhat strange.{nl}Damn. It's already in effect. I won't mind it, if it doesn't threaten my life.
QUEST_LV_0200_20150401_005625	$I have a headache. What's happening?{nl}I have a stomach ache too.. I am an idiot to consume it right away what that man gave me.
QUEST_LV_0200_20150401_005626	$Is he really going to be okay?
QUEST_LV_0200_20150401_005627	$I should bring lunch to my brother who is working at Shlake Trail.{nl}Whenever I try to cross the bridge though, the bread gets spoiled.
QUEST_LV_0200_20150401_005628	I swear I'm not lying.{nl}Can you take it there for me?
QUEST_LV_0200_20150401_005629	$Come back if it gets spoiled.{nl}But I only have two remaining breads so be careful.
QUEST_LV_0200_20150401_005630	$Did my brother ask you to give this to me?{nl}I am tired and I don't know why these kind of things keep occurring. Thank you, I appreciate this.
QUEST_LV_0200_20150401_005631	Is it okay now?{nl}Okay then hand it over to Dalius.
QUEST_LV_0200_20150401_005632	Are you scared?
QUEST_LV_0200_20150401_005633	Strange. Isn't it? How come the food gets spoiled whenever I cross there.{nl}Is it because of the smoke there?{nl}
QUEST_LV_0200_20150401_005634	How would I know about it. {nl}If you are going back to my brother, please get rid of those strange things. I'm too scared to do it myself.
QUEST_LV_0200_20150401_005635	If they really are getting spoiled due to the smoke, I wonder what it is..{nl}It's can't be good for your health, right?
QUEST_LV_0200_20150401_005636	$I actually suspected those round things were the ones making the smoke.{nl}But they always said it was created by the baron, and that how could a harvester like me know anything.
QUEST_LV_0200_20150401_005637	$So did the smoke go away?{nl}That's the first time I saw such a thing.
QUEST_LV_0200_20150401_005638	{memo X}Hello. I am the secretary of Baron Allerno, who is the owner of this place.{nl}There are some things that the baron told me to do, but it's not working well.{nl}I am somewhat tired also.. whenever I come out to the land, I get tired and my body doesn't seem good.{nl}Please help me a bit.
QUEST_LV_0200_20150401_005639	{memo X}Rimas said the crops here not growing well due to the strange energy in this place.{nl}But, since there is no strange energy and the crops are growing well..{nl}Thanks for checking it.
QUEST_LV_0200_20150401_005640	{memo X}Anyways, I received the report that the strange energy was definitely at the place you took a look at while ago.{nl}I will give the doll and some woods, use them to burn the doll.{nl}You will be prepared for some strange energy that may appear.
QUEST_LV_0200_20150401_005641	{memo X}What? The crops died after doing what you were told to do?{nl}Was the curse of the doll little strong?
QUEST_LV_0200_20150401_005643	{memo X}Are you the Revelator? {nl}I don't care about that, I am a bit busy right now so could you help my task?
QUEST_LV_0200_20150401_005644	{memo X}There are some magic circles around here that we put after receiving the order of Baron Allerno.{nl}The magic circle blocks the strange energy in this region and supplies the magical power onto this generator.{nl}But, since the power of the magic circle is weak, we need to enhance it.
QUEST_LV_0200_20150401_005645	{memo X}{nl}The true Revelator would find the way to enhance the magic circle just by looking at it.{nl}Take the bottles since you may need them.
QUEST_LV_0200_20150401_005646	{memo X}The power generator works by using the grains that are piled up at the storage over there.{nl}That's why I needed them a lot.
QUEST_LV_0200_20150401_005647	{memo X}{nl}The tenants are cooperating with us without any resistance.{nl}.. Anyways, I am worried since that storage gets attacked by the monsters frequently these days.{nl}I guess that's not strange since we piled up the grains like that.
QUEST_LV_0200_20150401_005648	{memo X}I can only say it's the power generator that helps the important gate which connects the two places to be stayed open.
QUEST_LV_0200_20150401_005650	{memo X}What is that? Is that the head part of the sculpture? Give it to me. I got something to check.
QUEST_LV_0200_20150401_005651	{memo X}This is the upper body part of the sculpture. Give it to me.
QUEST_LV_0200_20150401_005652	{memo X}That's the lower body part of the sculpture..?{n}Give it to me
QUEST_LV_0200_20150401_005653	{memo X}They are the wings of the sculpture.. Can you give them to me?
QUEST_LV_0200_20150401_005654	$Thank you for saving me.{nl}I am going to return now.
QUEST_LV_0200_20150401_005655	$No matter how many times you ask, there are not many things I can tell you. {nl}But, where did the villagers go? I don't see any familiar faces..
QUEST_LV_0200_20150401_005656	$What? A person came out from the sack? What the hell?{nl}I really don't know anything. How could I know anything? I came from a different farm.{nl}
QUEST_LV_0200_20150401_005657	$You've done a good job.{nl}I will report separately, so just go on your way.
QUEST_LV_0200_20150401_005658	This land is too infertile and the monsters have taken all the seeds.{nl}Can you find the seeds that the monsters took?
QUEST_LV_0200_20150401_005659	$You haven't gotten enough of the seeds back yet.{nl}I am sorry, but can you get me some more?
QUEST_LV_0200_20150401_005660	$I put them well in small bags.{nl}I think the monsters who took them ran away to Tvora Road.
QUEST_LV_0200_20150401_005661	If I ask the baron to give me seeds again, he may hit me. {nl}The soldiers can't say anything to the baron either.
QUEST_LV_0200_20150401_005662	$Oh, yes. This is it.{nl}However, this isn't all that was taken unfortunately.
QUEST_LV_0200_20150401_005663	Now we have enough seeds. {nl}Thank you so much.
QUEST_LV_0200_20150401_005664	{memo X}Where did Manticen hide?{nl}It's about the time that I should feed him.
QUEST_LV_0200_20150401_005665	{memo X}{nl}Hmm? Are you new here?{nl}Then you should help my task.{nl}Please find the Manticen who ran away with the food.{nl}He may be near the brewery. I will search that side.
QUEST_LV_0200_20150401_005666	{memo X}I am doing many tasks that the baron told me to do.{nl}Well.. something like feeding..
QUEST_LV_0200_20150401_005667	{memo X}If you find it, throw this meat to lure it.
QUEST_LV_0200_20150401_005668	{memo X}Hmm? You defeated it since it was trying eat humans?{nl}Ah.. okay..{nl}Okay. I will report to the baron.
QUEST_LV_0200_20150401_005669	{memo X}Somehow, I came up front.{nl}It's embarassing.{nl}I am just a tennant here.
QUEST_LV_0200_20150401_005670	{memo X}We can make lots of weapons with the leather and the stonese.{nl}Right now, we don't have enough leather.
QUEST_LV_0200_20150401_005671	{memo X}The monsters are perfect to get the materials.{nl}You can also get the leathers from the monsters.
QUEST_LV_0200_20150401_005672	{memo X}Now we should collect some poison.{nl}It will be used diversely.
QUEST_LV_0200_20150401_005673	{memo X}{nl}My grandmother taught me this method.{nl}It is the method to obtain some specific substancees from the things nearby.
QUEST_LV_0200_20150401_005674	{memo X}The farming tools are used to crave the land so they can be also used as weapons.{nl}But, we definitely need the cooperation from the tenant famers..
QUEST_LV_0200_20150401_005675	{memo X}Please extract some Nioles from there.{nl}Niole is a thankful flower.{nl}You can make soups with the grains and they can also be used as herbs.
QUEST_LV_0200_20150401_005676	{memo X}The problem is that the food storage often gets attacked by the monsters.{nl}I have a colleague who is protecting there, but it's always dangerous.{nl}Could you help me a bit?
QUEST_LV_0200_20150401_005677	{memo X}The food storage is at Vinoga Brewery.
QUEST_LV_0200_20150401_005678	I am counting on your help with the storage.
QUEST_LV_0200_20150401_005679	{memo X}I am working for that day.
QUEST_LV_0200_20150401_005680	{memo X}You've defeated all the monsters that were attacking the storage!{nl}Thanks.{nl}As we were about to attack, the storage keeper hid well since you helped.{nl}I should tell him to protect the storage well.
QUEST_LV_0200_20150401_005681	{memo X}Are you the Revelator?{nl}I often hear your stories even when I am in this kind of rural area.{nl}I am removing the magic circles that are stuck in the tenants' farm.
QUEST_LV_0200_20150401_005682	{memo X}{nl}We are doing this kind of tasks to help Horacius.{nl}Of course, I am doing the tasks for me as well.
QUEST_LV_0200_20150401_005683	{memo X}I've doing this job til now..{nl}Now, we have about 3 left.
QUEST_LV_0200_20150401_005684	{memo X}The seal magic circle that was discovered in the fallow ground.. We should eliminate them.{nl}I can't break them since they have protective barrier.{nl}I will give you the stone of the blessing so try to break it by throwing this.{nl}
QUEST_LV_0200_20150401_005685	{memo X}There's a magic circle at the entrance of Tarvas.{nl}You should break that first.{nl}But the monsters always disturb it..
QUEST_LV_0200_20150401_005686	{memo X}Now we are almost done!{nl}Thank you so much!
QUEST_LV_0200_20150401_005687	{memo X}It seems that the pieces that he gave to me belong to the statue of the Goddess.{nl}This must be.. the trace of those barons manipulating something on this ground and breaking it afterwards.{nl}You who collected these..
QUEST_LV_0200_20150401_005688	{memo X}I am collecting the traces here.{nl}I can't tell you in details, but I am preparing for something big.{nl}To do that, I need to persuade the tenant farmers.{nl}So I am collecting those.
QUEST_LV_0200_20150401_005689	{memo X}There's a magic circle before you reach Ramus Intersection.{nl}And the smoke is coming up from the ground.{nl}That's called the strange energy.
QUEST_LV_0200_20150401_005691	{memo X}Monsters fall into the eternal sleep.. dying..{nl}The monsters die due to the energy that is coming out from there..{nl}The monsters are tiresome and vicious.
QUEST_LV_0200_20150401_005692	{memo X}{nl}The monsters fall into the eternal sleep due to that energy, that proves that the energy is not bad.
QUEST_LV_0200_20150401_005693	{memo X}The amount of the crops after harvesting reduced a lot from some point of time in the past.{nl}Even if we care a lot, the crops wither easily.{nl}I think it may be due to the magic circle that the barons created on this land.{nl}Could you help me out?
QUEST_LV_0200_20150401_005694	{memo X}{nl}That's why the amount of the crops was reduced.{nl}I am trying to find the reason for it.
QUEST_LV_0200_20150401_005695	{memo X}This magic circle has some kind of protective barrier so it's not easy to break it.{nl}So I am trying to light it up.{nl}To break the shield, I should maintain the flame.
QUEST_LV_0200_20150401_005696	{memo X}{nl}Should we kill those orange Dandells and throw kindlings on them?{nl}Try it.
QUEST_LV_0200_20150401_005697	{memo X}The barons are pludering a lot these days and the magic circles like that have been created a lot across this region. Some of them are less shiny.{nl}Anyways, you get hurt from the ones that shine more so it's hard to eliminate them.
QUEST_LV_0200_20150401_005698	{memo X}You came at the right time. I connected the pieces with some sticky stuff.{nl}.. As I expected. This is the statue of the Goddess.{nl}I could only glue them like this with my skill.. It will break again if I don't do it well.{nl}I am sorry that I just glued them like this..
QUEST_LV_0200_20150401_005699	{memo X}{nl}Hey, take it.
QUEST_LV_0200_20150401_005700	{memo X}Oh really?{nl}Very well done!{nl}Too bad about the statue.. but the Goddesses would forgive this.
QUEST_LV_0200_20150401_005701	{memo X}There's a uncompleted seal magic circle down there.{nl}The seal is not complete yet so the strange energy is coming out from it, but the problem is that it doesn't look like that.
QUEST_LV_0200_20150401_005702	{memo X}{nl}It is suspicious.{nl}I have to connect these pieces, so can you find out more about the energy?
QUEST_LV_0200_20150401_005703	{memo X}To accomplish a big task..{nl}You should first collect the clues.{nl}You can only persuade the tenant farmers with them.
QUEST_LV_0200_20150401_005704	{memo X}The crops aren't growing.. There aren't anything to eat..
QUEST_LV_0200_20150401_005705	{memo X}The enhancement of the magic circle and the magical power supply are closely related to each other.
QUEST_LV_0200_20150401_005706	{memo X}We are keep going to do the task to find ours and let the truth spreads.{nl}But, your task will end here.{nl}You can go on your way.{nl}I really thank you for helping us this far.
QUEST_LV_0200_20150401_005707	{memo X}Revelator.{nl}We are now ready.{nl}Now, we are going to do our work.
QUEST_LV_0200_20150401_005708	$Well then, I will be inside your little pocket now.{nl}Don't forget. Trust no one.
QUEST_LV_0200_20150401_005709	{memo X}The Goddess wants you to eliminate all demons in the prison.{nl}The demons became unforgivable creatures after Medzio Diena.
QUEST_LV_0200_20150401_005710	{memo X}But, since the demons are coming through the space of the metastasis, it's not going to be easy.{nl}You should resist the demons that are trying to free the Demon Lord, Blut.
QUEST_LV_0200_20150401_005711	{memo X}This place is not the world of humans or the demons' world, but it is another isolated place.{nl}We've locked the demons in this prison that are not helpful in this world.{nl}
QUEST_LV_0200_20150401_005712	It was like that before Medzio Diena, but the circumstances have changed a lot.{nl}We now have reasons to destroy the demons. They caused Medzio Diena.{nl}
QUEST_LV_0200_20150401_005713	{memo X}But, it's not easy since the space of metastasis is keep enlarging.{nl}The demons are keep coming through the space of the metastasis.
QUEST_LV_0200_20150401_005714	{memo X}Lots of demons are gathering at Rituala to paricipate the ritual to free Blut.{nl}Please first defeat them.
QUEST_LV_0200_20150401_005715	{memo X}The subordinates of the Demon Lord, Blut are trying to escape from here by breaking the power of the barrier.{nl}}Hauberk's help will be useful this time.
QUEST_LV_0200_20150401_005716	$Well done. You have prevented the worst case scenario.{nl}Now it is time to stem Demon Lord Blut's power.
QUEST_LV_0200_20150401_005717	$At last, I meet the one whom my spirit has been looking for.{nl}I am the Demon Lord Hauberk. I have a proposal for you.{nl}
QUEST_LV_0200_20150401_005718	$Please help me to get back a part of my spirit.{nl}In return I will tell you the location of Vakarine, the Goddess of the Night Star..{nl}This should be an interesting proposal for you.
QUEST_LV_0200_20150401_005719	$Alright. The deal is established.{nl}Do not worry. I won't hurt you.
QUEST_LV_0200_20150401_005720	$Strange.{nl}Unlike other humans, I can't possess your body.{nl}
QUEST_LV_0200_20150401_005721	$I do not have any other choice then. Take my seal fragment and go in there.{nl}I will guide you from there.
QUEST_LV_0200_20150401_005722	{memo X}Now, Zydrone is holding Blut.{nl}But, I don't know how much we can endure by ourselves.{nl}
QUEST_LV_0200_20150401_005723	{memo X}We should somehow reduce the influence of the Demon Lord, Blut.{nl}Please take the secreting gland of Blut away from Blut's allies at Byeaulleo Hideout.
QUEST_LV_0200_20150401_005724	$He was the head of the demons that are locked in this district.{nl}They were trying to control this prison somehow and looking for chances to escape from here.{nl}
QUEST_LV_0200_20150401_005725	{memo X}Actually, Blut told the others proudly that Hauberk turned out like that because of him.{nl}There were followers to the demons that were increasing their influence and Hauberk was leading all that.{nl}
QUEST_LV_0200_20150401_005726	{memo X}Blut thought that Hauberk was being presumptuous so he told about it to Giltine.{nl}That's why he got ripped off by Helgasercle.
QUEST_LV_0200_20150401_005727	Vakarine and the other Kupoles are also having hard time.{nl}Let's finish our task here fast and go to a different district to help.
QUEST_LV_0200_20150401_005728	$This will be a great help to Zydrone.{nl}I will eliminate these. Blut should feel like he's lost his senses right now.
QUEST_LV_0200_20150401_005729	$To defeat the Demon Lord Blut completely, our power is not enough.{nl}I didn't want to do this before, but let's try getting some help from Hauberk.{nl}
QUEST_LV_0200_20150401_005730	$There's something which Blut stored his power in at the altar at the Concentrated Management Area.{nl}Only demons can control it, but we have Hauberk.
QUEST_LV_0200_20150401_005731	$After Hauberk absorbs that power, please go help Zydrone right away.{nl}To Nuzikalti Hall. Hurry. We don't have much time.
QUEST_LV_0200_20150401_005732	We are the attendants who are serving the goddesses.{nl}Our work differs depending on which goddess we serve.
QUEST_LV_0200_20150401_005733	{memo X}Our original task was to manage and supervise the prison.{nl}Now, with Vakarine's control, our task is to close the space of the metastasis and defeat the demons.
QUEST_LV_0200_20150401_005734	The power of the demons reject the power of the goddesses.{nl}This role completely depends on Hauberk.
QUEST_LV_0200_20150401_005735	{memo X}So you are the one who Vakarine mentioned.{nl}Good. The Goddess will lead the everything.
QUEST_LV_0200_20150401_005736	{memo X}I've locked Blut in the barrier of the prison, but he won't endure there for long time.{nl}We should attack all at once. Are you ready?
QUEST_LV_0200_20150401_005737	{memo X}If we weren't able to defeat Blut here, Vakarine may have fallen down together.{nl}Hurry to the 2nd District. Medeina is waiting there.
QUEST_LV_0200_20150401_005738	{memo X}Damn. The demons that lost their leader, Blut is trying to escape to the outer world.{nl}If they succeed on breaking the weak part of the barrier, a catastrophe would result.
QUEST_LV_0200_20150401_005739	{memo X}The area where the influence of the Goddesses could reach is getting smaller.{nl}We should somehow help out the Goddesses..
QUEST_LV_0200_20150401_005740	{memo X}Well done.{nl}If the demons come out to the outer world, a catastrophe would result.
QUEST_LV_0200_20150401_005741	{memo X}The human expedition team actually came here.{nl}But, unfortunately, they all died.{nl}
QUEST_LV_0200_20150401_005742	{memo X}I want to calm their spirits by finding their belongings.{nl}But, it's not easy since the demons are carrying them like their booties.
QUEST_LV_0200_20150401_005743	{memo X}Humans should not come here.
QUEST_LV_0200_20150401_005744	Thank you. {nl}I hope there are no more sacrifices like this..
QUEST_LV_0200_20150401_005745	Kupole Medeina
QUEST_LV_0200_20150401_005746	{memo X}We are in a trouble.{nl}The barrier of the Goddess is breaking due to the mighty power of the Demon Lord, Nuaele.{nl}
QUEST_LV_0200_20150401_005747	{memo X}Aldona went to face against Nuaele since he wants to resist some more.{nl}If you could reduce the mighty power of Nualele a bit.. It will help Aldona a lot!
QUEST_LV_0200_20150401_005748	The barrier of the goddess is like a great wall surrounding this prison.{nl}It will block the demons coming into the prison or escaping from here.{nl}
QUEST_LV_0200_20150401_005749	The dimensional crack started was created on the barrier due to Medzio Diena.{nl}Vakarine is having hard time since she should maintain the barrier and face the demons at the same time.
QUEST_LV_0200_20150401_005750	{memo X}Please hurry to the 1st District before the demons meet Nuaele. {nl}I want you to eliminate them.
QUEST_LV_0200_20150401_005751	{memo X}Goddesses.{nl}Please protect Aldona..
QUEST_LV_0200_20150401_005752	{memo X}Well done.{nl}Since you've defeated many demons and their power will be reduce a lot.
QUEST_LV_0200_20150401_005753	{memo X}Nuaele is luring his subordinates and spreading his influence with the pieces of the seal of Hauberk.{nl}Hauberk should feel something.{nl}
QUEST_LV_0200_20150401_005754	{memo X}There are more methods to increase the power of Hauberk using that.{nl}Hauberk would also want that.
QUEST_LV_0200_20150401_005755	Nuaele was in fact not that strong of a Demon Lord.{nl}But, after obtaining the seal piece of Hauberk, he spread his influence at a astonishingly fast pace.{nl}
QUEST_LV_0200_20150401_005756	{memo X}After losing his master, Hauberk's subordinates started to follow him who has the piece of the seal.{nl}They are like betrayers to Hauberk.
QUEST_LV_0200_20150401_005757	{memo X}Hauberk is retriving his manes that he gave to his subordinates as a symbol of their faithfulness.{nl}Now, go to the 2nd isolated area. They must be gathered there.
QUEST_LV_0200_20150401_005758	{memo X}The subordinates of Hauberk are still following Nuaele as if he is Hauberk.{nl}But, if Hauberk retrieves his manes, they will know who is their true master.{nl}
QUEST_LV_0200_20150401_005759	{memo X}Now, the Demon Lord, Nuaele would know it.{nl}In order to escapse from this prison, he should not only rely on his subordinates.{nl}But, its too late now.
QUEST_LV_0200_20150401_005760	{memo X}By the way, Nuaele's behavior is somewhat strange.{nl}In fact, with the power that he accumulated secretly for a long time, he may just break the barrier and go out.{nl}
QUEST_LV_0200_20150401_005761	{memo X}But, for us, we are waiting for someone that we don't know. {nl}I guess we should interrogate the subordinates of Nuaele.
QUEST_LV_0200_20150401_005762	{memo X}I will give you the marbles that I received from the Goddess.{nl}We, Kupoles can't do it, but since Hauberk is a demon, he would be able to read our mind.
QUEST_LV_0200_20150401_005763	When the power of the goddesses get weak, the mighty power of us, Kupoles also get weak.{nl}Furthermore, trying to disturb the minds of the demons, it's impossible.
QUEST_LV_0200_20150401_005764	{memo X}He was thinking about changing the prison into his demonic world from the first place.{nl}If this place falls under the hands of him, even Ausrine can't do anything.
QUEST_LV_0200_20150401_005765	$Since we've found out Nuaele's intention, we should be moving fast.{nl}
QUEST_LV_0200_20150401_005766	{memo X}How about we first attack * monster at the 4th isolated area?{nl}If we could defeat it, it's like we are defeating one of the strongest weapons of Nuaele.
QUEST_LV_0200_20150401_005767	$Hauberk was once the strongest Demon Lord who led the largest army.{nl}After he was sealed, I thought no one as strong as him would appear again.{nl}
QUEST_LV_0200_20150401_005768	$However, Nuaele is imitating Hauberk as if she is the original with the fragment of his seal.{nl}He became the strongest Demon Lord at least in this district.
QUEST_LV_0200_20150401_005769	$You now see the end of someone who tried to use another's power instead of using his own.
QUEST_LV_0200_20150401_005770	{memo X}He was in fact the subordinate of Hauberk. Hauberk won't need him anymore.{nl}After Hauberk was sealed, he ran to Nuaele and handed over the seal piece to him.
QUEST_LV_0200_20150401_005771	{memo X}Nuaele is disappeared, but his ramnents are gathering at the 1st isolated area.{nl}They are going to continue his mission. Get rid of those demons.
QUEST_LV_0200_20150401_005772	You have to be more careful.{nl}Hauberk and Nuaele became symbolic figures to the demons.
QUEST_LV_0200_20150401_005773	$Many demons came here through the dimensional crack to support the Demon Lord here.{nl}It will be the same in other places as well. Thanks to you we now have peace.
QUEST_LV_0200_20150401_005775	{memo X}If it continues like this, the demons will stand up again.{nl}Help us so that the demons that are locked in the prison do not look down on us.
QUEST_LV_0200_20150401_005776	{memo X}The demons look down on us.{nl}It will take a long time before the rules here get established here.
QUEST_LV_0200_20150401_005777	{memo X}I will pass these necklaces to the sisters myself.{nl}May the Goddesses protect you.
QUEST_LV_0200_20150401_005778	{memo X}Nuaele is having the ritual ceremony to summon the demons in his district.{nl}But, all of his arms are legs are disconnected so its going to be easy to defeat him.{nl}
QUEST_LV_0200_20150401_005779	{memo X}Meet Aldona. {nl}He would take you to the area of Nuaele.
QUEST_LV_0200_20150401_005780	Without Aldona's help, you will never enter the area of where Nuaele resides.{nl}You should seek for guidance from Aldona.
QUEST_LV_0200_20150401_005781	{memo X}Nuaele's behavior was something that can't be accepted.{nl}If he stayed quietly, he would have been forgiven.{nl}
QUEST_LV_0200_20150401_005782	{memo X}Let's go to 3rd District.{nl}Vakarine is waiting for your help.
QUEST_LV_0200_20150401_005783	{memo X}Hauberk and the savior.{nl}With help from you, I can now punish the Demon Lord, Baltrus.{nl}But the threat of the space of the metastasis still exists.{nl}
QUEST_LV_0200_20150401_005784	{memo X}My poor Dionysus..{nl}I will remove the strong power that is controlling her and close the space of the metastasis.{nl}
QUEST_LV_0200_20150401_005785	{memo X}Complete the key of night star by helping Zydrone.{nl}With that key, you will be able to remove the power from Dionysus.
QUEST_LV_0200_20150401_005786	{memo X}The strong power that we tried to protect from Baltrus is controlling the ego of Dionysus.{nl}Fortunately, that power can be detached and be put in the key of the night star.{nl}
