SKILL_20150317_000001	공격
SKILL_20150317_002880	메테오: 강화_
SKILL_20150317_002881	{memo X}[메테오] 대미지가 엘레멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150317_002882	메테오: 강화 2
SKILL_20150317_002883	{memo X}[메테오] 대미지가 엘레멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150317_002884	홍염: 강화
SKILL_20150317_002885	{memo X}특성 레벨당 [홍염] 대미지가 상승합니다.
SKILL_20150317_002886	홍염: 강화 2
SKILL_20150317_002887	{memo X}[홍염] 대미지가 엘레멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150317_002888	홍염: 강화 3
SKILL_20150317_002889	{memo X}[홍염] 대미지가 엘레멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150317_002890	헤일: 강화
SKILL_20150317_002891	{memo X}특성 레벨당 [헤일] 대미지가 상승합니다.
SKILL_20150317_002892	헤일: 강화 2
SKILL_20150317_002893	{memo X}[헤일] 대미지가 엘레멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150317_002894	헤일: 강화 3
SKILL_20150317_002895	{memo X}[헤일] 대미지가 엘레멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150317_002896	일렉트로큐트: 강화
SKILL_20150317_002897	{memo X}특성 레벨당 [일렉트로큐트] 대미지가 상승합니다.
SKILL_20150317_002898	일렉트로큐트: 강화 2
SKILL_20150317_002899	{memo X}[일렉트로큐트] 대미지가 엘레멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150317_002900	일렉트로큐트: 강화 3
SKILL_20150317_002901	{memo X}[일렉트로큐트] 대미지가 엘레멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150317_002902	오른팔 강화: 강화
SKILL_20150317_002903	{memo X}특성 레벨당 [오른팔 강화] 공격력 강화 효과가 상승합니다.
SKILL_20150317_002904	{memo X}오른팔 강화: 강화 2
SKILL_20150317_002905	{memo X}[오른팔 강화] 공격력 증가 효과가 쏘마터지 2서클 수준으로 강화됩니다.
SKILL_20150317_002906	{memo X}오른팔 강화: 강화 3
SKILL_20150317_002907	{memo X}[오른팔 강화] 공격력 증가 효과가 쏘마터지 3서클 수준으로 강화됩니다.
SKILL_20150317_002908	화살비: 대미지
SKILL_20150317_002909	특성 레벨당 [화살비] 대미지가 상승합니다.
SKILL_20150317_002910	화살비: 대미지 3서클화
SKILL_20150317_002911	[화살비] 대미지가 레인저 3서클 수준으로 강화됩니다.
SKILL_20150317_002912	크리티컬 샷: 강화
SKILL_20150317_002913	{memo X}특성 레벨당 [크리티컬 샷] 대미지가 상승합니다.
SKILL_20150317_002914	크리티컬 샷: 강화 2
SKILL_20150317_002915	[크리티컬 샷] 대미지가 레인저 2서클 수준으로 강화됩니다.
SKILL_20150317_002916	크리티컬 샷: 강화 3
SKILL_20150317_002917	[크리티컬 샷] 대미지가 레인저 3서클 수준으로 강화됩니다.
SKILL_20150317_002918	타임봄 애로우: 강화
SKILL_20150317_002919	{memo X}특성 레벨당 [타임봄 애로우] 대미지가 상승합니다.
SKILL_20150317_002920	타임봄 애로우: 강화 2
SKILL_20150317_002921	[타임봄 애로우] 대미지가 레인저 3서클 수준으로 강화됩니다.
SKILL_20150317_002922	발리스타: 대미지
SKILL_20150317_002923	특성 레벨당 [발리스타] 대미지가 상승합니다.
SKILL_20150317_002924	발리스타: 대미지 2서클화
SKILL_20150317_002925	[발리스타] 대미지가 새퍼 2서클 수준으로 강화됩니다.
SKILL_20150317_002926	발리스타: 대미지 3서클화
SKILL_20150317_002927	[발리스타] 대미지가 새퍼 3서클 수준으로 강화됩니다.
SKILL_20150317_002928	취시: 강화
SKILL_20150317_002929	{memo X}특성 레벨당 [취시] 대미지가 상승합니다.
SKILL_20150317_002930	취시: 강화 2
SKILL_20150317_002931	[취시] 대미지가 무고사 2서클 수준으로 강화됩니다.
SKILL_20150317_002932	취시: 강화 3
SKILL_20150317_002933	[취시] 대미지가 무고사 3서클 수준으로 강화됩니다.
SKILL_20150317_002934	오공고: 강화
SKILL_20150317_002935	{memo X}특성 레벨당 [오공고] 대미지가 상승합니다.
SKILL_20150317_002936	오공고: 강화 2
SKILL_20150317_002937	[오공고] 대미지가 무고사 2서클 수준으로 강화됩니다.
SKILL_20150317_002938	오공고: 강화 3
SKILL_20150317_002939	[오공고] 대미지가 무고사 3서클 수준으로 강화됩니다.
SKILL_20150317_002940	독항아리: 강화
SKILL_20150317_002941	{memo X}특성 레벨당 [독항아리] 대미지가 상승합니다.
SKILL_20150317_002942	독항아리: 강화_
SKILL_20150317_002943	[독항아리] 대미지가 무고사 2서클 수준으로 강화됩니다.
SKILL_20150317_002944	독항아리: 강화 2
SKILL_20150317_002945	[독항아리] 대미지가 무고사 3서클 수준으로 강화됩니다.
SKILL_20150317_002946	플루플루: 강화
SKILL_20150317_002947	{memo X}특성 레벨당 [플루플루] 대미지가 상승합니다.
SKILL_20150317_002948	플루플루: 강화 2
SKILL_20150317_002949	[플루플루] 대미지가 스카우트 2서클 수준으로 강화됩니다.
SKILL_20150317_002950	플루플루: 강화 3
SKILL_20150317_002951	[플루플루] 대미지가 스카우트 3서클 수준으로 강화됩니다.
SKILL_20150317_002952	플레어 샷: 강화
SKILL_20150317_002953	{memo X}특성 레벨당 [플레어 샷] 대미지가 상승합니다.
SKILL_20150317_002954	플레어 샷: 강화 2
SKILL_20150317_002955	[플레어 샷] 대미지가 스카우트 2서클 수준으로 강화됩니다.
SKILL_20150317_002956	브와카이망: 강화
SKILL_20150317_002957	{memo X}특성 레벨당 [브와카이망] 대미지가 상승합니다.
SKILL_20150317_002958	브와카이망: 강화_
SKILL_20150317_002959	[브와카이망] 대미지가 보코르 2서클 수준으로 강화됩니다.
SKILL_20150317_002960	브와카이망: 강화 2
SKILL_20150317_002961	[브와카이망] 대미지가 보코르 3서클 수준으로 강화됩니다.
SKILL_20150317_002962	유체 폭발: 강화
SKILL_20150317_002963	{memo X}특성 레벨당 [유체 폭발] 대미지가 상승합니다.
SKILL_20150317_002964	포제션: 강화
SKILL_20150317_002965	{memo X}특성 레벨당 [포제션] 대미지가 상승합니다.
SKILL_20150317_002966	포제션: 강화 2
SKILL_20150317_002967	[포제션] 대미지가 사두 3서클 수준으로 강화됩니다.
SKILL_20150317_002968	유체 기본 공격: 강화
SKILL_20150317_002969	{memo X}특성 레벨당 유체 상태에서의 기본 공격 대미지가 상승합니다.
SKILL_20150317_002970	영체 공격: 대미지 2서클화
SKILL_20150317_002971	[영체 공격] 대미지가 사두 2서클 수준으로 강화됩니다.
SKILL_20150317_002972	영체 공격: 대미지 3서클화
SKILL_20150317_002973	[영체 공격] 대미지가 사두 3서클 수준으로 강화됩니다.
SKILL_20150317_002974	리스토레이션: 강화
SKILL_20150317_002975	{memo X}특성 레벨당 [리스토레이션]의 HP 회복력 증가 효과가 상승합니다.
SKILL_20150317_002976	리스토레이션: 강화 2
SKILL_20150317_002977	[리스토레이션]의 HP 회복력 증가 효과가 팔라딘 2서클 수준으로 강화됩니다.
SKILL_20150317_002978	리스토레이션: 강화 3
SKILL_20150317_002979	[리스토레이션]의 HP 회복력 증가 효과가 팔라딘 3서클 수준으로 강화됩니다.
SKILL_20150317_002980	스마이트: 강화
SKILL_20150317_002981	{memo X}특성 레벨당 [스마이트] 대미지가 상승합니다.
SKILL_20150317_002982	스마이트: 강화 2
SKILL_20150317_002983	[스마이트] 대미지가 팔라딘 2서클 수준으로 강화됩니다.
SKILL_20150317_002984	스마이트: 강화 3
SKILL_20150317_002985	[스마이트] 대미지가 팔라딘 3서클 수준으로 강화됩니다.
SKILL_20150317_002986	임바우얼: 강화
SKILL_20150317_002987	{memo X}특성 레벨당 [임바우얼] 대미지가 상승합니다.
SKILL_20150317_002988	임바우얼: 강화 2
SKILL_20150317_002989	[임바우얼] 대미지가 바바리안 2서클 수준으로 강화됩니다.
SKILL_20150317_002990	임바우얼: 강화 3
SKILL_20150317_002991	[임바우얼] 대미지가 바바리안 3서클 수준으로 강화됩니다.
SKILL_20150317_002992	스톰핑 킥: 강화
SKILL_20150317_002993	{memo X}특성 레벨당 [스톰핑 킥] 대미지가 상승합니다.
SKILL_20150317_002994	어스 웨이브: 강화
SKILL_20150317_002995	{memo X}특성 레벨당 [어스 웨이브] 대미지가 상승합니다.
SKILL_20150317_002996	어스 웨이브: 강화 2
SKILL_20150317_002997	[어스 웨이브] 대미지가 캐터프렉트 2서클 수준으로 강화됩니다.
SKILL_20150317_002998	어스 웨이브: 강화 3
SKILL_20150317_002999	[어스 웨이브] 대미지가 캐터프렉트 3서클 수준으로 강화됩니다.
SKILL_20150317_003000	스티드 챠지: 강화
SKILL_20150317_003001	{memo X}특성 레벨당 [스티드 챠지] 대미지가 상승합니다.
SKILL_20150317_003002	스티드 챠지: 강화 2
SKILL_20150317_003003	[스티드 챠지] 대미지가 캐터프렉트 2서클 수준으로 강화됩니다.
SKILL_20150317_003004	스티드 챠지: 강화 3
SKILL_20150317_003005	[스티드 챠지] 대미지가 캐터프렉트 3서클 수준으로 강화됩니다.
SKILL_20150317_003006	둠 스파이크: 강화
SKILL_20150317_003007	{memo X}특성 레벨당 [둠 스파이크] 대미지가 상승합니다.
SKILL_20150317_003008	둠 스파이크: 대미지 2서클화
SKILL_20150317_003009	[둠 스파이크] 대미지가 캐터프렉트 2서클 수준으로 강화됩니다.
SKILL_20150317_003010	둠 스파이크: 강화 2
SKILL_20150317_003011	[둠 스파이크] 대미지가 캐터프렉트 3서클 수준으로 강화됩니다.
SKILL_20150317_003012	좀비 만들기: 대형 좀비
SKILL_20150317_003013	{memo X}대형 몬스터를 좀비로 만들었을 때 대형 좀비가 나올 확률이 특성 레벨 당 1% 증가합니다.
SKILL_20150317_003014	좀비 만들기: 휠체어 좀비
SKILL_20150317_003015	{memo X}좀비가 만들어질 때 휠체어 좀비가 나올 확률이 특성 레벨 당 1% 증가합니다.
SKILL_20150317_003016	플레어 샷: 강화 3
SKILL_20150317_003017	[플레어 샷] 대미지가 스카우트 3서클 수준으로 강화됩니다.
SKILL_20150317_003018	유체 폭발: 강화 2
SKILL_20150317_003019	[유체 폭발] 대미지가 사두 2서클 수준으로 강화됩니다.
SKILL_20150317_003020	유체 폭발: 강화 3
SKILL_20150317_003021	[유체 폭발] 대미지가 사두 3서클 수준으로 강화됩니다.
SKILL_20150317_003022	한손검 사용
SKILL_20150317_003023	{memo X}[한손검] 계열 무기가 착용 가능해집니다
SKILL_20150317_003024	양손검 사용
SKILL_20150317_003025	{memo X}[양손검]계열 무기가 착용 가능해집니다
SKILL_20150317_003026	한손창 사용
SKILL_20150317_003027	{memo X}[한손창]계열 무기가 착용 가능해집니다
SKILL_20150317_003028	양손창 사용
SKILL_20150317_003029	{memo X}[양손창]계열 무기가 착용 가능해집니다
SKILL_20150317_003030	활 사용
SKILL_20150317_003031	{memo X}[활]계열 무기가 착용 가능해집니다
SKILL_20150317_003032	크로스보우 사용
SKILL_20150317_003033	{memo X}[크로스보우]계열 무기가 착용 가능해집니다
SKILL_20150317_003034	로드 사용
SKILL_20150317_003035	{memo X}[로드]계열 무기가 착용 가능해집니다
SKILL_20150317_003036	스태프 사용
SKILL_20150317_003037	{memo X}[스태프]계열 무기가 착용 가능해집니다
SKILL_20150317_003038	메이스 사용
SKILL_20150317_003039	{memo X}[메이스]계열 무기가 착용 가능해집니다
SKILL_20150317_003040	완드 사용
SKILL_20150317_003041	{memo X}[완드]계열 무기가 착용 가능해집니다
SKILL_20150323_003042	포멀비트
SKILL_20150323_003043	더블슬래쉬
SKILL_20150323_003044	스컬 스윙
SKILL_20150323_003045	{memo X}장비 내구도 수리 상점 개설
SKILL_20150323_003046	{memo X}거점 설치
SKILL_20150323_003047	{memo X}파티원들에게 거점을 설치합니다. 개인상점이 이용가능하고 버프시간이 증가합니다.
SKILL_20150323_003048	배식대 설치
SKILL_20150323_003049	스노우 롤링
SKILL_20150323_003050	스웰 브레인
SKILL_20150323_003051	레인
SKILL_20150323_003052	{memo X}레인.
SKILL_20150323_003053	사역마 소환
SKILL_20150323_003054	{memo X}자폭병 소환.
SKILL_20150323_003055	젬 로스팅
SKILL_20150323_003056	{memo X}젬을 강화시켜주는 상점을 개설합니다. 강화된 젬은 패널티 능력치가 감소합니다.
SKILL_20150323_003057	{memo X}두 개의 무기를 합성하여 기본 성능을 변화시킵니다. 성능이 더 좋아질 수도 나빠질 수도 있습니다. 재료로 사용된 무기는 소멸됩니다.
SKILL_20150323_003058	{memo X}연금술로 물약을 제조합니다.
SKILL_20150323_003059	아이템 어웨이크닝
SKILL_20150323_003060	{memo X}넉백 샷
SKILL_20150323_003061	{memo X}듀얼 샷
SKILL_20150323_003062	{memo X}파비스 깨기
SKILL_20150323_003063	{memo X}석궁 무빙샷
SKILL_20150323_003064	은폐
SKILL_20150323_003065	연타형 트랩
SKILL_20150323_003066	스파이크 슈터
SKILL_20150323_003067	인질 폭탄
SKILL_20150323_003068	그로울링
SKILL_20150323_003069	노획
SKILL_20150323_003070	이베이션
SKILL_20150323_003071	벤데타
SKILL_20150323_003072	최루
SKILL_20150323_003073	백스텝
SKILL_20150323_003074	페이드
SKILL_20150323_003075	수호성인
SKILL_20150323_003076	리바이브
SKILL_20150323_003077	엑소사이즈
SKILL_20150323_003078	탄지신통
SKILL_20150323_003079	금종조
SKILL_20150323_003080	디서닝 이블
SKILL_20150323_003081	리셋팅
SKILL_20150323_003082	죽음의 선고
SKILL_20150323_003083	전투불능상태를 한번 막음.
SKILL_20150323_003084	{memo X}왼손 장비 던지기
SKILL_20150323_003085	레지스트 엘리멘츠
SKILL_20150323_003086	뒤쪽에서 공격시 크리티컬 확률이 높음.
SKILL_20150323_003087	지속적인 대미지와 SP 감소
SKILL_20150323_003088	해로운 효과를 해제
SKILL_20150323_003089	주기적인 SP감소상태
SKILL_20150323_003090	오른손 장비 던지기
SKILL_20150323_003091	회피율 감소
SKILL_20150323_003092	회피율 상승
SKILL_20150323_003093	{memo X}가상무기장착
SKILL_20150323_003094	{memo X}방어구손질
SKILL_20150323_003095	컴패니언이 무섭게 으르렁거림. 근처에 온 몬스터는 공포에 걸릴 수 있습니다.
SKILL_20150323_003096	엘리멘탈리스트: 저항
SKILL_20150323_003097	세계수 조각: 끌어당김
SKILL_20150323_003098	스킬 [세계수 조각] 범위안에 있는 적을 끌어 당깁니다.
SKILL_20150323_003099	레지스트 엘리멘츠: 저항
SKILL_20150323_003100	{memo X}스킬 [레지스트 엘리멘츠] 사용 시 불, 얼음, 전기속성 저항이 특성 레벨 당 5 증가하고 독, 땅속성 저항이 특성 레벨 당 5 감소합니다.
SKILL_20150323_003101	[메테오] 대미지가 엘리멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150323_003102	[메테오] 대미지가 엘리멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150323_003103	[홍염] 대미지가 엘리멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150323_003104	[홍염] 대미지가 엘리멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150323_003105	[헤일] 대미지가 엘리멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150323_003106	[헤일] 대미지가 엘리멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150323_003107	[일렉트로큐트] 대미지가 엘리멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150323_003108	[일렉트로큐트] 대미지가 엘리멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150323_003109	왼팔 강화: 강화
SKILL_20150323_003110	{memo X}특성 레벨당 [왼팔 강화] 공격력 강화 효과가 상승합니다.
SKILL_20150323_003111	왼팔 강화: 강화 2
SKILL_20150323_003112	[왼팔 강화] 공격력 증가 효과가 쏘마터지 2서클 수준으로 강화됩니다.
SKILL_20150323_003113	왼팔 강화: 강화 3
SKILL_20150323_003114	[왼팔 강화] 공격력 증가 효과가 쏘마터지 3서클 수준으로 강화됩니다.
SKILL_20150323_003115	쓰러스트: 출혈
SKILL_20150323_003116	{memo X}스턴이 걸린 적에게 [쓰러스트]를 사용하면 출혈 효과가 추가로 부여됩니다.
SKILL_20150323_003117	{memo X}크로스 가드: 디버프
SKILL_20150323_003118	{memo X}[크로스 가드]에 막힌 적은 잠시 동안 찌르기 공격에 취약해집니다.
SKILL_20150323_003119	불 속성: 폭발
SKILL_20150323_003120	{memo X}방어력 약화된 적을 불 속성 공격으로 마무리 하면 폭발이 일어나 스플래시 피해를 입힙니다.
SKILL_20150323_003121	얼음 속성: 둔화
SKILL_20150323_003122	{memo X}방어력 약화된 적을 얼음 속성 공격으로 마무리 하면 주변 적들의 움직임이 느려집니다.
SKILL_20150323_003123	디프로텍티드 존: 검 공격
SKILL_20150323_003124	{memo X}[디프로텍티드 존]에 걸린 적에게 검 공격 시, 방어력이 더욱 약해집니다.
SKILL_20150401_003125	[우드펑] 물리, 타격, 무속성 1회 공격
SKILL_20150401_003126	[벨레그] 물리, 타격, 암속성 1회 공격
SKILL_20150401_003127	권총 오른손(권총 전용)
SKILL_20150401_003128	{memo X}{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}칼의 손잡이로 적을 때립니다.{nl}스턴상태의 적을 공격하면 추가대미지를 주고, 소, 중형 몬스터에게 방어력 무시 보너스가 있습니다.
SKILL_20150401_003129	{memo X}공격력 #{SkillAtkAdd}#{nl}소, 중형 대상 방어력 무시 #{CaptionRatio}#{nl}스플래시 #{SkillSR}#
SKILL_20150401_003130	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}적을 좌우로 베어 버립니다.{nl}출혈 상태의 적을 공격하면 추가대미지를 줍니다.
SKILL_20150401_003131	{memo X}{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}자신의 방패를 던져 적에게 피해를 줍니다. 실드랍에 쓰인 방패는 지면에 떨어져 있으며, 이를 주워야 재사용이 가능합니다.
SKILL_20150401_003132	{memo X}방패를 앞세우는 스탠스로 전환합니다. 블럭과 치명타 저항이 증가하지만, 기본 공격의 위력이 감소합니다.
SKILL_20150401_003133	{memo X}블럭 #{CaptionRatio}# 증가{nl}치명타 저항 #{CaptionRatio2}# 증가{nl}공격력 #{CaptionTime}#%감소
SKILL_20150401_003134	{memo X}{#DD5500}{ol}[물리] - [타격] - [베기]{/}{/}{nl}방패 모서리로 공격 후, 칼로 베어버립니다.
SKILL_20150401_003135	{memo X}{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}적을 칼등으로 후려쳐 옆으로 밀쳐냅니다. 적은 아머 브레이크 상태가 됩니다. (몬스터에게는 영구 지속)
SKILL_20150401_003136	{memo X}{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}적을 강하게 찔러 피해를 줍니다.{nl}적 크기에 따라 연타 보너스가 적용 됩니다.
SKILL_20150401_003137	{memo X}{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}자신의 창을 던져 적에게 피해를 줍니다. 투창에 쓰인 창은 지면에 떨어져 있으며, 이를 주워야 재사용이 가능합니다.
SKILL_20150401_003138	회피이동
SKILL_20150401_003139	{memo X}공격력 #{SkillAtkAdd}#{nl}스플래시 #{SkillSR}#{nl}탑승 상태에서 사용 가능
SKILL_20150401_003140	{memo X}{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}힘을 모아 무기로 지면을 내려쳐 적을 공격합니다.
SKILL_20150401_003141	{memo X}{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}전방으로 힘차게 돌진하여 대상을 밀어 내버립니다.
SKILL_20150401_003142	{memo X}{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}힘을 모아 적을 강하게 찌릅니다.
SKILL_20150401_003143	{memo X}{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}창을 머리위로 돌리면서 전방에 있는 적에게 연속된 공격을 합니다.
SKILL_20150401_003144	{memo X}공격력 #{SkillAtkAdd}#{nl}최대 지속시간 10초{nl}스플래시 #{SkillSR}#{nl}탑승 상태에서 사용 가능
SKILL_20150401_003145	{memo X}{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}적을 줄로 묶어서 끌고 다닙니다.{nl}이동할 때 마다 적에게 피해를 주고, 풀려난 후 적은 출혈 상태에 빠집니다.
SKILL_20150401_003146	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}적을 강하게 찌른 뒤 발로 차버립니다.
SKILL_20150401_003147	{memo X}자신의 찌르기 공격을 연타로 적용시킵니다.
SKILL_20150401_003148	{memo X}{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}점프 중이거나 공중에 있을 때, 강하게 착지하여 대상에게 피해를 줍니다.
SKILL_20150401_003149	무기 손질
SKILL_20150401_003150	{memo X}무기를 손질할 수 있는 상점을 개설합니다. 손질된 무기에는 공격력이 더해집니다.
SKILL_20150401_003151	{memo X}[스킬레벨]×[무기의 별 개수]{nl}만큼 공격력 증가{nl}공격 #{CaptionRatio2}# 횟수{nl}지속시간 4시간
SKILL_20150401_003152	방어구 손질
SKILL_20150401_003153	{memo X}방어구를 손질할 수 있는 상점을 개설합니다. 상의, 하의, 방패만 가능하며 손질된 방어구에는 물리 방어력이 더해집니다.
SKILL_20150401_003154	{memo X}물리 방어력 #{CaptionRatio}# 증가{nl}피격 #{CaptionRatio2}# 횟수{nl}지속시간 4시간
SKILL_20150401_003155	{memo X}장비를 수리해주는 상점을 개설합니다. 최대 내구도보다 더 높은 수치로 수리가 가능합니다.
SKILL_20150401_003156	내구도 #{CaptionRatio}# 초과 수리
SKILL_20150401_003157	{memo X}적을 줄에 묶어 잡고 있습니다. 보스 몬스터도 잡고 있을 수 있습니다.
SKILL_20150401_003158	{memo X}최대 지속시간 10초
SKILL_20150401_003159	베이스 캠프 설치
SKILL_20150401_003160	{memo X}필드 위에 거점을 설치합니다. 거점을 통해 파티원들은 개인 창고를 이용할 수 있으며 거점으로 자유롭게 워프할 수 있습니다.
SKILL_20150401_003161	{memo X}지속시간 #{CaptionRatio}#시간
SKILL_20150401_003162	{memo X}파티원들과 함께 음식을 먹을 수 있는 배식대를 설치합니다. 거점 주변에서만 설치 할 수 있고, 거점이 철거되면 배식대도 같이 철거됩니다.
SKILL_20150401_003163	스킬 레벨별로 음식의 효능 증가
SKILL_20150401_003164	{memo X}해적단의 전투 능력을 고양시키는 깃발을 지면에 꽂습니다. 적을 연속으로 잡으면 피버 콤보가 발동됩니다.
SKILL_20150401_003165	{memo X}깃발 지속시간 30초
SKILL_20150401_003166	적을 갈고리로 포획합니다.
SKILL_20150401_003167	{memo X}포획 시간 5초
SKILL_20150401_003168	{memo X}{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}아이언 후크로 포획한 적을 끌고 옵니다. 적은 끌려올 때마다 피해를 받습니다.
SKILL_20150401_003169	{memo X}공격력 #{SkillFactor}#% + #{SkillAtkAdd}#{nl}#{CaptionRatio}#연타
SKILL_20150401_003170	{memo X}잠겨 있는 보물상자를 열 수 있습니다.
SKILL_20150401_003171	{memo X}LV#{CaptionRatio}# 보물상자 이하 열기 가능
SKILL_20150401_003172	일시적으로 기본 공격과 단검 공격을 빠르게 연계 할 수 있습니다.
SKILL_20150401_003173	{memo X}기본 공격 모션 후 딜레이 없이 단검 사용 가능
SKILL_20150401_003174	{memo X}부대원을 모집할 수 있는 포메이션을 펼칩니다.
SKILL_20150401_003175	{memo X}부대원 #{CaptionRatio}#명 수용 가능
SKILL_20150401_003176	{memo X}포메이션을 팔랑크스 포메이션으로 변경합니다. 부대원의 모든 블럭을 맨 앞열 3명에게 몰아줍니다.
SKILL_20150401_003177	{memo X}맨 앞 부대원 블럭 증가{nl}나머지 부대원 블럭 0
SKILL_20150401_003178	{memo X}포메이션을 테르시오 포메이션으로 변경합니다. 앞열 부대원의 방어력이 증가하고 적의 주의를 끕니다.
SKILL_20150401_003179	{memo X}방어력 #{CaptionRatio}# 증가
SKILL_20150401_003180	{memo X}포메이션을 윙드 포메이션으로 변경합니다. 윙드 포메이션 앞에 있는 적들은 방어력이 감소합니다.
SKILL_20150401_003181	{memo X}방어력 #{CaptionRatio}#% 감소
SKILL_20150401_003182	{memo X}포메이션을 웨지 포메이션으로 변경합니다. 맨 앞에 있는 부대원의 공격이 연타로 적용됩니다.
SKILL_20150401_003183	{memo X}공격 시 #{CaptionRatio}#연타
SKILL_20150401_003184	{memo X}포메이션을 스킬트론 포메이션으로 변경합니다. 모든 부대원들은 무기를 치켜 든채로 서있고, 포메이션에 닿은 적은 멀리 날아갑니다.
SKILL_20150401_003185	{memo X}다가오는 적이 크게 밀려남
SKILL_20150401_003186	{memo X}포메이션을 테스튜도 포메이션으로 변경합니다. 모든 부대원들이 방패를 앞 세운 방어적인 자세로 천천히 이동합니다.
SKILL_20150401_003187	{memo X}공격력 #{CaptionRatio}#% 감소{nl}감소된 공격력 만큼 방어력 증가
SKILL_20150401_003188	{memo X}포메이션의 방향을 변경합니다.
SKILL_20150401_003189	{memo X}보고 있는 방향이 정면이 됨
SKILL_20150401_003190	자신의 공격속도가 증가하며, 공격을 받을 때마다 자신의 공격력은 증가하고, 방어력은 감소합니다.
SKILL_20150401_003191	{memo X}공격력 #{CaptionRatio}#% 증가{nl}방어력 #{CaptionRatio}#% 감소{nl}최대 중첩 #{CaptionRatio2}#회{nl}지속시간 #{CaptionTime}#초
SKILL_20150401_003192	일시적으로 피해를 입어도 몸이 경직되지 않으며, 밀려나거나 넘어지지도 않습니다.
SKILL_20150401_003193	{memo X}{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}검을 거꾸로 쥐어 적을 후려칩니다. 
SKILL_20150401_003194	{memo X}정해진 공격 횟수 안에 적을 죽이면 경험치와 보상을 더 받습니다. 하지만 효과가 지속될 동안 받는 피해와 전투불능 패널티도 증가합니다.
SKILL_20150401_003195	공격 #{CaptionRatio}#회 제한{nl}경험치 2배, 드랍률 2배
SKILL_20150401_003196	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}쓰러진 적을 검으로 깊게 찌릅니다.
SKILL_20150401_003197	{memo X}{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}빠르게 회전 하면서 주변 적들에게 피해를 줍니다.
SKILL_20150401_003198	{memo X}대상의 오른손을 크게하여 방어력을 상승시킵니다.
SKILL_20150401_003199	{memo X}물리 방어력 #{CaptionRatio}# 증가{nl}마법 방어력 #{CaptionRatio}# 증가{nl}지속시간 #{CaptionTime}#초
SKILL_20150401_003200	{memo X}대상의 머리를 크게하여 지능을 상승시킵니다.
SKILL_20150401_003201	지능 #{CaptionRatio}# 증가{nl}지속시간 #{CaptionTime}#초
SKILL_20150401_003202	지정한 위치에 비를 내리게 합니다. 비는 다양한 효과를 부여합니다.
SKILL_20150401_003203	{memo X}그리모어의 악마를 소환합니다.
SKILL_20150401_003204	{memo X}그리모어에 등록한{nl}악마형 보스 소환
SKILL_20150401_003205	{memo X}악마들에게 이동 및 공격 명령을 내립니다.
SKILL_20150401_003206	소환된 악마 필요{nl}1레벨 마스터
SKILL_20150401_003207	{memo X}그리모어 악마 위에 탑승합니다.
SKILL_20150401_003208	악마의 스킬 사용 가능
SKILL_20150401_003209	{memo X}그리모어 악마를 서브로 등록한 악마로 변이시킵니다.
SKILL_20150401_003210	그리모어에 등록한{nl}또 다른 악마형 보스로 변이
SKILL_20150401_003211	{memo X}악마들에게 대기 명령을 내립니다.
SKILL_20150401_003212	{memo X}{#993399}{ol}[마법] - [암흑]{/}{/}{nl}사역마를 소환합니다. 사역마는 주인이 공격하거나 공격받을 때의 적에게 접근하여 자폭합니다.
SKILL_20150401_003213	{memo X}공격력 #{SkillAtkAdd}#{nl}사역마 #{CaptionRatio}#마리 소환
SKILL_20150401_003214	살라미온 소환
SKILL_20150401_003215	{memo X}살라미온을 소환합니다. 살라미온은 보이는 적을 공격합니다.
